seed,tau,horizon,a_mse,b_mse,mse_ratio_a_over_b,a_physical_energy_mono_frac,b_physical_energy_mono_frac,energy_mono_delta_a_minus_b,a_equal_work_defect_mse,b_equal_work_defect_mse,a_production_defect_mse,b_production_defect_mse,a_bound_viol_mean,b_bound_viol_mean,n_valid_per_model
31415,0.075,1.2,6.806492012168519e-05,6.815427391363116e-05,0.9986889480759608,1.0,1.0,0.0,7.671740289835538e-16,2.200960395187801e-11,1.5306521239341787e-15,2.20282608629635e-11,0.0,0.0,500
31415,0.075,2.4,0.0001407082289528887,0.00014317185482618378,0.9827925266716282,1.0,1.0,0.0,7.671740289835538e-16,2.200960395187801e-11,1.5306521239341787e-15,2.20282608629635e-11,0.0,0.0,500
31415,0.075,4.8,0.00016946561646055612,0.00017769051354168665,0.953712233043882,1.0,1.0,0.0,1.12483620368492e-15,1.1347267878103473e-10,2.0120278424952302e-15,1.1343655940965203e-10,0.0,0.0,500
31415,0.15,1.2,7.254093782989913e-05,7.266808518485845e-05,0.9982502999131478,1.0,1.0,0.0,8.654836174460499e-16,2.366636754624896e-10,1.516088965346324e-15,2.3680746752408054e-10,0.0,0.0,500
31415,0.15,2.4,0.0001445380352512302,0.00014714400142541706,0.982289687999903,1.0,1.0,0.0,8.516611182315597e-16,3.0775164217011766e-10,1.5005004416120826e-15,3.0788786195556916e-10,0.0,0.0,500
31415,0.15,4.8,0.00017050403017066174,0.0001788012882240011,0.9535950879562758,1.0,1.0,0.0,8.516611182315597e-16,3.0775164217011766e-10,1.5005004416120826e-15,3.0788786195556916e-10,0.0,0.0,500
271828,0.075,1.2,7.339374677646404e-05,7.337055677031401e-05,1.0003160669234474,1.0,1.0,0.0,7.743396528551338e-16,2.5399328021022405e-11,1.5559567104023143e-15,2.541794602226033e-11,0.0,0.0,500
271828,0.075,2.4,0.00015958842427631658,0.0001593599777721053,1.001433524950273,1.0,1.0,0.0,7.743396528551338e-16,2.5399328021022405e-11,1.5559567104023143e-15,2.541794602226033e-11,0.0,0.0,500
271828,0.075,4.8,0.00018986213584606037,0.0001890888987504944,1.004089278115614,1.0,1.0,0.0,1.1308367864653528e-15,1.218893520837927e-10,2.0184931594312944e-15,1.218626329707595e-10,0.0,0.0,500
271828,0.15,1.2,7.858403777390777e-05,7.854393594982412e-05,1.0005105655019537,1.0,1.0,0.0,8.738281182684541e-16,2.668746795775334e-10,1.5135380532043507e-15,2.670172782881508e-10,0.0,0.0,500
271828,0.15,2.4,0.00016392059622762645,0.00016364919679853074,1.0016584220051494,1.0,1.0,0.0,8.582628676114714e-16,3.4306220381141725e-10,1.4989959982306187e-15,3.4320111014229936e-10,0.0,0.0,500
271828,0.15,4.8,0.00019099370251581148,0.00019020673890699413,1.0041374118148472,1.0,1.0,0.0,8.582628676114714e-16,3.4306220381141725e-10,1.4989959982306187e-15,3.4320111014229936e-10,0.0,0.0,500
161803,0.075,1.2,7.848168055794603e-05,7.85197758822953e-05,0.9995148314686177,1.0,1.0,0.0,7.817394849365196e-16,3.210125999048019e-11,1.5474542891807405e-15,3.212282980238901e-11,0.0,0.0,500
161803,0.075,2.4,0.00017665248674460975,0.00017611083882085232,1.0030756081078487,1.0,1.0,0.0,7.817394849365196e-16,3.210125999048019e-11,1.5474542891807405e-15,3.212282980238901e-11,0.0,0.0,500
161803,0.075,4.8,0.0002183900313962086,0.00021554902847181534,1.013180309577525,1.0,1.0,0.0,1.134619285571425e-15,1.5298694323873097e-10,2.007607227518454e-15,1.5295508240531496e-10,0.0,0.0,500
161803,0.15,1.2,8.41846909395656e-05,8.421139459684923e-05,0.999682897339351,1.0,1.0,0.0,8.744522352256389e-16,3.3618566999682466e-10,1.5287216056160706e-15,3.3635397053699556e-10,0.0,0.0,500
161803,0.15,2.4,0.00018157782772847497,0.00018095124733655155,1.0034627028061214,1.0,1.0,0.0,8.590702066889932e-16,4.3158375123697465e-10,1.5128842860706056e-15,4.3173579611366364e-10,0.0,0.0,500
161803,0.15,4.8,0.0002197582136092322,0.00021687949171910503,1.0132733706968273,1.0,1.0,0.0,8.590702066889932e-16,4.3158375123697465e-10,1.5128842860706056e-15,4.3173579611366364e-10,0.0,0.0,500
