candidate_dtype,dt,kind,reference_dt,reference_dtype,reference_resolution,relative_l2,resolution,sample
,0.005,temporal,0.0005,,,5.0735020095076926e-11,512,0
,0.002,temporal,0.0005,,,3.191130943873818e-12,512,0
,0.001,temporal,0.0005,,,3.482636264892102e-13,512,0
,0.005,temporal,0.0005,,,3.938116189249455e-11,512,1
,0.002,temporal,0.0005,,,2.501619077393021e-12,512,1
,0.001,temporal,0.0005,,,2.786981937538929e-13,512,1
,0.005,temporal,0.0005,,,6.778190231049358e-12,512,2
,0.002,temporal,0.0005,,,4.357257923300331e-13,512,2
,0.001,temporal,0.0005,,,4.8914068254623736e-14,512,2
,0.005,temporal,0.0005,,,7.583501337694232e-12,512,3
,0.002,temporal,0.0005,,,4.819466303873781e-13,512,3
,0.001,temporal,0.0005,,,4.9125738263422617e-14,512,3
,0.005,temporal,0.0005,,,1.7629028359881617e-11,512,4
,0.002,temporal,0.0005,,,1.1117625241702025e-12,512,4
,0.001,temporal,0.0005,,,1.155827160384922e-13,512,4
,0.005,temporal,0.0005,,,1.0039696292443355e-11,512,5
,0.002,temporal,0.0005,,,6.434755265723911e-13,512,5
,0.001,temporal,0.0005,,,7.127132811890365e-14,512,5
,0.005,temporal,0.0005,,,1.8889698072839685e-11,512,6
,0.002,temporal,0.0005,,,1.1751157743490054e-12,512,6
,0.001,temporal,0.0005,,,1.1059814194079683e-13,512,6
,0.005,temporal,0.0005,,,6.06236923796879e-11,512,7
,0.002,temporal,0.0005,,,3.807036717081158e-12,512,7
,0.001,temporal,0.0005,,,4.192183404747493e-13,512,7
,0.005,temporal,0.0005,,,3.644847481060838e-11,512,8
,0.002,temporal,0.0005,,,2.303038746326134e-12,512,8
,0.001,temporal,0.0005,,,2.4279028415585624e-13,512,8
,0.005,temporal,0.0005,,,2.3734653717743118e-11,512,9
,0.002,temporal,0.0005,,,1.4952897580497383e-12,512,9
,0.001,temporal,0.0005,,,1.5539316402439624e-13,512,9
,0.005,temporal,0.0005,,,2.9824849326776765e-11,512,10
,0.002,temporal,0.0005,,,1.8538357526010227e-12,512,10
,0.001,temporal,0.0005,,,1.9492438555778666e-13,512,10
,0.005,temporal,0.0005,,,2.602064836632707e-11,512,11
,0.002,temporal,0.0005,,,1.64647311516034e-12,512,11
,0.001,temporal,0.0005,,,1.762297242782254e-13,512,11
,0.005,temporal,0.0005,,,3.915831454713368e-11,512,12
,0.002,temporal,0.0005,,,2.4889514081719457e-12,512,12
,0.001,temporal,0.0005,,,2.7204009647656145e-13,512,12
,0.005,temporal,0.0005,,,2.8976427225842342e-11,512,13
,0.002,temporal,0.0005,,,1.824216674992032e-12,512,13
,0.001,temporal,0.0005,,,1.8399041617933596e-13,512,13
,0.005,temporal,0.0005,,,4.289483620691599e-11,512,14
,0.002,temporal,0.0005,,,2.665604702664951e-12,512,14
,0.001,temporal,0.0005,,,2.916980634327281e-13,512,14
,0.005,temporal,0.0005,,,3.7658474098112823e-11,512,15
,0.002,temporal,0.0005,,,2.376432505129946e-12,512,15
,0.001,temporal,0.0005,,,2.5234588917098474e-13,512,15
,0.005,temporal,0.0005,,,6.857525115996448e-12,512,16
,0.002,temporal,0.0005,,,4.38992592266162e-13,512,16
,0.001,temporal,0.0005,,,5.0947807329388426e-14,512,16
,0.005,temporal,0.0005,,,1.0681860628863062e-11,512,17
,0.002,temporal,0.0005,,,6.709720173910047e-13,512,17
,0.001,temporal,0.0005,,,6.160592791938814e-14,512,17
,0.005,temporal,0.0005,,,3.617869929052746e-11,512,18
,0.002,temporal,0.0005,,,2.2846349765653417e-12,512,18
,0.001,temporal,0.0005,,,2.4244976865797763e-13,512,18
,0.005,temporal,0.0005,,,4.627790472500943e-11,512,19
,0.002,temporal,0.0005,,,2.8727220951133363e-12,512,19
,0.001,temporal,0.0005,,,3.1610011473823487e-13,512,19
,0.0005,spatial,,,512,0.00011319002493808692,64,0
,0.0005,spatial,,,512,1.2941656477237009e-05,128,0
,0.0005,spatial,,,512,7.248737624057727e-06,256,0
,0.0005,spatial,,,512,7.256089320367601e-17,64,1
,0.0005,spatial,,,512,3.420553308884812e-17,128,1
,0.0005,spatial,,,512,4.986270449465314e-17,256,1
,0.0005,spatial,,,512,7.537444302391107e-17,64,2
,0.0005,spatial,,,512,4.4592121853615424e-17,128,2
,0.0005,spatial,,,512,4.913812502522909e-17,256,2
,0.0005,spatial,,,512,6.315372534542134e-17,64,3
,0.0005,spatial,,,512,5.0635629201640396e-17,128,3
,0.0005,spatial,,,512,5.846898830030632e-17,256,3
,0.0005,spatial,,,512,8.769973531740017e-17,64,4
,0.0005,spatial,,,512,1.745541670611194e-16,128,4
,0.0005,spatial,,,512,7.595019869003986e-17,256,4
,0.0005,spatial,,,512,1.6483043505414123e-16,64,5
,0.0005,spatial,,,512,3.364587166363399e-17,128,5
,0.0005,spatial,,,512,5.451254245598013e-17,256,5
,0.0005,spatial,,,512,4.17149988742997e-16,64,6
,0.0005,spatial,,,512,1.1299265383397558e-16,128,6
,0.0005,spatial,,,512,3.506909739304965e-16,256,6
,0.0005,spatial,,,512,0.00014580164486222862,64,7
,0.0005,spatial,,,512,7.159315931728766e-05,128,7
,0.0005,spatial,,,512,7.684288812760564e-06,256,7
,0.0005,spatial,,,512,1.683409622689569e-16,64,8
,0.0005,spatial,,,512,8.927627697888615e-17,128,8
,0.0005,spatial,,,512,7.966607463076903e-17,256,8
,0.0005,spatial,,,512,3.1156105788087983e-16,64,9
,0.0005,spatial,,,512,4.850999092042242e-17,128,9
,0.0005,spatial,,,512,7.174724414066428e-17,256,9
,0.0005,spatial,,,512,0.0001075679912387052,64,10
,0.0005,spatial,,,512,1.1893131266691452e-05,128,10
