seed,boundary_mode,temporal_mode,parameter_count,selected_epoch,best_validation_mse,primary_equal_work_defect_geometric_mean,long_rollout_mse_geometric_mean,maximum_normal_boundary_residual,boundary_stress_final_endpoint_max,hard_boundary_pass,run_dir
31415,hard_dirichlet,autonomous,1249,135,4.412006546772318e-06,9.999999999999965e-17,3.4032373172730925e-05,0.0,0.0,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed31415-hard_dirichlet-autonomous
31415,hard_dirichlet,query_time,1249,140,1.4304793694464024e-05,0.01641855925338588,0.00031638275707588314,0.0,0.0,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed31415-hard_dirichlet-query_time
31415,unconstrained,autonomous,1249,135,0.00019728303595911711,9.999999999999965e-17,0.0005733072270175434,5.595708847045898,0.16407239437103271,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed31415-unconstrained-autonomous
31415,unconstrained,query_time,1249,135,0.00021651247516274452,0.018871375562784825,0.000950005740235637,5.285145282745361,0.16293348371982574,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed31415-unconstrained-query_time
161803,hard_dirichlet,autonomous,1249,150,2.030347786785569e-06,9.999999999999965e-17,7.753768019341651e-06,0.0,0.0,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed161803-hard_dirichlet-autonomous
161803,hard_dirichlet,query_time,1249,150,1.763650288921781e-05,0.03588098498295216,0.00022452562433540143,0.0,0.0,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed161803-hard_dirichlet-query_time
161803,unconstrained,autonomous,1249,145,0.00020154201774857938,9.999999999999965e-17,0.0005339839896930628,5.4773149490356445,0.16725923120975494,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed161803-unconstrained-autonomous
161803,unconstrained,query_time,1249,150,0.00022238105884753168,0.03368575642490742,0.0008756696794396886,5.123053550720215,0.16796644032001495,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed161803-unconstrained-query_time
271828,hard_dirichlet,autonomous,1249,145,2.511259026505286e-06,9.999999999999965e-17,2.516346279319808e-05,0.0,0.0,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed271828-hard_dirichlet-autonomous
271828,hard_dirichlet,query_time,1249,145,5.78532308281865e-06,0.01837229002599182,0.00010282056249951357,0.0,0.0,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed271828-hard_dirichlet-query_time
271828,unconstrained,autonomous,1249,140,0.000195333210285753,9.999999999999965e-17,0.0005629674133084868,5.646690368652344,0.16540366411209106,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed271828-unconstrained-autonomous
271828,unconstrained,query_time,1249,140,0.00020803490770049393,0.019645426595674625,0.0007713495449858084,5.292962074279785,0.16793648898601532,True,/work/home/zenghang/semigroup_runs/20260830-boundary-wave1-b103707-r2/wave-b103707-r1/cells/seed271828-unconstrained-query_time
