evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.0,9.662921911512967e-07,2.874690608223318e-06,2.844245045707794e-06,0.0041648391634225845,2.874690608223318e-06,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.0,2.941309503512457e-06,7.679848749830853e-06,7.700778041908052e-06,0.007042659912258387,7.679848749830853e-06,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.0,9.146633033196849e-07,2.874711071854108e-06,2.844260507117724e-06,0.0041648512706160545,2.874711071854108e-06,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.0,2.9316081509023206e-06,7.679866939724889e-06,7.700794412812684e-06,0.007042665965855122,7.679866939724889e-06,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.0,2.799020876409486e-06,7.679931513848715e-06,7.70083352108486e-06,0.007042684592306614,7.679931513848715e-06,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.0,1.2412548130669165e-05,1.6081956346170045e-05,1.6176663848455064e-05,0.009861745871603489,1.6081956346170045e-05,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,0.0,0.20057420432567596,7.472458673873916e-05,7.525066030211747e-05,0.018504135310649872,7.472458673873916e-05,0.0,0.0,0.0,0.0,0.0,0.0,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.0,1.2399416846164968e-05,1.6081985450000502e-05,1.6176685676327907e-05,0.00986175611615181,1.6081985450000502e-05,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,0.0,0.20057421922683716,7.472454308299348e-05,7.525061664637178e-05,0.018504135310649872,7.472454308299348e-05,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,0.00020780519116669893,0.00806982908397913,7.701730282860808e-06,7.712897968303878e-06,0.0070507582277059555,7.681588613195345e-06,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,128,1.0690807812352432e-06,1.823128968680976e-06,7.680299859202933e-06,7.701053618802689e-06,0.007042801007628441,7.679931513848715e-06,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,128,1.141552914418753e-07,1.225432981755148e-07,7.679878763156012e-06,7.700799869780894e-06,0.007042669225484133,7.679866939724889e-06,0.0,0.0,0.0,0.0,0.0,0.0,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,128,1.1591113434405997e-05,0.00826695840805769,7.683422154514119e-06,7.702558832534123e-06,0.007043781224638224,7.681588613195345e-06,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,128,3.948591142943769e-07,2.4632993245177204e-06,7.68001609685598e-06,7.70087990531465e-06,0.007042716722935438,7.679931513848715e-06,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,128,9.675369483375107e-08,1.457154326089949e-07,7.679861482756678e-06,7.70078713685507e-06,0.007042665500193834,7.679866939724889e-06,0.0,0.0,0.0,0.0,0.0,0.0,128,128,64,True
