evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.03660445660352707,0.03660445287823677,8.867898577591404e-05,8.91386516741477e-05,0.032149091362953186,1.6990619769785553e-05,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.059808023273944855,0.059808168560266495,0.0003294322523288429,0.00032989392639137805,0.06151362508535385,3.179197301506065e-05,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.01847096160054207,0.01847095787525177,2.272735582664609e-05,2.2724136215401813e-05,0.015296079218387604,1.6990621588774957e-05,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.0270457211881876,0.02704586833715439,6.773815402993932e-05,6.790677434764802e-05,0.027128547430038452,3.1791951187187806e-05,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.02170640230178833,0.021706240251660347,5.8549161622067913e-05,5.916767622693442e-05,0.020388953387737274,3.179208215442486e-05,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.1304669976234436,0.1304662823677063,0.0003373674408067018,0.0003367303579580039,0.06065184995532036,0.0010696572717279196,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,3.0018064975738525,3.0017855167388916,0.001403209869749844,0.0013918516924604774,0.11041727662086487,1.0439218282699585,0.0,0.0,0.0,0.0,0.0,0.0,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.10634750872850418,0.1063462346792221,6.520598981296644e-05,6.602241774089634e-05,0.0206654891371727,0.0010696572717279196,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,2.993093490600586,2.9930715560913086,0.0002625793858896941,0.00026627478655427694,0.03556961193680763,1.0439218282699585,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,0.0076379296369850636,0.008388260379433632,3.2121301046572626e-05,3.2037678465712816e-05,0.013500281609594822,3.179509440087713e-05,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,128,0.007634148932993412,0.0076339771039783955,3.208403359167278e-05,3.202243897248991e-05,0.013492852449417114,3.179208215442486e-05,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,128,0.007634118665009737,0.007634113077074289,3.208306588931009e-05,3.202190055162646e-05,0.01349266804754734,3.1791951187187806e-05,0.0,0.0,0.0,0.0,0.0,0.0,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,128,0.013168596662580967,0.01361154019832611,3.745545109268278e-05,3.771194678847678e-05,0.014605363830924034,3.179509440087713e-05,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,128,0.013168448582291603,0.01316825021058321,3.744688001461327e-05,3.770863258978352e-05,0.014603666961193085,3.179208215442486e-05,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,128,0.013168446719646454,0.013168441131711006,3.744655623449944e-05,3.7708501622546464e-05,0.014603596180677414,3.1791951187187806e-05,0.0,0.0,0.0,0.0,0.0,0.0,128,128,64,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,4,128,0.013901905156672001,0.014393927529454231,3.3089963835664093e-05,3.317459049867466e-05,0.015420685522258282,3.179244231432676e-05,0.0,0.0,0.0,0.0,0.0,0.0,48,48,16,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,8,128,0.013901883736252785,0.013901769183576107,3.3087435440393165e-05,3.3173408155562356e-05,0.015420204028487206,3.1791951187187806e-05,0.0,0.0,0.0,0.0,0.0,0.0,96,96,32,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,16,128,0.013901888392865658,0.013901881873607635,3.3087311749113724e-05,3.317334994790144e-05,0.015420183539390564,3.179194391123019e-05,0.0,0.0,0.0,0.0,0.0,0.0,192,192,64,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,4,128,0.01839464157819748,0.018839383497834206,3.994143116869964e-05,3.992093843407929e-05,0.019496148452162743,3.179208215442486e-05,0.0,0.0,0.0,0.0,0.0,0.0,64,64,16,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,8,128,0.018394658342003822,0.018394749611616135,3.9940772694535553e-05,3.992055280832574e-05,0.01949603669345379,3.1791951187187806e-05,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,16,128,0.018394654616713524,0.018394656479358673,3.994067810708657e-05,3.992047277279198e-05,0.019496019929647446,3.179197301506065e-05,0.0,0.0,0.0,0.0,0.0,0.0,256,256,64,True
