evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.032060787081718445,0.03206087648868561,6.049937292118557e-05,6.440255674533546e-05,0.027245409786701202,1.0897462743741926e-05,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.05534936115145683,0.05535094439983368,0.00022076339519117028,0.0002350061695324257,0.05263306573033333,1.4892446415615268e-05,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.016254765912890434,0.016254842281341553,1.448798047931632e-05,1.5422687283717096e-05,0.012664653360843658,1.0897489119088277e-05,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.026294756680727005,0.02629617229104042,4.487588012125343e-05,4.777109279530123e-05,0.023129574954509735,1.4892423678247724e-05,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.017077982425689697,0.017076395452022552,3.891277447110042e-05,4.1423274524277076e-05,0.01705377921462059,1.4892510080244392e-05,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.11615823209285736,0.11616562306880951,0.00022034808353055269,0.0002345640677958727,0.05230959504842758,0.0007055865717120469,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,2.7301695346832275,2.7300796508789062,0.0008467110455967486,0.0009013374801725149,0.09780393540859222,0.6518966555595398,0.0,0.0,0.0,0.0,0.0,0.0,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.09307218343019485,0.09307681024074554,4.481414725887589e-05,4.770537998410873e-05,0.018512345850467682,0.000705586513504386,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,2.661972761154175,2.6618804931640625,0.00016951726865954697,0.00018045383330900222,0.033019740134477615,0.6518966555595398,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,0.007052403874695301,0.023787878453731537,1.4720106264576316e-05,1.5669789718231186e-05,0.009873593226075172,1.4894404557708185e-05,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
