evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.00923892855644226,0.009238922968506813,0.0020228393841534853,0.0021482016891241074,0.13900893926620483,0.001992603996768594,0.026209764182567596,0.008928646333515644,0.026209764182567596,0.026209764182567596,0.026209764182567596,0.33543890714645386,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.04874398559331894,0.04874398559331894,0.005018375348299742,0.00532198790460825,0.21757104992866516,0.004827657714486122,0.051172614097595215,0.017674239352345467,0.051172614097595215,0.051172614097595215,0.051172614097595215,0.33543890714645386,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.006409249734133482,0.0064092520624399185,0.002011494245380163,0.002136520342901349,0.13857978582382202,0.001992603996768594,0.026177972555160522,0.00857844203710556,0.026177972555160522,0.02617798000574112,0.02617798000574112,0.33456918597221375,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.04327239468693733,0.04327239841222763,0.004971399437636137,0.005273522809147835,0.21653465926647186,0.004827657714486122,0.051179006695747375,0.016984831541776657,0.051179006695747375,0.051179006695747375,0.051179006695747375,0.33456918597221375,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.03054829314351082,0.030548281967639923,0.004884008318185806,0.005183343309909105,0.2145860344171524,0.004827657714486122,0.05112385004758835,0.015630215406417847,0.05112385004758835,0.05112385377287865,0.05112385377287865,0.33130449056625366,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.11777874827384949,0.11777874082326889,0.00820616353303194,0.008692914620041847,0.2761036157608032,0.007995733059942722,0.07494433224201202,0.025720147415995598,0.07494433224201202,0.07494433224201202,0.07494433224201202,0.3350251615047455,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,0.4405343532562256,0.4405343234539032,0.019443567842245102,0.020537741482257843,0.4013243317604065,0.02390839159488678,0.1392289698123932,0.04983856528997421,0.1392289698123932,0.1392289698123932,0.1392289698123932,0.3350251615047455,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.10419520735740662,0.10419520735740662,0.008039945736527443,0.008520739153027534,0.27351850271224976,0.007995733059942722,0.07515068352222443,0.02424144186079502,0.07515068352222443,0.07515068352222443,0.07515068352222443,0.3333238959312439,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,0.4113352298736572,0.4113352298736572,0.018719768151640892,0.019784122705459595,0.39548277854919434,0.02390839159488678,0.14060372114181519,0.04714032635092735,0.14060372114181519,0.14060372114181519,0.14060372114181519,0.3333238959312439,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,0.012773225083947182,0.012773226015269756,0.004825839772820473,0.005124818533658981,0.21317052841186523,0.004827657714486122,0.05018521845340729,0.013844170607626438,0.05018521845340729,0.050185274332761765,0.050185274332761765,0.33543890714645386,32,32,16,True
