evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.0,8.230509251916374e-07,4.9329723879054654e-06,5.186382622923702e-06,0.005631985142827034,4.9329723879054654e-06,0.0,0.0,2.5704503059387207e-07,0.0,2.5704503059387207e-07,0.0,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.0,2.2225331122172065e-06,1.155240443040384e-05,1.2167054592282511e-05,0.008705279789865017,1.155240443040384e-05,0.0,0.0,2.086162567138672e-07,0.0,2.5704503059387207e-07,0.0,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.0,7.802051413818845e-07,4.932971478410764e-06,5.186381258681649e-06,0.005631985142827034,4.932971478410764e-06,0.0,0.0,2.2724270820617676e-07,0.0,2.5704503059387207e-07,0.0,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.0,2.2171893760969397e-06,1.155239442596212e-05,1.2167044587840792e-05,0.008705273270606995,1.155239442596212e-05,0.0,0.0,2.2724270820617676e-07,0.0,2.5704503059387207e-07,0.0,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.0,2.1150981410755776e-06,1.1552411706361454e-05,1.2167066415713634e-05,0.00870528258383274,1.1552411706361454e-05,0.0,0.0,1.7881393432617188e-07,0.0,2.5704503059387207e-07,0.0,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.0,6.186262908158824e-06,2.084748302877415e-05,2.2001477191224694e-05,0.01127382181584835,2.084748302877415e-05,0.0,0.0,2.2724270820617676e-07,0.0,2.5704503059387207e-07,0.0,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,0.0,0.17681196331977844,7.618311792612076e-05,8.064920984907076e-05,0.018618470057845116,7.618311792612076e-05,0.0,0.0,1.7881393432617188e-07,0.0,4.470348358154297e-07,0.0,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.0,6.174056579766329e-06,2.0847497580689378e-05,2.2001493562129326e-05,0.011273829266428947,2.0847497580689378e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,0.0,0.17681196331977844,7.618316885782406e-05,8.064926078077406e-05,0.018618475645780563,7.618316885782406e-05,0.0,0.0,1.9744038581848145e-07,0.0,4.470348358154297e-07,0.0,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,0.0001340770977549255,0.004732765257358551,1.1556783647392876e-05,1.2174238690931816e-05,0.008707428351044655,1.1552890100574587e-05,0.0,0.0,1.9371509552001953e-07,0.0,2.5704503059387207e-07,0.0,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,128,9.030640626406239e-07,1.257391659237328e-06,1.1552582691365387e-05,1.216729015141027e-05,0.00870535522699356,1.1552411706361454e-05,0.0,0.0,1.7881393432617188e-07,0.0,2.5704503059387207e-07,0.0,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,128,1.080470113379306e-07,1.0595474009278405e-07,1.155241989181377e-05,1.2167073691671249e-05,0.00870528444647789,1.155239442596212e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,128,9.631312423152849e-06,0.004858114290982485,1.1553821423149202e-05,1.2169101864856202e-05,0.00870587583631277,1.1552890100574587e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,128,3.447909193710075e-07,1.800364543669275e-06,1.1552489013411105e-05,1.216716646013083e-05,0.008705315180122852,1.1552411706361454e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,128,9.927370570039784e-08,1.2375156188682013e-07,1.1552403520909138e-05,1.2167054592282511e-05,0.008705277927219868,1.155239442596212e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,128,128,64,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,4,128,3.2569464565312956e-06,0.004862330853939056,1.1552951036719605e-05,1.2167809472884983e-05,0.008705511689186096,1.1552482646948192e-05,0.0,0.0,2.2724270820617676e-07,0.0,2.5704503059387207e-07,0.0,48,48,16,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,8,128,1.7547378661220137e-07,2.062537987512769e-06,1.1552423529792577e-05,1.2167083696112968e-05,0.008705288171768188,1.155239897343563e-05,0.0,0.0,1.6763806343078613e-07,0.0,2.5704503059387207e-07,0.0,96,96,32,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,16,128,1.1035618285859528e-07,1.4326423070087912e-07,1.1552393516467419e-05,1.216704367834609e-05,0.008705275133252144,1.1552402611414436e-05,0.0,0.0,2.2724270820617676e-07,0.0,2.5704503059387207e-07,0.0,192,192,64,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,4,128,9.605608966012369e-07,0.004862743429839611,1.1552566320460755e-05,1.2167278327979147e-05,0.008705349639058113,1.1552411706361454e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,64,64,16,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,8,128,1.0373449299549975e-07,2.1710720830014907e-06,1.1552410796866752e-05,1.216706459672423e-05,0.00870528258383274,1.155239442596212e-05,0.0,0.0,1.6763806343078613e-07,0.0,2.5704503059387207e-07,0.0,128,128,32,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,16,128,1.212593474519963e-07,1.527739357243263e-07,1.1552406249393243e-05,1.2167057320766617e-05,0.008705277927219868,1.155240443040384e-05,0.0,0.0,2.086162567138672e-07,0.0,2.5704503059387207e-07,0.0,256,256,64,True
