epoch,train_prediction_mse,train_boundary_penalty,train_objective,validation_prediction_mse,maximum_prediction_abs,selected_best_so_far
1,0.0017437487113056704,3.8091695877540133e-06,0.0017437487113056704,,0.8488789796829224,False
2,0.0016891796985873953,2.5007500710216846e-06,0.0016891796985873953,,0.8572786450386047,False
3,0.0016549553110962734,4.835518119250537e-07,0.0016549553110962734,,0.8546895384788513,False
4,0.0016470513655804098,3.437107398696071e-07,0.0016470513655804098,,0.8591699004173279,False
5,0.0016415282298112288,4.914515798759567e-07,0.0016415282298112288,0.0021516091655939817,0.8669025897979736,True
6,0.0016399658779846504,3.376995145742967e-07,0.0016399658779846504,,0.8652512431144714,False
7,0.0016390258679166436,2.900974749309171e-07,0.0016390258679166436,,0.8633926510810852,False
8,0.0016375196137232706,3.3956081679775707e-07,0.0016375196137232706,,0.8626531362533569,False
9,0.0016360579465981573,4.0996323846798077e-07,0.0016360579465981573,,0.8639096021652222,False
10,0.0016343508468708023,3.8737239549391234e-07,0.0016343508468708023,0.002141248434782028,0.8630017042160034,True
11,0.0016335287800757214,4.846420047499578e-07,0.0016335287800757214,,0.8639335036277771,False
12,0.001633900887100026,6.326572901116378e-07,0.001633900887100026,,0.8632739186286926,False
13,0.0016315379034494981,6.687802489580008e-07,0.0016315379034494981,,0.8596527576446533,False
14,0.0016294110973831266,7.728857340794093e-07,0.0016294110973831266,,0.8634176850318909,False
15,0.001632291663554497,9.779770522300169e-07,0.001632291663554497,0.0021337897051125765,0.865458071231842,True
16,0.001625657023396343,1.1210874291123218e-06,0.001625657023396343,,0.8648260831832886,False
17,0.0016259668773273006,1.2900674235538645e-06,0.0016259668773273006,,0.8651394844055176,False
18,0.0016236624360317364,1.4275717745704242e-06,0.0016236624360317364,,0.8651688694953918,False
19,0.0016243966383626685,1.717701394454707e-06,0.0016243966383626685,,0.8640961050987244,False
20,0.0016187552537303418,1.826791432790742e-06,0.0016187552537303418,0.002120313001796603,0.8650659918785095,True
21,0.0016212685586651787,2.337160708520969e-06,0.0016212685586651787,,0.8591400980949402,False
22,0.0016210486501222476,2.5596460488941375e-06,0.0016210486501222476,,0.8645771145820618,False
23,0.001625422140932642,3.5956171586803976e-06,0.001625422140932642,,0.8635469675064087,False
24,0.0016215730720432475,3.30474105680878e-06,0.0016215730720432475,,0.8692342042922974,False
25,0.0016212184709729627,4.2966528894794465e-06,0.0016212184709729627,0.002111378125846386,0.858217716217041,True
26,0.0016084499948192388,4.117258413316449e-06,0.0016084499948192388,,0.8687794208526611,False
27,0.0016068289696704596,4.480150266772398e-06,0.0016068289696704596,,0.8670006990432739,False
28,0.0016041566705098376,5.0560062732074584e-06,0.0016041566705098376,,0.863122820854187,False
29,0.001599934505065903,5.936332627243246e-06,0.001599934505065903,,0.8644685745239258,False
30,0.0016008126258384436,7.084721687533602e-06,0.0016008126258384436,0.0020983400754630566,0.8667213320732117,True
31,0.0016024372598621994,7.347154053150007e-06,0.0016024372598621994,,0.8703410029411316,False
32,0.001595195266418159,8.717358241483453e-06,0.001595195266418159,,0.8590109348297119,False
33,0.001589242572663352,8.821719177376508e-06,0.001589242572663352,,0.8660963773727417,False
34,0.0015861099964240566,1.0202404951087374e-05,0.0015861099964240566,,0.8634583353996277,False
35,0.0015848040056880563,1.2179058899164374e-05,0.0015848040056880563,0.0020675610285252333,0.8601486682891846,True
36,0.001578596798935905,1.264569789327652e-05,0.001578596798935905,,0.8677819967269897,False
