evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.0,1.5172302028076956e-06,0.0010079911444336176,0.00024865256273187697,0.08453360944986343,0.0010079911444336176,0.2007545679807663,0.0638512521982193,6.4241461753845215,0.20083138346672058,6.426604270935059,9.63213062286377,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.0,2.249206772830803e-06,0.0021496054250746965,0.0007887800456956029,0.12270830571651459,0.0021496054250746965,0.19307437539100647,0.06659161299467087,6.178380012512207,0.20187993347644806,6.460157871246338,9.63213062286377,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.0,1.4415493296837667e-06,0.0010079906787723303,0.0002486530866008252,0.08453358709812164,0.0010079906787723303,0.20075400173664093,0.06385108828544617,6.42412805557251,0.20083138346672058,6.426604270935059,9.63213062286377,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.0,2.24237487600476e-06,0.0021496054250746965,0.0007887801039032638,0.12270830571651459,0.0021496054250746965,0.19307434558868408,0.06659160554409027,6.178379058837891,0.20187993347644806,6.460157871246338,9.63213062286377,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.0,2.1471882973855827e-06,0.002149605890735984,0.0007887819083407521,0.12270830571651459,0.002149605890735984,0.19307367503643036,0.06659144163131714,6.1783576011657715,0.20187993347644806,6.460157871246338,9.63213062286377,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.0,6.131554073363077e-06,0.003425941802561283,0.0015074539696797729,0.15128904581069946,0.003425941802561283,0.18197107315063477,0.06798768788576126,5.8230743408203125,0.23068004846572876,7.38176155090332,9.63213062286377,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,0.0,0.15262669324874878,0.008519611321389675,0.004781108349561691,0.21349367499351501,0.008519611321389675,0.1614365577697754,0.07393009215593338,5.1659698486328125,0.850609302520752,27.219497680664062,21.4285945892334,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.0,6.123103958088905e-06,0.003425942501053214,0.0015074544353410602,0.15128907561302185,0.003425942501053214,0.18197101354599,0.06798767298460007,5.82307243347168,0.23068004846572876,7.38176155090332,9.63213062286377,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,0.0,0.15262669324874878,0.008519613184034824,0.004781109280884266,0.21349367499351501,0.008519613184034824,0.1614365130662918,0.07393009215593338,5.165968418121338,0.850609302520752,27.219497680664062,21.4285945892334,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,7.040116906864569e-05,0.0008672008407302201,0.00214897352270782,0.0007893928559496999,0.12269182503223419,0.002149611711502075,0.19262027740478516,0.06645552068948746,6.163848876953125,0.36301517486572266,11.616485595703125,9.63213062286377,32,32,16,True
