evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.009832791984081268,0.00983278639614582,0.0010665194131433964,0.00032392237335443497,0.08889727294445038,0.0010336124105378985,0.20247778296470642,0.06373373419046402,6.4792890548706055,0.20247864723205566,6.479316711425781,8.930307388305664,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.031465210020542145,0.03146519511938095,0.0023083656560629606,0.0009775307262316346,0.13093964755535126,0.0022242895793169737,0.20037223398685455,0.06769916415214539,6.411911487579346,0.2045261114835739,6.544835567474365,8.82505989074707,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.005034967325627804,0.005034956149756908,0.001048087840899825,0.0003026210470125079,0.08770616352558136,0.0010336118284612894,0.20109586417675018,0.06369788199663162,6.435067653656006,0.20110394060611725,6.435326099395752,8.930307388305664,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.029925983399152756,0.029925908893346786,0.002245742827653885,0.0009074340923689306,0.12833796441555023,0.0022242895793169737,0.19749054312705994,0.0674753189086914,6.319697380065918,0.20363648235797882,6.516367435455322,8.88206672668457,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.02590932324528694,0.025909176096320152,0.0022003634367138147,0.0008615461993031204,0.12638625502586365,0.0022242895793169737,0.1939040571451187,0.06740693747997284,6.204929828643799,0.20363648235797882,6.516367435455322,8.930307388305664,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.0751648023724556,0.07516442239284515,0.0036196308210492134,0.0017453092150390148,0.16007637977600098,0.003741578198969364,0.19019809365272522,0.06947061419487,6.086338996887207,0.21363669633865356,6.836374282836914,8.856067657470703,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,1.05220627784729,1.0521769523620605,0.008923491463065147,0.005305365659296513,0.22511990368366241,0.1356620192527771,0.17412830889225006,0.076766736805439,5.572105884552002,0.3708224296569824,11.866317749023438,8.856067657470703,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.06942367553710938,0.06942308694124222,0.003512339200824499,0.001627295627258718,0.15654127299785614,0.003741578198969364,0.1855459362268448,0.06916584074497223,5.937469959259033,0.21363669633865356,6.836374282836914,8.917831420898438,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,1.028717279434204,1.0286880731582642,0.008602134883403778,0.004945998080074787,0.2191200852394104,0.1356620192527771,0.16703790426254272,0.07603563368320465,5.345212936401367,0.3708224296569824,11.866317749023438,8.917831420898438,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,0.009307189844548702,0.009309662505984306,0.002206898992881179,0.0008862550603225827,0.12825490534305573,0.002224283292889595,0.1956992745399475,0.0678875595331192,6.26237678527832,0.3067109286785126,9.814749717712402,8.82505989074707,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,128,0.00930738728493452,0.009307263419032097,0.0022073457948863506,0.0008858355577103794,0.1282663494348526,0.0022242895793169737,0.1960107982158661,0.06798017770051956,6.272345542907715,0.20363648235797882,6.516367435455322,8.82505989074707,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,128,0.00930740311741829,0.009307392872869968,0.0022073565050959587,0.000885826360899955,0.1282666176557541,0.0022242895793169737,0.19601751863956451,0.067982017993927,6.2725605964660645,0.20325995981693268,6.504318714141846,8.82505989074707,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,128,0.01774272695183754,0.017743414267897606,0.0021979378070682287,0.0008682283805683255,0.12692409753799438,0.002224283292889595,0.1943729817867279,0.06764737516641617,6.219935417175293,0.3067109286785126,9.814749717712402,8.88206672668457,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,128,0.01774294674396515,0.017742805182933807,0.0021980765741318464,0.0008681091712787747,0.1269276738166809,0.0022242895793169737,0.19446459412574768,0.0676727220416069,6.222867012023926,0.20363648235797882,6.516367435455322,8.88206672668457,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,128,0.017742961645126343,0.017742948606610298,0.0021980812307447195,0.0008681054459884763,0.12692779302597046,0.0022242895793169737,0.1944674849510193,0.06767348945140839,6.222959518432617,0.20325995981693268,6.504318714141846,8.88206672668457,128,128,64,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,4,128,0.023243959993124008,0.023244421929121017,0.0022085995879024267,0.0008741887286305428,0.12699197232723236,0.0022242888808250427,0.19460275769233704,0.06752430647611618,6.227288246154785,0.3067109286785126,9.814749717712402,8.82505989074707,48,48,16,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,8,128,0.023244015872478485,0.023243889212608337,0.002208643825724721,0.0008741520578041673,0.1269931197166443,0.0022242895793169737,0.19463026523590088,0.06753189861774445,6.228168487548828,0.20363648235797882,6.516367435455322,8.82505989074707,96,96,32,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,16,128,0.023244012147188187,0.02324400469660759,0.0022086454555392265,0.0008741506608203053,0.12699314951896667,0.0022242895793169737,0.19463129341602325,0.06753218919038773,6.228201389312744,0.20325995981693268,6.504318714141846,8.82505989074707,192,192,64,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,4,128,0.026909291744232178,0.026909878477454185,0.0022237729281187057,0.0008868796285241842,0.12748804688453674,0.0022242895793169737,0.1958336979150772,0.06747562438249588,6.266678333282471,0.3067109286785126,9.814749717712402,8.789375305175781,64,64,16,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,8,128,0.02690930664539337,0.026909206062555313,0.0022237850353121758,0.0008868695003911853,0.127488374710083,0.0022242895793169737,0.19584107398986816,0.06747767329216003,6.266914367675781,0.20363648235797882,6.516367435455322,8.789375305175781,128,128,32,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,16,128,0.026909302920103073,0.026909299194812775,0.0022237857338041067,0.0008868691511452198,0.127488374710083,0.0022242895793169737,0.19584140181541443,0.0674777626991272,6.266924858093262,0.20325995981693268,6.504318714141846,8.789375305175781,256,256,64,True
