evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.0,1.4464569630945334e-07,0.0013614014023914933,0.0013270574854686856,0.10657890141010284,0.0013614014023914933,0.023064345121383667,0.009479512460529804,0.09687010943889618,0.02306455373764038,0.09687115252017975,0.3347620666027069,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.0,1.8153278347199375e-07,0.0034343877341598272,0.0034123749937862158,0.17148755490779877,0.0034343877341598272,0.03995576500892639,0.01686111092567444,0.16781415045261383,0.039957642555236816,0.16782201826572418,0.3347620666027069,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.0,1.1144061318191234e-07,0.0013614015188068151,0.0013270574854686856,0.10657890141010284,0.0013614015188068151,0.02306431531906128,0.009479514323174953,0.09687002003192902,0.02306455373764038,0.09687115252017975,0.3347620666027069,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.0,1.339401194400125e-07,0.0034343877341598272,0.0034123752266168594,0.17148754000663757,0.0034343877341598272,0.039955705404281616,0.016861112788319588,0.16781388223171234,0.039957642555236816,0.16782201826572418,0.3347620666027069,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.0,1.0266533934100153e-07,0.0034343877341598272,0.0034123752266168594,0.17148754000663757,0.0034343877341598272,0.039955705404281616,0.016861112788319588,0.1678139716386795,0.039957642555236816,0.16782201826572418,0.3347620666027069,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.0,1.6769195099186618e-07,0.005634348373860121,0.005649221129715443,0.21912270784378052,0.005634348373860121,0.052218079566955566,0.02264680154621601,0.21931596100330353,0.05222311615943909,0.21933694183826447,0.3347620666027069,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,0.0,2.3338461119237763e-07,0.01319928653538227,0.013437977991998196,0.31654947996139526,0.01319928653538227,0.07167032361030579,0.033778026700019836,0.30101531744003296,0.07168504595756531,0.30107712745666504,0.3347620666027069,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.0,1.2241127933521057e-07,0.005634348839521408,0.005649221129715443,0.21912270784378052,0.005634348839521408,0.05221793055534363,0.022646797820925713,0.2193153351545334,0.05222311615943909,0.21933694183826447,0.3347620666027069,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,0.0,1.9308195930989314e-07,0.01319928653538227,0.013437977991998196,0.31654947996139526,0.01319928653538227,0.07167032361030579,0.033778026700019836,0.30101531744003296,0.07168504595756531,0.30107712745666504,0.3347620666027069,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,8.350538394097384e-08,7.130386592280047e-08,0.003434387966990471,0.003412375459447503,0.17148754000663757,0.0034343877341598272,0.03995561599731445,0.016861092299222946,0.16781358420848846,0.03997260332107544,0.16788487136363983,0.3347620666027069,32,32,16,True
