evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.0,1.5259380461429828e-06,0.00031321615097112954,7.710946374572814e-05,0.05292757600545883,0.00031321615097112954,0.11218374967575073,0.04097061604261398,0.47117167711257935,0.11240312457084656,0.4720931947231293,6.720638275146484,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.0,2.30051455218927e-06,0.0005689205718226731,0.00022469884424936026,0.07147347182035446,0.0005689205718226731,0.10872919857501984,0.04159289970993996,0.4566626250743866,0.11391119658946991,0.47842687368392944,6.720638275146484,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.0,1.454060793548706e-06,0.00031321585993282497,7.710971840424463e-05,0.052927546203136444,0.00031321585993282497,0.1121833473443985,0.04097050055861473,0.47117000818252563,0.11240312457084656,0.4720931947231293,6.720638275146484,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.0,2.29315060096269e-06,0.0005689206882379949,0.00022469887335319072,0.07147346436977386,0.0005689206882379949,0.10872922837734222,0.04159289598464966,0.45666268467903137,0.11391119658946991,0.47842687368392944,6.720638275146484,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.0,2.1951859707769472e-06,0.0005689211538992822,0.00022469964460469782,0.07147347927093506,0.0005689211538992822,0.10872894525527954,0.04159281402826309,0.45666149258613586,0.11391119658946991,0.47842687368392944,6.720638275146484,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.0,1.041689029079862e-05,0.0008149263449013233,0.00039638971793465316,0.08438992500305176,0.0008149263449013233,0.10915938019752502,0.041799191385507584,0.45846933126449585,0.17702558636665344,0.743507444858551,6.720638275146484,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,0.0,0.15338927507400513,0.0016476187156513333,0.0010595398489385843,0.11086653172969818,0.0016476187156513333,0.10887496173381805,0.04336514696478844,0.4572747051715851,0.888042688369751,3.729779005050659,23.558826446533203,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.0,1.0411982657387853e-05,0.0008149264613166451,0.00039638986345380545,0.08438992500305176,0.0008149264613166451,0.10915939509868622,0.041799187660217285,0.45846936106681824,0.17702558636665344,0.743507444858551,6.720638275146484,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,0.0,0.15338927507400513,0.0016476187156513333,0.0010595398489385843,0.11086653918027878,0.0016476187156513333,0.10887496173381805,0.04336514696478844,0.45727476477622986,0.888042688369751,3.729779005050659,23.558826446533203,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,0.00028720893897116184,0.008456554263830185,0.000568343442864716,0.00022554174938704818,0.07143798470497131,0.0005689307581633329,0.10802356898784637,0.041284509003162384,0.45369890332221985,0.30982547998428345,1.3012667894363403,10.73318099975586,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,128,7.140974958019797e-07,1.6714288904040586e-06,0.0005689181271009147,0.00022470213298220187,0.07147327065467834,0.0005689211538992822,0.10872688889503479,0.04159199818968773,0.45665282011032104,0.11391119658946991,0.47842687368392944,6.720638275146484,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,128,1.0437678099606273e-07,1.15704864356303e-07,0.0005689205136150122,0.00022469900432042778,0.07147346436977386,0.0005689206882379949,0.10872912406921387,0.04159286245703697,0.45666223764419556,0.11240312457084656,0.4720931947231293,6.720638275146484,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,128,1.4405376532522496e-05,0.00872769858688116,0.0005688602104783058,0.00022476949379779398,0.07146953046321869,0.0005689307581633329,0.10867072641849518,0.04156915098428726,0.45641693472862244,0.30982547998428345,1.3012667894363403,10.73318099975586,32,32,16,True
