evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.0,2.4512487470929045e-06,2.645233735165675e-06,2.815893594743102e-06,0.0037050002720206976,2.645233735165675e-06,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.0,7.684338925173506e-06,5.850195520906709e-06,6.2276271819428075e-06,0.0057660480961203575,5.850195520906709e-06,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.0,2.3338463961408706e-06,2.6452339625393506e-06,2.815894276864128e-06,0.0037049991078674793,2.6452339625393506e-06,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.0,7.667502359254286e-06,5.850199158885516e-06,6.227630819921615e-06,0.005766045302152634,5.850199158885516e-06,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.0,7.353311957558617e-06,5.850150500918971e-06,6.2275789787236135e-06,0.005765996407717466,5.850150500918971e-06,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.0,5.5494783737231046e-05,9.289475201512687e-06,9.888794920698274e-06,0.0073392633348703384,9.289475201512687e-06,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,0.0,0.15557748079299927,2.2727064788341522e-05,2.4193326680688187e-05,0.011087311431765556,2.2727064788341522e-05,0.0,0.0,0.0,0.0,0.0,0.0,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.0,5.544603482121602e-05,9.289458830608055e-06,9.888776730804238e-06,0.007339249365031719,9.289458830608055e-06,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,0.0,0.15557746589183807,2.2727008399670012e-05,2.419326665403787e-05,0.011087292805314064,2.2727008399670012e-05,0.0,0.0,0.0,0.0,0.0,0.0,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,0.001060576643794775,0.03697894141077995,5.944537861068966e-06,6.328055860649329e-06,0.005926359444856644,5.84909821554902e-06,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
