evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.0,2.0893248802167363e-06,0.0015176803572103381,0.000636542506981641,0.12829139828681946,0.0015176803572103381,0.2711590528488159,0.12318813800811768,0.2711590528488159,0.27123284339904785,0.27123284339904785,6.604796886444092,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.0,6.922127795405686e-06,0.0028514405712485313,0.0015933709219098091,0.1746273636817932,0.0028514405712485313,0.329604834318161,0.14950424432754517,0.329604834318161,0.32970762252807617,0.32970762252807617,6.604796886444092,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.0,1.980308070415049e-06,0.0015176794258877635,0.0006365429726429284,0.12829136848449707,0.0015176794258877635,0.2711588442325592,0.12318804115056992,0.2711588442325592,0.27123284339904785,0.27123284339904785,6.604796886444092,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.0,6.904346264491323e-06,0.0028514403384178877,0.001593371038325131,0.1746273636817932,0.0028514403384178877,0.32960477471351624,0.14950422942638397,0.32960477471351624,0.32970762252807617,0.32970762252807617,6.604796886444092,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.0,6.587330062757246e-06,0.0028514356818050146,0.0015933724353089929,0.17462721467018127,0.0028514356818050146,0.32960402965545654,0.1495038866996765,0.32960402965545654,0.32970762252807617,0.32970762252807617,6.604796886444092,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.0,1.0601103895169217e-05,0.003877757815644145,0.0025135930627584457,0.20147067308425903,0.003877757815644145,0.34691593050956726,0.15818440914154053,0.34691593050956726,0.3469967544078827,0.3469967544078827,6.604796886444092,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,0.0,0.00045959444832988083,0.0065284050069749355,0.005185987334698439,0.24779263138771057,0.0065284050069749355,0.35040175914764404,0.16533565521240234,0.35040175914764404,0.3535875976085663,0.3535875976085663,6.604796886444092,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.0,1.0579288755252492e-05,0.0038777573499828577,0.0025135930627584457,0.20147065818309784,0.0038777573499828577,0.3469158411026001,0.15818437933921814,0.3469158411026001,0.3469967544078827,0.3469967544078827,6.604796886444092,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,0.0,0.0004595886275637895,0.0065284050069749355,0.005185986403375864,0.24779263138771057,0.0065284050069749355,0.35040169954299927,0.16533565521240234,0.35040169954299927,0.3535875976085663,0.3535875976085663,6.604796886444092,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,8.216288551921025e-05,0.0001353068364551291,0.002850391436368227,0.001593940076418221,0.17459437251091003,0.002851341385394335,0.3294055461883545,0.14941681921482086,0.3294055461883545,0.3311425447463989,0.3311425447463989,6.604796886444092,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,128,2.974869858007878e-06,3.6352762435853947e-06,0.002851397730410099,0.001593391178175807,0.17462603747844696,0.0028514356818050146,0.3295968770980835,0.14950081706047058,0.3295968770980835,0.32970762252807617,0.32970762252807617,6.604796886444092,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,128,1.8567479287412425e-07,1.9573715803744562e-07,0.0028514384757727385,0.001593371736817062,0.17462730407714844,0.0028514403384178877,0.3296043872833252,0.14950406551361084,0.3296043872833252,0.3296149671077728,0.3296149671077728,6.604796886444092,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,128,2.7754031179938465e-05,0.00018927118799183518,0.0028510713018476963,0.0015936263371258974,0.17461565136909485,0.002851341385394335,0.3295290172100067,0.14947061240673065,0.3295290172100067,0.3311425447463989,0.3311425447463989,6.604796886444092,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,128,1.1094577985204523e-06,5.504488854057854e-06,0.002851424040272832,0.0015933813992887735,0.17462685704231262,0.0028514356818050146,0.3296014964580536,0.14950279891490936,0.3296014964580536,0.32970762252807617,0.32970762252807617,6.604796886444092,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,128,1.272402130325645e-07,2.8156028974990477e-07,0.0028514398727566004,0.0015933713875710964,0.17462733387947083,0.0028514403384178877,0.3296046257019043,0.1495041698217392,0.3296046257019043,0.3296149671077728,0.3296149671077728,6.604796886444092,128,128,64,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,4,128,1.0933509656751994e-05,0.0002111275098286569,0.002851315541192889,0.001593464519828558,0.17462339997291565,0.0028514235746115446,0.3295784592628479,0.14949248731136322,0.3295784592628479,0.3311425447463989,0.3311425447463989,6.604796886444092,48,48,16,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,8,128,4.97043856739765e-07,6.3857614804874174e-06,0.0028514345176517963,0.001593374996446073,0.1746271848678589,0.0028514396399259567,0.3296036124229431,0.149503692984581,0.3296036124229431,0.32970762252807617,0.32970762252807617,6.604796886444092,96,96,32,True
