evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,8,128,0.012512562796473503,0.012512486428022385,1.83921838470269e-05,1.8931477825390175e-05,0.013231020420789719,2.8530994313769042e-06,0.0,0.0,1.7881393432617188e-07,0.0,2.5704503059387207e-07,0.0,128,128,32,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,8,128,0.024529993534088135,0.024529805406928062,6.549812678713351e-05,6.794222281314433e-05,0.024745656177401543,1.0886847121582832e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,256,256,32,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,8,128,0.008304398506879807,0.008304335176944733,9.478452739131171e-06,9.801549822441302e-06,0.009371016174554825,2.8531067073345184e-06,0.0,0.0,2.384185791015625e-07,0.0,2.5704503059387207e-07,0.0,64,64,32,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,8,128,0.017856057733297348,0.0178559347987175,3.2950447348412126e-05,3.42535313393455e-05,0.017438245937228203,1.0886826203204691e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,128,128,32,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,8,128,0.006788572762161493,0.006788726896047592,7.123677733034128e-06,7.541613285866333e-06,0.0064791422337293625,1.088686622097157e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,64,64,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,8,128,0.11832410097122192,0.11832404136657715,0.00010735791875049472,0.00011184576578671113,0.030850768089294434,0.0019210530444979668,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,256,256,32,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,8,128,1.8947269916534424,1.8947229385375977,0.0004712468071375042,0.0004932892043143511,0.058832839131355286,0.4078565537929535,0.0,0.0,2.2724270820617676e-07,0.0,3.688037395477295e-07,0.0,512,512,32,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,8,128,0.13312946259975433,0.13312941789627075,2.821662201313302e-05,2.96026082651224e-05,0.014630347490310669,0.0019210532773286104,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,128,128,32,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,8,128,1.8772095441818237,1.8772056102752686,0.00012168977264082059,0.00012799282558262348,0.02755698934197426,0.4078565537929535,0.0,0.0,2.2724270820617676e-07,0.0,3.688037395477295e-07,0.0,256,256,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,128,0.004344061017036438,0.007075549103319645,9.788712304725777e-06,1.0310887773812283e-05,0.008703287690877914,1.088730277842842e-05,0.0,0.0,1.9744038581848145e-07,0.0,2.5704503059387207e-07,0.0,32,32,16,True
