JobIDRaw|JobName|State|ExitCode|Elapsed|NodeList
23583445|bnd-w2-a|COMPLETED|0:0|00:02:04|e07r04
23583446|bnd-w2-a|COMPLETED|0:0|00:02:03|e07r04
23583447|bnd-w2-a|COMPLETED|0:0|00:01:34|e07r04
23583448|bnd-w2-a|COMPLETED|0:0|00:01:36|e07r04
23583449|bnd-w2-a|COMPLETED|0:0|00:01:37|e07r05
23583450|bnd-w2-a|COMPLETED|0:0|00:01:39|e07r05
23583451|bnd-w2-a|COMPLETED|0:0|00:02:30|e07r05
23583452|bnd-w2-a|COMPLETED|0:0|00:02:29|e08r01
23583453|bnd-w2-a|COMPLETED|0:0|00:01:43|e08r01
23583454|bnd-w2-a|COMPLETED|0:0|00:01:42|e08r01
23583455|bnd-w2-a|COMPLETED|0:0|00:01:51|e09r03
23583456|bnd-w2-a|COMPLETED|0:0|00:01:51|e09r03
23583457|bnd-w2-a|COMPLETED|0:0|00:03:18|e09r03
23583458|bnd-w2-a|COMPLETED|0:0|00:03:21|e09r03
23583459|bnd-w2-a|COMPLETED|0:0|00:01:56|e09r04
23583460|bnd-w2-a|COMPLETED|0:0|00:01:55|e09r04
23583461|bnd-w2-a|COMPLETED|0:0|00:01:55|e09r04
23583444|bnd-w2-a|COMPLETED|0:0|00:02:02|e09r05
