JobIDRaw|JobName|State|ExitCode|Elapsed|NodeList
23583660|bnd-w2-b|COMPLETED|0:0|00:02:07|e07r04
23583661|bnd-w2-b|COMPLETED|0:0|00:02:03|e07r04
23583662|bnd-w2-b|COMPLETED|0:0|00:01:34|e07r04
23583663|bnd-w2-b|COMPLETED|0:0|00:01:36|e07r04
23583664|bnd-w2-b|COMPLETED|0:0|00:01:30|e07r05
23583665|bnd-w2-b|COMPLETED|0:0|00:01:31|e07r05
23583666|bnd-w2-b|COMPLETED|0:0|00:02:23|e07r05
23583667|bnd-w2-b|COMPLETED|0:0|00:02:24|e08r01
23583668|bnd-w2-b|COMPLETED|0:0|00:01:36|e08r01
23583669|bnd-w2-b|COMPLETED|0:0|00:01:37|e08r01
23583670|bnd-w2-b|COMPLETED|0:0|00:01:40|e09r03
23583671|bnd-w2-b|COMPLETED|0:0|00:01:40|e09r03
23583672|bnd-w2-b|COMPLETED|0:0|00:03:09|e09r03
23583673|bnd-w2-b|COMPLETED|0:0|00:03:15|e09r03
23583674|bnd-w2-b|COMPLETED|0:0|00:01:50|e09r04
23583675|bnd-w2-b|COMPLETED|0:0|00:01:47|e09r04
23583676|bnd-w2-b|COMPLETED|0:0|00:01:49|e09r04
23583677|bnd-w2-b|COMPLETED|0:0|00:01:56|e09r05
23583678|bnd-w2-b|COMPLETED|0:0|00:02:02|e09r05
23583679|bnd-w2-b|COMPLETED|0:0|00:02:00|e09r05
23583680|bnd-w2-b|COMPLETED|0:0|00:01:33|e12r01
23583681|bnd-w2-b|COMPLETED|0:0|00:01:32|e12r01
23583682|bnd-w2-b|COMPLETED|0:0|00:01:31|e12r01
23583683|bnd-w2-b|COMPLETED|0:0|00:01:32|e12r01
23583684|bnd-w2-b|COMPLETED|0:0|00:02:24|e12r02
23583685|bnd-w2-b|COMPLETED|0:0|00:02:24|e12r02
23583686|bnd-w2-b|COMPLETED|0:0|00:01:40|e12r02
23583687|bnd-w2-b|COMPLETED|0:0|00:01:41|e12r02
23583688|bnd-w2-b|COMPLETED|0:0|00:01:39|e12r03
23583689|bnd-w2-b|COMPLETED|0:0|00:01:40|e12r03
23583690|bnd-w2-b|COMPLETED|0:0|00:03:16|e12r03
23583691|bnd-w2-b|COMPLETED|0:0|00:03:13|e12r03
23583692|bnd-w2-b|COMPLETED|0:0|00:02:00|e10r03
23583693|bnd-w2-b|COMPLETED|0:0|00:02:01|e10r03
23583694|bnd-w2-b|COMPLETED|0:0|00:01:59|e10r04
23583659|bnd-w2-b|COMPLETED|0:0|00:02:01|e10r04
