evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.0,5.5690080102976935e-08,0.0009762575500644743,0.0007165026036091149,0.08416149765253067,0.0009762575500644743,0.0,0.0,0.0,0.0,0.0,0.0,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.0,7.543222579897702e-08,0.0034202467650175095,0.002586070913821459,0.15346232056617737,0.0034202467650175095,0.0,0.0,0.0,0.0,0.0,0.0,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.0,4.4048121594642e-08,0.0009762575500644743,0.0007165026036091149,0.08416150510311127,0.0009762575500644743,0.0,0.0,0.0,0.0,0.0,0.0,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.0,6.644425809554377e-08,0.003420246997848153,0.002586071379482746,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.0,5.503446232069109e-08,0.003420246997848153,0.0025860711466521025,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.0,9.860332994549026e-08,0.0070357294753193855,0.005448436364531517,0.21305212378501892,0.0070357294753193855,0.0,0.0,0.0,0.0,0.0,0.0,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.0,1.21689183174567e-07,0.024376967921853065,0.019834639504551888,0.35306644439697266,0.024376967921853065,0.0,0.0,0.0,0.0,0.0,0.0,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.0,9.596327288363682e-08,0.0070357294753193855,0.005448435433208942,0.21305210888385773,0.0070357294753193855,0.0,0.0,0.0,0.0,0.0,0.0,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.0,1.1083581341608806e-07,0.024376967921853065,0.019834639504551888,0.35306647419929504,0.024376967921853065,0.0,0.0,0.0,0.0,0.0,0.0,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,9.316349292021187e-08,7.470836749234877e-08,0.003420246997848153,0.0025860711466521025,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,8,8.938974360717111e-08,1.0828688346009585e-07,0.003420246997848153,0.002586070913821459,0.15346232056617737,0.0034202467650175095,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,8,1.4850287755052705e-07,1.246786780484399e-07,0.0034202472306787968,0.0025860716123133898,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,8,7.638180932190153e-08,6.561479892752686e-08,0.0034202467650175095,0.002586070913821459,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,8,1.0483504553349121e-07,1.0142858997141957e-07,0.0034202474635094404,0.0025860716123133898,0.15346232056617737,0.0034202467650175095,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,8,1.419296893345745e-07,1.1120386034235707e-07,0.003420246997848153,0.002586070913821459,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,128,128,64,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,4,8,1.0260472294021383e-07,8.721375621689731e-08,0.003420246997848153,0.002586071379482746,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,48,48,16,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,8,8,1.3305705692800984e-07,1.1528460674981034e-07,0.003420246997848153,0.002586071379482746,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,96,96,32,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,16,8,1.6071020070285158e-07,1.454093876418483e-07,0.0034202472306787968,0.002586071379482746,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,192,192,64,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,4,8,8.499669945649657e-08,8.951678154289766e-08,0.003420246997848153,0.002586071379482746,0.15346232056617737,0.0034202467650175095,0.0,0.0,0.0,0.0,0.0,0.0,64,64,16,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,8,8,1.303040164657432e-07,1.2950293637459254e-07,0.0034202467650175095,0.002586070913821459,0.15346232056617737,0.003420246997848153,0.0,0.0,0.0,0.0,0.0,0.0,128,128,32,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,16,8,2.368499849580985e-07,2.326467409830002e-07,0.003420246299356222,0.0025860704481601715,0.15346232056617737,0.0034202467650175095,0.0,0.0,0.0,0.0,0.0,0.0,256,256,64,True
