evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.0,6.82190943734895e-08,0.0009671339066699147,0.0007163512636907399,0.08381064236164093,0.0009671339066699147,0.001719444990158081,0.0007549566216766834,0.027511119842529297,0.001719444990158081,0.027511119842529297,0.02175500988960266,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.0,9.563745351215402e-08,0.003387230448424816,0.002585598500445485,0.15280234813690186,0.003387230448424816,0.0034810304641723633,0.0015276268823072314,0.05569648742675781,0.003481149673461914,0.055698394775390625,0.02228713035583496,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.0,6.869784385798994e-08,0.0009671335574239492,0.0007163510308600962,0.08381064236164093,0.0009671335574239492,0.0017194151878356934,0.0007549479487352073,0.027510643005371094,0.001719444990158081,0.027511119842529297,0.02175500988960266,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.0,9.193277605845651e-08,0.003387229982763529,0.002585598034784198,0.15280231833457947,0.003387229982763529,0.0034810304641723633,0.0015276180347427726,0.05569648742675781,0.003481149673461914,0.055698394775390625,0.02228713035583496,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.0,4.932726227480089e-08,0.003387230448424816,0.002585598034784198,0.15280231833457947,0.003387230448424816,0.0034810900688171387,0.001527627115137875,0.05569744110107422,0.003481149673461914,0.055698394775390625,0.02228713035583496,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.0,9.643661513791812e-08,0.006966808345168829,0.005447641480714083,0.21212100982666016,0.006966808345168829,0.005285680294036865,0.002318337792530656,0.08457088470458984,0.005285888910293579,0.08457422256469727,0.02282881736755371,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.0,1.4232495004762313e-07,0.02413768321275711,0.019833819940686226,0.35150089859962463,0.02413768321275711,0.010964900255203247,0.0048018754459917545,0.17543840408325195,0.01096653938293457,0.17546463012695312,0.0245131254196167,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.0,7.17427326435427e-08,0.006966808810830116,0.005447641480714083,0.21212100982666016,0.006966808810830116,0.00528562068939209,0.0023183345329016447,0.08456993103027344,0.005285888910293579,0.08457422256469727,0.02282881736755371,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.0,1.0159400432030452e-07,0.024137679487466812,0.019833818078041077,0.351500928401947,0.024137679487466812,0.010964810848236084,0.004801882430911064,0.17543697357177734,0.01096653938293457,0.17546463012695312,0.0245131254196167,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,1.0425078755815775e-07,7.764651854813565e-08,0.0033872302155941725,0.002585598034784198,0.15280231833457947,0.003387229982763529,0.0034810006618499756,0.0015276162885129452,0.05569601058959961,0.0034810900688171387,0.05569744110107422,0.02228713035583496,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,8,1.049011260079169e-07,1.0729523580721434e-07,0.003387229982763529,0.002585598034784198,0.15280231833457947,0.003387230448424816,0.003481060266494751,0.0015276279300451279,0.055696964263916016,0.003481060266494751,0.055696964263916016,0.02228713035583496,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,8,1.7863716550436948e-07,1.7413876207683643e-07,0.00338723068125546,0.0025855987332761288,0.15280233323574066,0.0033872302155941725,0.0034812092781066895,0.0015276403864845634,0.05569934844970703,0.0034812092781066895,0.05569934844970703,0.02228716015815735,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,8,1.1024983592733406e-07,7.8513977541661e-08,0.0033872302155941725,0.002585598500445485,0.15280233323574066,0.003387229982763529,0.0034810304641723633,0.001527623855508864,0.05569648742675781,0.0034810900688171387,0.05569744110107422,0.02228713035583496,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,8,1.4303867601483944e-07,1.3146903654615016e-07,0.003387229982763529,0.002585598034784198,0.15280233323574066,0.003387230448424816,0.0034810900688171387,0.001527629210613668,0.05569744110107422,0.0034810900688171387,0.05569744110107422,0.02228713035583496,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,8,1.5273896281087218e-07,1.3676418575414573e-07,0.0033872302155941725,0.002585598034784198,0.15280231833457947,0.0033872302155941725,0.003480970859527588,0.001527610351331532,0.055695533752441406,0.0034810304641723633,0.05569648742675781,0.02228713035583496,128,128,64,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,4,8,1.0639716663263243e-07,8.420873598424805e-08,0.003387230448424816,0.0025855982676148415,0.15280231833457947,0.003387229982763529,0.003481060266494751,0.0015276252524927258,0.055696964263916016,0.0034811198711395264,0.05569791793823242,0.02228713035583496,48,48,16,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,8,8,1.6899350896437682e-07,1.1722650583578798e-07,0.003387229982763529,0.002585598034784198,0.15280231833457947,0.0033872302155941725,0.0034810900688171387,0.0015276260673999786,0.05569744110107422,0.0034810900688171387,0.05569744110107422,0.02228713035583496,96,96,32,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,16,8,2.1704255459553679e-07,1.7645930938670062e-07,0.00338723068125546,0.0025855982676148415,0.15280233323574066,0.003387229749932885,0.003481060266494751,0.0015276104677468538,0.055696964263916016,0.003481060266494751,0.055696964263916016,0.02228713035583496,192,192,64,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,4,8,1.17741926430881e-07,1.064634176373147e-07,0.003387230448424816,0.002585598500445485,0.15280234813690186,0.003387230448424816,0.003481060266494751,0.0015276247868314385,0.055696964263916016,0.0034810900688171387,0.05569744110107422,0.02228713035583496,64,64,16,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,8,8,1.732160939127425e-07,1.7098037119467335e-07,0.00338723068125546,0.002585598500445485,0.15280234813690186,0.0033872302155941725,0.003481060266494751,0.0015276188496500254,0.055696964263916016,0.003481060266494751,0.055696964263916016,0.02228713035583496,128,128,32,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,16,8,2.7028966087527806e-07,2.5850170004559914e-07,0.003387229749932885,0.002585597336292267,0.15280231833457947,0.003387230448424816,0.0034810900688171387,0.0015276228077709675,0.05569744110107422,0.003481268882751465,0.05570030212402344,0.02228713035583496,256,256,64,True
