evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.007871713489294052,0.007871720008552074,0.0010704034939408302,0.0008063529967330396,0.08990021049976349,0.0009797228267416358,0.0015926957130432129,0.0006693147006444633,0.025483131408691406,0.0017240941524505615,0.027585506439208984,0.021800905466079712,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.023309964686632156,0.023309960961341858,0.003801714861765504,0.002953847637400031,0.16498234868049622,0.003289586864411831,0.0032120943069458008,0.0013486999087035656,0.05139350891113281,0.0032120943069458008,0.05139350891113281,0.020410388708114624,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.004523549694567919,0.004523548297584057,0.0010303151793777943,0.0007715219398960471,0.08759286999702454,0.0009797225939109921,0.0017041265964508057,0.0007295385003089905,0.02726602554321289,0.0017240941524505615,0.027585506439208984,0.021800905466079712,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.016619952395558357,0.016619950532913208,0.0036405872087925673,0.0028110989369452,0.16037189960479736,0.0032895866315811872,0.0034429728984832764,0.001472803414799273,0.05508756637573242,0.0034429728984832764,0.05508756637573242,0.021955594420433044,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.007671632803976536,0.007671630010008812,0.003438045270740986,0.0026307376101613045,0.15430229902267456,0.0032895870972424746,0.003488391637802124,0.0015325244748964906,0.055814266204833984,0.0034884214401245117,0.05581474304199219,0.022308051586151123,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.03486919403076172,0.03486919403076172,0.007711461279541254,0.006118421908468008,0.2265283763408661,0.00662210350856185,0.005063831806182861,0.0021453537046909332,0.08102130889892578,0.005063831806182861,0.08102130889892578,0.021692365407943726,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.11092686653137207,0.11092687398195267,0.027249351143836975,0.022698506712913513,0.3782358765602112,0.020499132573604584,0.010417371988296509,0.004404186271131039,0.16667795181274414,0.010417371988296509,0.16667795181274414,0.022931426763534546,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.0226027499884367,0.022602753713726997,0.007273969706147909,0.005725385621190071,0.2181631326675415,0.006622103974223137,0.005362480878829956,0.002327196765691042,0.0857996940612793,0.005362480878829956,0.0857996940612793,0.023093581199645996,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.08501612395048141,0.08501612395048141,0.025420721620321274,0.021019892767071724,0.36272746324539185,0.020499134436249733,0.011091619729995728,0.004804067313671112,0.17746591567993164,0.011091619729995728,0.17746591567993164,0.02466261386871338,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,0.0039041859563440084,0.003904185490682721,0.003366292454302311,0.0025613943580538034,0.15198363363742828,0.0032895866315811872,0.0027415454387664795,0.0012092944234609604,0.04386472702026367,0.002741575241088867,0.043865203857421875,0.019826948642730713,32,32,16,True
