evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.0,6.741197466908488e-08,0.0005686081713065505,0.0006444226019084454,0.0744137316942215,0.0005686081713065505,0.0,0.0,0.0,0.0,0.0,0.0,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.0,9.259318289878138e-08,0.0018289336003363132,0.0020727915689349174,0.1306249499320984,0.0018289336003363132,0.0,0.0,0.0,0.0,0.0,0.0,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.0,4.669389852551831e-08,0.0005686083459295332,0.0006444227765314281,0.0744137316942215,0.0005686083459295332,0.0,0.0,0.0,0.0,0.0,0.0,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.0,7.283711767058776e-08,0.001828933833166957,0.002072791801765561,0.1306249499320984,0.001828933833166957,0.0,0.0,0.0,0.0,0.0,0.0,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.0,5.0624549885469605e-08,0.001828933716751635,0.0020727915689349174,0.1306249499320984,0.001828933716751635,0.0,0.0,0.0,0.0,0.0,0.0,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.0,9.325705718765676e-08,0.0035568897146731615,0.004031142219901085,0.17815688252449036,0.0035568897146731615,0.0,0.0,0.0,0.0,0.0,0.0,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.0,1.072191935236333e-07,0.010988302528858185,0.012453409843146801,0.29265210032463074,0.010988302528858185,0.0,0.0,0.0,0.0,0.0,0.0,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.0,7.691276948662562e-08,0.0035568908788263798,0.0040311431512236595,0.17815688252449036,0.0035568908788263798,0.0,0.0,0.0,0.0,0.0,0.0,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.0,9.992591287755204e-08,0.01098830346018076,0.01245341170579195,0.2926521301269531,0.01098830346018076,0.0,0.0,0.0,0.0,0.0,0.0,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,9.612303131234512e-08,8.604141044088465e-08,0.001828933716751635,0.0020727915689349174,0.1306249499320984,0.001828933833166957,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,8,1.1689192547237326e-07,1.0887434598316759e-07,0.0018289334839209914,0.00207279110327363,0.1306249499320984,0.0018289336003363132,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,8,1.405706768764503e-07,1.536010643121699e-07,0.001828933716751635,0.002072791801765561,0.1306249499320984,0.0018289334839209914,0.0,0.0,0.0,0.0,0.0,0.0,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,8,1.0230390046217508e-07,8.37951290577621e-08,0.001828933716751635,0.002072791801765561,0.1306249499320984,0.001828933833166957,0.0,0.0,0.0,0.0,0.0,0.0,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,8,1.0595640276278573e-07,1.1258679677439432e-07,0.001828933833166957,0.002072791801765561,0.13062496483325958,0.0018289336003363132,0.0,0.0,0.0,0.0,0.0,0.0,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,8,1.5222593674479867e-07,1.496438528647559e-07,0.001828933716751635,0.0020727915689349174,0.1306249499320984,0.0018289334839209914,0.0,0.0,0.0,0.0,0.0,0.0,128,128,64,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,4,8,1.3802602438772738e-07,9.641986764563626e-08,0.0018289333675056696,0.00207279110327363,0.1306249350309372,0.0018289341824129224,0.0,0.0,0.0,0.0,0.0,0.0,48,48,16,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,8,8,1.7964214293897385e-07,1.1498376295548951e-07,0.0018289339495822787,0.002072791801765561,0.1306249499320984,0.0018289334839209914,0.0,0.0,0.0,0.0,0.0,0.0,96,96,32,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,16,8,2.0567914305047452e-07,1.777166005467734e-07,0.001828933833166957,0.0020727915689349174,0.1306249499320984,0.0018289332510903478,0.0,0.0,0.0,0.0,0.0,0.0,192,192,64,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,4,8,1.0436400543767377e-07,9.13471538410704e-08,0.0018289334839209914,0.002072791801765561,0.1306249499320984,0.0018289336003363132,0.0,0.0,0.0,0.0,0.0,0.0,64,64,16,True
