evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.0,7.378024236004421e-08,0.0005815071635879576,0.0006574212457053363,0.07523159682750702,0.0005815071635879576,0.00584256649017334,0.003485899418592453,0.00584256649017334,0.00584256649017334,0.00584256649017334,0.07344026863574982,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.0,1.0199353539519507e-07,0.0018820755649358034,0.0021264678798615932,0.13241544365882874,0.0018820755649358034,0.011750668287277222,0.007009739987552166,0.011750668287277222,0.011750742793083191,0.011750742793083191,0.07426442205905914,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.0,5.959035220826081e-08,0.0005815071053802967,0.0006574211874976754,0.07523159682750702,0.0005815071053802967,0.005842551589012146,0.003485895460471511,0.005842551589012146,0.00584256649017334,0.00584256649017334,0.07344026863574982,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.0,6.860325640900555e-08,0.0018820754485204816,0.0021264676470309496,0.13241545855998993,0.0018820754485204816,0.011750668287277222,0.00700973067432642,0.011750668287277222,0.011750742793083191,0.011750742793083191,0.07426442205905914,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.0,5.429652460975376e-08,0.0018820755649358034,0.0021264678798615932,0.13241545855998993,0.0018820755649358034,0.01175069808959961,0.007009733468294144,0.01175069808959961,0.011750742793083191,0.011750742793083191,0.07426442205905914,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.0,9.137965406580406e-08,0.003679749323055148,0.004155481234192848,0.1809803694486618,0.003679749323055148,0.017725110054016113,0.010571945458650589,0.017725110054016113,0.017725318670272827,0.017725318670272827,0.0750979483127594,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.0,1.3535580478674092e-07,0.011512571945786476,0.012985987588763237,0.2986049950122833,0.011512571945786476,0.036053821444511414,0.021493393927812576,0.036053821444511414,0.03605543076992035,0.03605543076992035,0.07765628397464752,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.0,6.641201366619498e-08,0.003679748857393861,0.004155480768531561,0.1809803545475006,0.003679748857393861,0.017725124955177307,0.010571951977908611,0.017725124955177307,0.017725318670272827,0.017725318670272827,0.0750979483127594,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.0,9.38942577022317e-08,0.01151257287710905,0.012985987588763237,0.2986049950122833,0.01151257287710905,0.036053866147994995,0.021493403241038322,0.036053866147994995,0.03605543076992035,0.03605543076992035,0.07765628397464752,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,7.823216918723119e-08,7.851807026781898e-08,0.0018820754485204816,0.002126467414200306,0.13241545855998993,0.0018820754485204816,0.011750712990760803,0.0070097316056489944,0.011750712990760803,0.011750712990760803,0.011750712990760803,0.07426442205905914,32,32,16,True
