evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.0067336587235331535,0.006733656395226717,0.0006203181692399085,0.0006982761551626027,0.07779423892498016,0.0005835397751070559,0.008954033255577087,0.005969335325062275,0.008954033255577087,0.008954033255577087,0.008954033255577087,0.11259983479976654,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.01955018937587738,0.01955019310116768,0.002045981353148818,0.0022995483595877886,0.13824521005153656,0.0018416831735521555,0.018016427755355835,0.01200951635837555,0.018016427755355835,0.018016427755355835,0.018016427755355835,0.11396338045597076,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.003830204950645566,0.003830194706097245,0.000603144580963999,0.0006802124553360045,0.07667800039052963,0.0005835398333147168,0.007854178547859192,0.00501350499689579,0.007854178547859192,0.007854178547859192,0.007854178547859192,0.09876152873039246,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.013844775035977364,0.013844778761267662,0.0019737929105758667,0.002223404124379158,0.1357283890247345,0.0018416829407215118,0.015802249312400818,0.010085133835673332,0.015802249312400818,0.01580226421356201,0.01580226421356201,0.09994259476661682,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.006441144272685051,0.006441149860620499,0.0018910064827650785,0.002135947346687317,0.13274697959423065,0.0018416827078908682,0.012204721570014954,0.007345110643655062,0.012204721570014954,0.012204736471176147,0.012204736471176147,0.07712309062480927,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.02933388389647007,0.02933388203382492,0.003971844911575317,0.004464743193238974,0.18824341893196106,0.0035483541432768106,0.025457829236984253,0.016586532816290855,0.025457829236984253,0.025457829236984253,0.025457829236984253,0.1079937070608139,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.09619708359241486,0.09619709104299545,0.012783320620656013,0.014335745945572853,0.31498849391937256,0.010010619647800922,0.05184905230998993,0.03376583755016327,0.05184905230998993,0.05184905230998993,0.05184905230998993,0.11195868253707886,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.01928849332034588,0.01928848773241043,0.00377887231297791,0.00426050228998065,0.18350760638713837,0.0035483543761074543,0.02094276249408722,0.012909118086099625,0.02094276249408722,0.020942777395248413,0.020942777395248413,0.08878219127655029,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.07446408271789551,0.07446408271789551,0.011946087703108788,0.013446961529552937,0.3043835163116455,0.010010619647800922,0.04262430965900421,0.026258960366249084,0.04262430965900421,0.04262430965900421,0.04262430965900421,0.09191611409187317,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,0.003266723360866308,0.0032667210325598717,0.0018683748785406351,0.0021131837274879217,0.13185061514377594,0.0018416829407215118,0.009420499205589294,0.005684110801666975,0.009420499205589294,0.009420514106750488,0.009420514106750488,0.11158885061740875,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,8,0.003266723360866308,0.00326672475785017,0.0018683748785406351,0.0021131837274879217,0.13185060024261475,0.0018416831735521555,0.0094204843044281,0.005684103816747665,0.0094204843044281,0.0094204843044281,0.0094204843044281,0.11158885061740875,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,8,0.003266723593696952,0.003266719402745366,0.0018683741800487041,0.0021131830289959908,0.13185058534145355,0.0018416834063827991,0.009420499205589294,0.005684112198650837,0.009420499205589294,0.009420499205589294,0.009420499205589294,0.11158885061740875,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,8,0.005172539036720991,0.005172536708414555,0.0018828138709068298,0.00212797150015831,0.13241428136825562,0.0018416829407215118,0.010999128222465515,0.006643262226134539,0.010999128222465515,0.010999128222465515,0.010999128222465515,0.09817662835121155,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,8,0.005172546952962875,0.005172547418624163,0.0018828141037374735,0.0021279719658195972,0.1324142962694168,0.0018416831735521555,0.010999143123626709,0.0066432650201022625,0.010999143123626709,0.010999143123626709,0.010999143123626709,0.09817662835121155,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,8,0.0051725455559790134,0.005172541830688715,0.0018828141037374735,0.0021279719658195972,0.1324142962694168,0.0018416834063827991,0.010999143123626709,0.00664327060803771,0.010999143123626709,0.010999143123626709,0.010999143123626709,0.09817662835121155,128,128,64,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,4,8,0.008359566330909729,0.008359569124877453,0.0019141380907967687,0.0021609242539852858,0.13357076048851013,0.0018416831735521555,0.012907028198242188,0.00795238371938467,0.012907028198242188,0.012907028198242188,0.012907028198242188,0.11158885061740875,48,48,16,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,8,8,0.008359571918845177,0.008359571918845177,0.0019141380907967687,0.002160924719646573,0.13357076048851013,0.0018416829407215118,0.012906983494758606,0.007952382788062096,0.012906983494758606,0.012906983494758606,0.012906983494758606,0.11158885061740875,96,96,32,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,16,8,0.008359553292393684,0.008359555155038834,0.001914137857966125,0.0021609242539852858,0.13357076048851013,0.0018416839884594083,0.012906983494758606,0.007952379994094372,0.012906983494758606,0.012906983494758606,0.012906983494758606,0.11158885061740875,192,192,64,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,4,8,0.011122187599539757,0.011122186668217182,0.0019433099078014493,0.0021915114484727383,0.1346324384212494,0.0018416831735521555,0.014421924948692322,0.009044313803315163,0.014421924948692322,0.014421924948692322,0.014421924948692322,0.1190246045589447,64,64,16,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,8,8,0.011122185736894608,0.011122182011604309,0.0019433097913861275,0.0021915112156420946,0.1346324235200882,0.0018416834063827991,0.014421895146369934,0.009044303558766842,0.014421895146369934,0.014421895146369934,0.014421895146369934,0.1190246045589447,128,128,32,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,16,8,0.01112218014895916,0.011122172698378563,0.0019433099078014493,0.002191511681303382,0.1346324384212494,0.001841681427322328,0.01442188024520874,0.00904430728405714,0.01442188024520874,0.01442188024520874,0.01442188024520874,0.1190246045589447,256,256,64,True
