evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.0,6.925562701098897e-08,0.0005659469752572477,0.0006402613362297416,0.07423680275678635,0.0005659469752572477,0.004996642470359802,0.0029308274388313293,0.004996642470359802,0.004996642470359802,0.004996642470359802,0.06283290684223175,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.0,1.017607544895327e-07,0.0018174099968746305,0.0020550969056785107,0.1302153766155243,0.0018174099968746305,0.010053485631942749,0.005895692389458418,0.010053485631942749,0.010053545236587524,0.010053545236587524,0.06358981132507324,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.0,4.833388800307148e-08,0.0005659469752572477,0.0006402612780220807,0.07423679530620575,0.0005659469752572477,0.004996642470359802,0.0029308230150491,0.004996642470359802,0.004996642470359802,0.004996642470359802,0.06283290684223175,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.0,7.143375313489742e-08,0.0018174098804593086,0.002055096672847867,0.1302153766155243,0.0018174098804593086,0.010053500533103943,0.005895684938877821,0.010053500533103943,0.010053545236587524,0.010053545236587524,0.06358981132507324,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.0,5.619079246343972e-08,0.0018174097640439868,0.002055096672847867,0.1302153766155243,0.0018174097640439868,0.010053500533103943,0.005895690992474556,0.010053500533103943,0.010053545236587524,0.010053545236587524,0.06358981132507324,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.0,9.353995267247228e-08,0.003529421053826809,0.0039894613437354565,0.1774870902299881,0.003529421053826809,0.015171244740486145,0.008894992992281914,0.015171244740486145,0.015171438455581665,0.015171438455581665,0.06435544788837433,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.0,1.2079640043793916e-07,0.010865519754588604,0.012270556762814522,0.2911507189273834,0.010865519754588604,0.030896946787834167,0.0181035827845335,0.030896946787834167,0.03089842200279236,0.03089842200279236,0.0667055994272232,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.0,7.122142875459758e-08,0.0035294212866574526,0.003989461809396744,0.1774870902299881,0.0035294212866574526,0.015171244740486145,0.008894992992281914,0.015171244740486145,0.015171438455581665,0.015171438455581665,0.06435544788837433,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.0,9.85868666703027e-08,0.01086551882326603,0.012270557694137096,0.2911507189273834,0.01086551882326603,0.030896931886672974,0.018103575333952904,0.030896931886672974,0.03089842200279236,0.03089842200279236,0.0667055994272232,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,1.0696473395910289e-07,8.775805326877162e-08,0.0018174095312133431,0.0020550964400172234,0.1302153617143631,0.0018174098804593086,0.010053500533103943,0.005895682610571384,0.010053500533103943,0.010053500533103943,0.010053500533103943,0.06358981132507324,32,32,16,True
