evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.006215222645550966,0.00621522031724453,0.0006278827204369009,0.0007062615477479994,0.07827343046665192,0.0005926906014792621,0.009369045495986938,0.00632789870724082,0.009369045495986938,0.009369045495986938,0.009369045495986938,0.11781463027000427,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.01768764667212963,0.01768765226006508,0.00207757786847651,0.002332977717742324,0.139312744140625,0.0018872919026762247,0.01885083317756653,0.012731049209833145,0.01885083317756653,0.01885083317756653,0.01885083317756653,0.11923319101333618,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.0035022152587771416,0.003502217121422291,0.0006112938281148672,0.0006888913922011852,0.07720057666301727,0.000592690659686923,0.008328989148139954,0.005414146929979324,0.008328989148139954,0.008328989148139954,0.008328989148139954,0.10472552478313446,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.012410827912390232,0.012410826981067657,0.002007881412282586,0.002259784145280719,0.1368969827890396,0.0018872919026762247,0.016756489872932434,0.010890891775488853,0.016756489872932434,0.016756504774093628,0.016756504774093628,0.10596467554569244,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.005756680853664875,0.005756686441600323,0.0019293824443593621,0.002177509479224682,0.1340828537940979,0.001887291669845581,0.01336708664894104,0.008272160775959492,0.01336708664894104,0.01336708664894104,0.01336708664894104,0.0844460278749466,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.02649656869471073,0.02649657242000103,0.0040484461933374405,0.004546268377453089,0.19003644585609436,0.003662773175165057,0.026807859539985657,0.017742054536938667,0.026807859539985657,0.026807859539985657,0.026807859539985657,0.11370457708835602,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.09011273086071014,0.09011273086071014,0.013113342225551605,0.014687851071357727,0.3189089596271515,0.010422336868941784,0.054590776562690735,0.03611823543906212,0.054590776562690735,0.054590776562690735,0.054590776562690735,0.11784642934799194,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.017473414540290833,0.01747341826558113,0.003863536287099123,0.004351693671196699,0.1855248510837555,0.00366277270950377,0.022545993328094482,0.014225335791707039,0.022545993328094482,0.022545993328094482,0.022545993328094482,0.09555147588253021,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.07010991871356964,0.07010993361473083,0.012311474420130253,0.013841399922966957,0.3088099956512451,0.010422336868941784,0.045874059200286865,0.02893163450062275,0.045874059200286865,0.045874059200286865,0.045874059200286865,0.09886887669563293,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,0.0029290784150362015,0.002929073991253972,0.0019114941824227571,0.002160303294658661,0.13335135579109192,0.0018872919026762247,0.010733842849731445,0.00673983758315444,0.010733842849731445,0.010733842849731445,0.010733842849731445,0.11676284670829773,32,32,16,True
