evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.007142989430576563,0.00714298989623785,0.0005491180927492678,0.0005582622834481299,0.06982122361660004,0.0004916820907965302,0.0,0.0,5.960464477539063e-08,0.0,5.960464477539063e-08,0.0,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.02087222784757614,0.02087222971022129,0.0019582509994506836,0.0020249991212040186,0.12960131466388702,0.0016356108244508505,0.0,0.0,2.9802322387695312e-08,0.0,5.960464477539063e-08,0.0,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.0040800562128424644,0.0040800608694553375,0.0005233538104221225,0.0005306445527821779,0.06788216531276703,0.0004916823236271739,0.0,0.0,2.60770320892334e-08,0.0,4.842877388000488e-08,0.0,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.014774193987250328,0.014774195849895477,0.0018541370518505573,0.0019129349384456873,0.12565107643604279,0.0016356108244508505,0.0,0.0,2.9802322387695312e-08,0.0,4.842877388000488e-08,0.0,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.0067444308660924435,0.006744432263076305,0.0017267432995140553,0.0017754769651219249,0.12058838456869125,0.0016356105916202068,0.0,0.0,3.3527612686157227e-08,0.0,5.960464477539063e-08,0.0,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.031071467325091362,0.03107147291302681,0.003946986980736256,0.004125317558646202,0.1795239895582199,0.0032629056368023157,0.0,0.0,2.9802322387695312e-08,0.0,5.960464477539063e-08,0.0,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.10101290047168732,0.10101290047168732,0.013744648545980453,0.014653206802904606,0.30780938267707825,0.009545231238007545,0.0,0.0,2.60770320892334e-08,0.0,7.078051567077637e-08,0.0,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.020028606057167053,0.02002860978245735,0.003667880082502961,0.0038237902335822582,0.1723165214061737,0.0032629056368023157,0.0,0.0,1.862645149230957e-08,0.0,5.960464477539063e-08,0.0,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.07754363119602203,0.07754363119602203,0.012584037147462368,0.013394922949373722,0.29359331727027893,0.009545231238007545,0.0,0.0,2.9802322387695312e-08,0.0,7.078051567077637e-08,0.0,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,0.003462755586951971,0.0034627560526132584,0.0016828308580443263,0.0017278279410675168,0.11872822791337967,0.0016356108244508505,0.0,0.0,3.3527612686157227e-08,0.0,5.960464477539063e-08,0.0,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,8,0.0034627518616616726,0.003462750930339098,0.00168283109087497,0.0017278281738981605,0.11872822046279907,0.0016356108244508505,0.0,0.0,3.3527612686157227e-08,0.0,5.960464477539063e-08,0.0,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,8,0.003462755586951971,0.0034627586137503386,0.001682831789366901,0.0017278288723900914,0.11872825026512146,0.0016356107080355287,0.0,0.0,3.3527612686157227e-08,0.0,5.960464477539063e-08,0.0,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,8,0.0054564098827540874,0.005456410348415375,0.0017099215183407068,0.0017571864882484078,0.11987284570932388,0.0016356108244508505,0.0,0.0,2.9802322387695312e-08,0.0,5.960464477539063e-08,0.0,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,8,0.0054564145393669605,0.005456414073705673,0.0017099216347560287,0.001757186371833086,0.11987285315990448,0.0016356108244508505,0.0,0.0,4.470348358154297e-08,0.0,5.960464477539063e-08,0.0,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,8,0.005456410348415375,0.005456413142383099,0.0017099218675866723,0.0017571867210790515,0.11987285315990448,0.0016356107080355287,0.0,0.0,4.470348358154297e-08,0.0,5.960464477539063e-08,0.0,128,128,64,True
