evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.0,7.869574858432316e-08,0.00047553592594340444,0.00048112127115018666,0.06415936350822449,0.00047553592594340444,0.0011164844036102295,0.000726034224499017,0.002902895212173462,0.0011164993047714233,0.0029029250144958496,0.014066975563764572,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.0,8.906557269483528e-08,0.0016626345459371805,0.0017123811412602663,0.1180979460477829,0.0016626345459371805,0.0022508054971694946,0.0014611335936933756,0.00585213303565979,0.0022508054971694946,0.00585213303565979,0.014291185885667801,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.0,5.32569721656273e-08,0.00047553604235872626,0.0004811213875655085,0.06415937840938568,0.00047553604235872626,0.0011164844036102295,0.0007260329439304769,0.002902880311012268,0.0011164993047714233,0.0029029250144958496,0.014066975563764572,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.0,5.7704394151869565e-08,0.0016626350115984678,0.0017123817233368754,0.1180979460477829,0.0016626350115984678,0.002250760793685913,0.0014611291699111462,0.005852028727531433,0.0022508054971694946,0.00585213303565979,0.014291185885667801,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.0,4.95299374847491e-08,0.0016626347787678242,0.0017123814905062318,0.1180979385972023,0.0016626347787678242,0.0022507905960083008,0.0014611307997256517,0.005852103233337402,0.0022508054971694946,0.00585213303565979,0.014291185885667801,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.0,1.0439595143907354e-07,0.0034044531639665365,0.0035501348320394754,0.1653897762298584,0.0034044531639665365,0.003403186798095703,0.0022054158616811037,0.00884827971458435,0.0034032613039016724,0.008848458528518677,0.014518992975354195,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.0,1.4720538388246496e-07,0.011504832655191422,0.01225219201296568,0.2801048159599304,0.011504832655191422,0.0069717466831207275,0.004494722466915846,0.018126502633094788,0.006972387433052063,0.0181281715631485,0.01522455457597971,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.0,8.388050076746367e-08,0.0034044524654746056,0.003550134366378188,0.1653897613286972,0.0034044524654746056,0.0034031718969345093,0.0022054133005440235,0.008848249912261963,0.0034032613039016724,0.008848458528518677,0.014518992975354195,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.0,1.1257172616296884e-07,0.011504832655191422,0.012252191081643105,0.28010478615760803,0.011504832655191422,0.006971731781959534,0.004494716413319111,0.018126487731933594,0.006972387433052063,0.0181281715631485,0.01522455457597971,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,9.370154430143884e-08,7.882536579018051e-08,0.0016626350115984678,0.0017123817233368754,0.1180979460477829,0.0016626350115984678,0.0022508054971694946,0.001461129286326468,0.00585213303565979,0.0022508054971694946,0.00585213303565979,0.01429117750376463,32,32,16,True
