evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.006513545289635658,0.006513539701700211,0.0005783689557574689,0.0005860289093106985,0.07184179872274399,0.0005223264452069998,0.0026935935020446777,0.001985010923817754,0.007003366947174072,0.0026935935020446777,0.007003366947174072,0.03384116664528847,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.018308017402887344,0.01830800622701645,0.002077086828649044,0.002138701267540455,0.13369449973106384,0.001779179205186665,0.005414649844169617,0.003992768470197916,0.014078110456466675,0.005414649844169617,0.014078110456466675,0.034186024218797684,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.003665599972009659,0.0036656036972999573,0.0005527451867237687,0.0005601522861979902,0.06998296827077866,0.000522326328791678,0.0023318827152252197,0.0016166875138878822,0.006062865257263184,0.0023318827152252197,0.006062865257263184,0.029312852770090103,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.012676422484219074,0.012676423415541649,0.001973974285647273,0.0020338159520179033,0.12992385029792786,0.001779179205186665,0.004690155386924744,0.0032506424468010664,0.012194424867630005,0.004690155386924744,0.012194424867630005,0.0296451635658741,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.005564005579799414,0.005564004648476839,0.001852084998972714,0.0019089935813099146,0.12526383996009827,0.0017791793216019869,0.0036292821168899536,0.002280184533447027,0.00943620502948761,0.0036292821168899536,0.00943620502948761,0.02297036349773407,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.026527995243668556,0.02652798965573311,0.004220101982355118,0.0043953717686235905,0.18581144511699677,0.0036224196664988995,0.007590770721435547,0.0054251449182629585,0.019736021757125854,0.007590770721435547,0.019736021757125854,0.03213977441191673,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.09024450182914734,0.09024448692798615,0.014895232394337654,0.015795568004250526,0.32006072998046875,0.010966777801513672,0.015429839491844177,0.011034008115530014,0.04011757671833038,0.015429839491844177,0.04011757671833038,0.03319114074110985,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.01667589321732521,0.016675889492034912,0.00394835090264678,0.004116900265216827,0.1790575087070465,0.003622419200837612,0.006194859743118286,0.004058883525431156,0.01610669493675232,0.006194859743118286,0.01610669493675232,0.02628573402762413,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.0687832161784172,0.0687832161784172,0.013771249912679195,0.014636386185884476,0.3068205714225769,0.010966777801513672,0.012620195746421814,0.008241572417318821,0.03281250596046448,0.012620195746421814,0.03281250596046448,0.027264829725027084,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,0.002920221071690321,0.0029202206060290337,0.0018200504127889872,0.0018748883157968521,0.1239219456911087,0.001779179205186665,0.00294475257396698,0.001819496974349022,0.007656395435333252,0.00294475257396698,0.007656395435333252,0.033584728837013245,32,32,16,True
