evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.0,7.035677640487847e-08,0.00047912870650179684,0.0004847868112847209,0.06444701552391052,0.00047912870650179684,0.0011774897575378418,0.0007532346062362194,0.0030614882707595825,0.0011775046586990356,0.0030615031719207764,0.014831134118139744,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.0,8.86438584757343e-08,0.001677088555879891,0.00172727822791785,0.11868344247341156,0.001677088555879891,0.002373039722442627,0.001515252748504281,0.006169915199279785,0.0023730844259262085,0.00617004930973053,0.015058590099215508,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.0,6.02159815343839e-08,0.00047912876470945776,0.00048478689859621227,0.06444701552391052,0.00047912876470945776,0.0011774897575378418,0.000753231521230191,0.0030614882707595825,0.0011775046586990356,0.0030615031719207764,0.014831134118139744,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.0,6.967833598992001e-08,0.0016770882066339254,0.0017272781115025282,0.11868344992399216,0.0016770882066339254,0.002373054623603821,0.0015152483247220516,0.0061699748039245605,0.0023730844259262085,0.00617004930973053,0.015058590099215508,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.0,5.985442896871973e-08,0.001677088439464569,0.00172727822791785,0.11868344247341156,0.001677088439464569,0.0023730695247650146,0.0015152484411373734,0.006169989705085754,0.0023730844259262085,0.00617004930973053,0.015058590099215508,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.0,8.804126139239088e-08,0.003437288571149111,0.0035842028446495533,0.16627244651317596,0.003437288571149111,0.0035870224237442017,0.002286171307787299,0.009326249361038208,0.0035870522260665894,0.009326338768005371,0.015289568342268467,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.0,1.2821153916320327e-07,0.011641104705631733,0.012395032681524754,0.2818377912044525,0.011641104705631733,0.007341638207435608,0.0046534850262105465,0.019088253378868103,0.007342234253883362,0.019089818000793457,0.016004636883735657,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.0,7.2507404524913e-08,0.003437288571149111,0.0035842028446495533,0.16627243161201477,0.003437288571149111,0.003586992621421814,0.0022861657198518515,0.009326159954071045,0.0035870522260665894,0.009326338768005371,0.015289568342268467,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.0,9.516168120171642e-08,0.011641104705631733,0.012395032681524754,0.2818377912044525,0.011641104705631733,0.00734160840511322,0.004653476644307375,0.019088178873062134,0.007342234253883362,0.019089818000793457,0.016004636883735657,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,1.0032520947333978e-07,9.004108392218768e-08,0.001677088439464569,0.0017272783443331718,0.11868345737457275,0.0016770882066339254,0.0023730695247650146,0.001515249372459948,0.006170019507408142,0.0023730695247650146,0.006170019507408142,0.015058590099215508,32,32,16,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,8,8,1.0299122266133054e-07,8.959224828686274e-08,0.0016770883230492473,0.00172727822791785,0.11868344247341156,0.001677088555879891,0.002373054623603821,0.0015152530977502465,0.0061699748039245605,0.002373054623603821,0.0061699748039245605,0.015058580785989761,64,64,32,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,16,8,2.61368597875844e-07,1.5871901837272162e-07,0.001677088555879891,0.0017272783443331718,0.11868344992399216,0.0016770889051258564,0.0023730695247650146,0.00151525205001235,0.006169989705085754,0.0023730695247650146,0.006169989705085754,0.015058590099215508,128,128,64,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,4,8,6.54232934493848e-08,8.862570410883563e-08,0.0016770883230492473,0.0017272781115025282,0.11868344247341156,0.0016770882066339254,0.0023730695247650146,0.001515248091891408,0.006170019507408142,0.0023730695247650146,0.006170019507408142,0.015058595687150955,32,32,16,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,8,8,1.4759574185063684e-07,1.3140501664565818e-07,0.0016770886722952127,0.0017272784607484937,0.11868345737457275,0.001677088555879891,0.0023730844259262085,0.0015152528649196029,0.0061700791120529175,0.0023730844259262085,0.0061700791120529175,0.015058595687150955,64,64,32,True
nonuniform_refinement,0.04+0.12,"[0.04,0.12]",0.16,2,16,8,2.2502673857616173e-07,1.165968512850668e-07,0.0016770879738032818,0.0017272778786718845,0.11868344247341156,0.0016770889051258564,0.002373054623603821,0.0015152445994317532,0.006169945001602173,0.002373054623603821,0.0061699748039245605,0.015058590099215508,128,128,64,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,4,8,1.163245428870141e-07,9.641871656640433e-08,0.001677088439464569,0.0017272783443331718,0.11868345737457275,0.0016770882066339254,0.002373054623603821,0.0015152505366131663,0.0061699748039245605,0.0023730695247650146,0.006169989705085754,0.015058590099215508,48,48,16,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,8,8,1.317827980074071e-07,1.200048416194477e-07,0.001677088439464569,0.0017272783443331718,0.11868344992399216,0.0016770883230492473,0.0023730695247650146,0.0015152513515204191,0.006169989705085754,0.0023730695247650146,0.006169989705085754,0.015058590099215508,96,96,32,True
nonuniform_refinement,0.02+0.04+0.1,"[0.02,0.04,0.1]",0.16,3,16,8,1.8597165762912482e-07,1.6309145678405912e-07,0.0016770882066339254,0.00172727822791785,0.11868344992399216,0.0016770880902186036,0.00237312912940979,0.00151526287663728,0.006170123815536499,0.00237312912940979,0.006170123815536499,0.015058605000376701,192,192,64,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,4,8,1.0902321889716404e-07,1.1174103065059171e-07,0.0016770882066339254,0.0017272778786718845,0.11868344247341156,0.001677088555879891,0.002373054623603821,0.0015152483247220516,0.0061699748039245605,0.0023730695247650146,0.006169989705085754,0.015058590099215508,64,64,16,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,8,8,1.8852171024263953e-07,1.6453596174414997e-07,0.001677088439464569,0.0017272783443331718,0.11868344992399216,0.0016770889051258564,0.0023730695247650146,0.0015152560081332922,0.006169989705085754,0.0023730695247650146,0.006169989705085754,0.015058590099215508,128,128,32,True
nonuniform_refinement,0.01+0.03+0.04+0.08,"[0.01,0.03,0.04,0.08]",0.16,4,16,8,2.6243776574119693e-07,2.539935621825862e-07,0.0016770890215411782,0.0017272791592404246,0.11868347227573395,0.001677088439464569,0.0023730695247650146,0.0015152690466493368,0.006169989705085754,0.0023730695247650146,0.006170019507408142,0.015058595687150955,256,256,64,True
