evaluation_kind,partition_id,partition_json,horizon,segment_count,steps_per_segment,sample_count,equal_work_composition_defect,production_work_composition_defect,rollout_mse,rollout_interior_mse,rollout_relative_l2,direct_equal_work_mse,composed_boundary_state_max,composed_boundary_state_rms,composed_boundary_equation_max,max_stage_boundary_state,max_stage_boundary_equation,rhs_boundary_tangent_max,composed_rhs_evaluations,direct_equal_rhs_evaluations,direct_production_rhs_evaluations,equal_rhs_work
uniform_primary,0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02]",0.08,4,2,8,0.007500217296183109,0.007500205188989639,0.0005503342836163938,0.0005572798545472324,0.06990724802017212,0.0004900497733615339,0.002384282648563385,0.0017382537480443716,0.00619913637638092,0.002384282648563385,0.00619913637638092,0.02996009960770607,32,32,8,True
uniform_primary,0.02+0.02+0.02+0.02+0.02+0.02+0.02+0.02,"[0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02]",0.16,8,2,8,0.02194645255804062,0.02194644883275032,0.0019633197225630283,0.0020209618378430605,0.12978620827198029,0.0016294799279421568,0.004793718457221985,0.003496216842904687,0.012463629245758057,0.004793718457221985,0.012463629245758057,0.030283600091934204,64,64,8,True
uniform_primary,0.04+0.04,"[0.04,0.04]",0.08,2,2,8,0.00428782170638442,0.004287822172045708,0.0005231723189353943,0.000529812416061759,0.06787535548210144,0.0004900500061921775,0.0019738078117370605,0.001341615105047822,0.005131915211677551,0.0019738078117370605,0.005131915211677551,0.02482258528470993,16,16,8,True
uniform_primary,0.04+0.04+0.04+0.04,"[0.04,0.04,0.04,0.04]",0.16,4,2,8,0.015551756136119366,0.01555175893008709,0.00185399129986763,0.0019095320021733642,0.12565797567367554,0.0016294799279421568,0.003971710801124573,0.002697330666705966,0.010326474905014038,0.003971710801124573,0.010326474905014038,0.025125743821263313,32,32,8,True
uniform_primary,0.08+0.08,"[0.08,0.08]",0.16,2,2,8,0.007114314939826727,0.0071143098175525665,0.0017212429083883762,0.001773132011294365,0.12040064483880997,0.001629479811526835,0.0027415305376052856,0.0017031540628522635,0.007128015160560608,0.0027415305376052856,0.007128015160560608,0.01738259568810463,16,16,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.24,8,2,8,0.03268115222454071,0.03268115967512131,0.003952699713408947,0.004116772674024105,0.17967306077480316,0.00325577799230814,0.00658164918422699,0.004627909045666456,0.017112329602241516,0.00658164918422699,0.017112329602241516,0.027896881103515625,64,64,8,True
long_rollout,0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03+0.03,"[0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03]",0.4800000000000002,16,2,8,0.1059427261352539,0.1059427261352539,0.013775167986750603,0.014616764150559902,0.30815768241882324,0.009526551701128483,0.013393208384513855,0.009409532882273197,0.034822359681129456,0.013393208384513855,0.034822359681129456,0.02887183055281639,128,128,8,True
long_rollout,0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06]",0.24,4,2,8,0.02109467051923275,0.0210946723818779,0.0036613750271499157,0.0038172833155840635,0.17217600345611572,0.0032557775266468525,0.004979357123374939,0.0031839748844504356,0.012946337461471558,0.004979372024536133,0.012946367263793945,0.021168336272239685,32,32,8,True
long_rollout,0.06+0.06+0.06+0.06+0.06+0.06+0.06+0.06,"[0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06]",0.48,8,2,8,0.08131793886423111,0.0813179463148117,0.012568810023367405,0.013367557898163795,0.29342538118362427,0.009526551701128483,0.01016370952129364,0.006466086953878403,0.026425689458847046,0.01016370952129364,0.026425689458847046,0.022041041404008865,64,64,8,True
nonuniform_refinement,0.02+0.14,"[0.02,0.14]",0.16,2,4,8,0.003644671058282256,0.0036446810699999332,0.0016772689996287227,0.0017264226917177439,0.11853272467851639,0.0016294799279421568,0.001925647258758545,0.0012091853423044086,0.005006685853004456,0.001925647258758545,0.005006685853004456,0.029738688841462135,32,32,16,True
