cell,seed,n_train,budget,model,primary_mse_gm,primary_relative_l2_gm,extrapolation_mse_gm,stress_mse_gm,energy_monotone_fraction,bound_violation_fraction,selected_epoch,selected_validation_mse,final_validation_mse,training_seconds,evaluation_seconds,reaction_mse_tau015
s161803-n128-k1-A,161803,128,1,A,1.0886478247064257,1.142031769800928,0.7904187617798664,3.3215683388070563,0.341796875,0.3641510009765625,39,0.00026016442946759827,0.000264241432887502,0.7269370779395103,0.08326184749603271,0.49696099758148193
s161803-n128-k1-B,161803,128,1,B,1.1653864942886163,1.1831506947305988,0.7943398961931468,3.4846850625886097,0.3362165178571429,0.37178257533482145,39,0.0002595988620062902,0.0002644137396904019,0.7151594571769238,0.08259614184498787,0.5126915574073792
s161803-n128-k4-A,161803,128,4,A,0.9264318659032099,1.0535395105844076,0.8546171551479695,2.8671073898034996,0.3503069196428571,0.3535831996372768,66,0.0002574470266457259,0.0002600322962583353,2.494426917284727,0.245070680975914,0.4355999231338501
s161803-n128-k4-B,161803,128,4,B,0.9941293903220936,1.091740896317879,0.8554177713945192,3.039535792500922,0.345703125,0.3599330357142857,37,0.0002564392076844039,0.00026004676389372133,2.484640907496214,0.23935207352042198,0.447909951210022
s161803-n16-k1-A,161803,16,1,A,1.2164642746856607,1.2089717904045747,0.8755986372139501,3.637342839780925,0.3348214285714286,0.3739994594029018,24,0.0002649143571034074,0.000312113366817357,0.725432027131319,0.08340295404195786,0.5188657641410828
s161803-n16-k1-B,161803,16,1,B,1.169899056331333,1.1855034872930974,0.8143448619154486,3.507989993086485,0.3369140625,0.37054225376674105,32,0.00026775820879265666,0.00031721362271734205,0.7155398391187191,0.08321850001811981,0.5101664662361145
s161803-n16-k4-A,161803,16,4,A,0.985756218577621,1.0873795641746298,0.9076906856497415,3.030470136482801,0.3484933035714286,0.35716465541294645,31,0.00026443511463488295,0.0003066219469474163,2.4987031184136868,0.24254953861236572,0.44315439462661743
s161803-n16-k4-B,161803,16,4,B,0.994162443509671,1.0918742796461791,0.8762281203764329,3.0491974608557713,0.3466796875,0.3580104282924107,31,0.0002655903917911928,0.0003110431340852908,2.477785985916853,0.24126427620649338,0.44475892186164856
s271828-n128-k1-A,271828,128,1,A,1.254696389873811,1.223228844337389,0.8862887800972001,3.902390016297283,0.3377511160714286,0.36889430454799105,30,0.0002638849770543554,0.00026778384562931024,0.717386044561863,0.08511911705136299,0.5158371925354004
s271828-n128-k1-B,271828,128,1,B,1.2104621776347435,1.2017921677279673,0.800180277626749,3.777931819033916,0.3402622767857143,0.36501857212611605,31,0.00026480056294531096,0.000268723008048255,0.711615115404129,0.08308931812644005,0.5076791644096375
s271828-n128-k4-A,271828,128,4,A,1.0968686248100536,1.1434969385001112,1.003516261595459,3.4490153905092518,0.3443080357142857,0.3609226771763393,54,0.00026176104317225207,0.0002654104246175848,2.5135974250733852,0.24518267810344696,0.4559219777584076
s271828-n128-k4-B,271828,128,4,B,1.078920397826499,1.1345895830227315,0.9178837737007061,3.3945860284932885,0.3461216517857143,0.35876900809151785,51,0.0002626935875014169,0.00026614310081640724,2.521589692682028,0.24316181987524033,0.452347993850708
s271828-n16-k1-A,271828,16,1,A,1.2211968299427365,1.2064247082764747,0.8640637564531758,3.8260052288844393,0.3402622767857143,0.3649662562779018,15,0.00026756033912533894,0.0002746801140650253,0.7177265211939812,0.08371112868189812,0.5074289441108704
s271828-n16-k1-B,271828,16,1,B,1.1687904612120237,1.1815305834971745,0.8789312094139736,3.661443590063475,0.3427734375,0.36004856654575895,32,0.0003027429841798342,0.00031574561520149774,0.7148497253656387,0.08330937474966049,0.49614372849464417
s271828-n16-k4-A,271828,16,4,A,1.111926689247601,1.1505933949622542,1.0159933619507335,3.5213546752470797,0.3443080357142857,0.36014229910714285,14,0.000263195541871634,0.0002710494087902286,2.496715784072876,0.24323437735438347,0.4557739794254303
s271828-n16-k4-B,271828,16,4,B,1.2507207265712879,1.2239719300288279,1.1789432489981049,3.8282519802003168,0.3344029017857143,0.37182835170200895,29,0.0003016658095778742,0.0003164997991310277,2.4746777340769768,0.2428203448653221,0.4760805070400238
s31415-n128-k1-A,31415,128,1,A,1.1234665899388379,1.1620559588991408,0.8167884996608005,3.3617150543990313,0.3376116071428571,0.3700496128627232,26,0.0002595326495793415,0.0002731213377652845,0.7201130948960781,0.08263980969786644,0.5088222026824951
s31415-n128-k1-B,31415,128,1,B,1.1754083804594877,1.1968819516821299,0.7941476230730946,3.330920975156939,0.3289620535714286,0.3818141392299107,42,0.0002626768970609798,0.00026720380507564795,0.715583223849535,0.08176486194133759,0.5268734097480774
s31415-n128-k4-A,31415,128,4,A,0.9460035055641656,1.0657143653176286,0.8727121155978335,2.887187581227839,0.3475167410714286,0.3576878138950893,38,0.00025710596249458223,0.00026835051479186706,2.5759538002312183,0.24572430178523064,0.44313979148864746
s31415-n128-k4-B,31415,128,4,B,0.7600180567211272,0.9567760664323524,0.6316052199643578,2.32516974951789,0.3616071428571429,0.34119742257254465,72,0.0002579008645019106,0.0002626207394011241,2.4926042072474957,0.240364421159029,0.4099979102611542
s31415-n16-k1-A,31415,16,1,A,1.1749548943035961,1.1905194897162374,0.8532808480359789,3.4584026878829723,0.3314732142857143,0.3761814662388393,40,0.0002623980065739791,0.00027355764783957664,0.7735782861709595,0.08293406292796135,0.5213019847869873
s31415-n16-k1-B,31415,16,1,B,1.179407123762744,1.197406316771462,0.7794426603519563,3.3391015593800977,0.3282645089285714,0.383697509765625,45,0.0002594660557709479,0.00026897766717108124,0.7177659496665001,0.08389062434434891,0.529665470123291
s31415-n16-k4-A,31415,16,4,A,1.032896834148241,1.1148325189538932,0.9513618570163029,3.0939843435687346,0.33984375,0.3673466273716518,38,0.0002584748860196366,0.0002685646456181227,2.4987352713942528,0.24282869696617126,0.46020108461380005
s31415-n16-k4-B,31415,16,4,B,0.9859589224453446,1.0928499976796773,0.8093276739058346,2.8679504456773532,0.3395647321428571,0.3689945765904018,44,0.00025435156324723113,0.00026342025254659046,2.473096463829279,0.23951195180416107,0.45721307396888733
