cell,seed,n_train,budget,model,primary_mse_gm,primary_relative_l2_gm,extrapolation_mse_gm,stress_mse_gm,energy_monotone_fraction,bound_violation_fraction,selected_epoch,selected_validation_mse,final_validation_mse,training_seconds,evaluation_seconds,reaction_mse_tau015
s161803-n128-k1-A,161803,128,1,A,0.011431914488380926,0.1250880981996219,0.015298511986781194,0.015779678762023356,0.8388671875,0.0,74,6.456734111755698e-05,6.561033812128396e-05,0.7303178496658802,0.08299968019127846,0.044472407549619675
s161803-n128-k1-B,161803,128,1,B,0.011527854324227331,0.1255662331730907,0.015070585249473897,0.015958067496445672,0.8376116071428572,0.0,76,6.452059460571036e-05,6.559963988668945e-05,0.7212449871003628,0.08247892558574677,0.04461580887436867
s161803-n128-k4-A,161803,128,4,A,0.008348279527807473,0.10667652872095386,0.00905990936347217,0.01211159087136188,0.845703125,0.0,77,3.541277593891815e-05,3.602932777842701e-05,2.5535411909222603,0.24800493940711021,0.03751171752810478
s161803-n128-k4-B,161803,128,4,B,0.008183941668652755,0.10565996888097516,0.008664968246730992,0.011898586815519968,0.8491908482142857,0.0,79,3.5319228421334024e-05,3.594526015149313e-05,2.530300959944725,0.2408106029033661,0.03661761060357094
s161803-n16-k1-A,161803,16,1,A,0.011879870336722024,0.1275300133526362,0.015780672960984832,0.016250088913689696,0.8359375,0.0,26,6.562344484943121e-05,7.584608162384636e-05,0.721456203609705,0.08165167272090912,0.04554908722639084
s161803-n16-k1-B,161803,16,1,B,0.01279982928895043,0.13216071171516364,0.017134281090867995,0.017445331699770285,0.8258928571428572,0.0,42,6.591716252538997e-05,7.656814644481831e-05,0.7261623926460743,0.08241301029920578,0.04838960990309715
s161803-n16-k4-A,161803,16,4,A,0.0076732648764977675,0.10268715812281509,0.008441890538023047,0.010778060443106464,0.8649553571428572,0.0,72,3.669526987929809e-05,4.199708443290243e-05,2.5507327876985073,0.24379587918519974,0.033518869429826736
s161803-n16-k4-B,161803,16,4,B,0.008488144357377657,0.10763402015091425,0.009899496701740165,0.012354522901856943,0.8452845982142857,0.0,25,3.614067835163345e-05,4.2351525432119765e-05,2.5687450133264065,0.24248846992850304,0.03815200924873352
s271828-n128-k1-A,271828,128,1,A,0.012528566029903267,0.13088963051463087,0.016537075378983523,0.01746568544914463,0.8286830357142857,0.0,59,6.767166860299767e-05,6.881419418884131e-05,0.718442864716053,0.08322340622544289,0.048772815614938736
s271828-n128-k1-B,271828,128,1,B,0.01304075492363003,0.13346366809770127,0.017288867947004183,0.018234406787932183,0.8235212053571428,0.0,68,6.791538908146322e-05,6.914156847415143e-05,0.7149568125605583,0.08332420885562897,0.050424788147211075
