root,cell,scheme,budget,length,mode,seed,model,checkpoint,primary_mse,generator_grid_mse,generator_reference_mse,bound_violation,energy_monotone,stress_mse,training_seconds,epochs,selected_epoch,privileged
rate-L4,midpoint-b4-L4-detached-s161803-A,midpoint,4,4,detached,161803,A,final,6.118532119052111e-07,9.300149395130567e-05,7.1433996708947225e-06,0.0,1.0,1.2711457713273148e-06,28.90933882817626,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s161803-A,midpoint,4,4,detached,161803,A,best_one_step,6.118532119052111e-07,9.300149395130567e-05,7.1433996708947225e-06,0.0,1.0,1.2711457713273148e-06,28.90933882817626,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s161803-A,midpoint,4,4,detached,161803,A,best_rollout,5.674112089647959e-07,9.241137740900735e-05,7.02630131854676e-06,0.0,1.0,1.2390412575705163e-06,28.90933882817626,2000,1920,False
rate-L4,midpoint-b4-L4-detached-s161803-A,midpoint,4,4,detached,161803,A,epoch120,0.006935170654653242,0.03181114047765732,0.0351291261613369,0.0,0.8582589285714286,0.009469541247671864,28.90933882817626,2000,120,False
rate-L4,midpoint-b4-L4-detached-s161803-A,midpoint,4,4,detached,161803,A,epoch400,0.005680788020307506,0.026303606107830998,0.029709562659263614,0.0,0.8727678571428572,0.007675636019764145,28.90933882817626,2000,400,False
rate-L4,midpoint-b4-L4-detached-s161803-B,midpoint,4,4,detached,161803,B,final,6.965715720334903e-07,6.306623267289292e-05,5.199840925040061e-06,0.0,1.0,8.440421769686498e-07,28.749425418674946,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s161803-B,midpoint,4,4,detached,161803,B,best_one_step,6.965715720334903e-07,6.306623267289292e-05,5.199840925040061e-06,0.0,1.0,8.440421769686498e-07,28.749425418674946,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s161803-B,midpoint,4,4,detached,161803,B,best_rollout,6.965715720334903e-07,6.306623267289292e-05,5.199840925040061e-06,0.0,1.0,8.440421769686498e-07,28.749425418674946,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s161803-B,midpoint,4,4,detached,161803,B,epoch120,0.0069601502931220605,0.031878541106371075,0.03530888669658535,0.0,0.8599330357142857,0.009507418939301175,28.749425418674946,2000,120,False
rate-L4,midpoint-b4-L4-detached-s161803-B,midpoint,4,4,detached,161803,B,epoch400,0.0057242765222244515,0.02646994653303945,0.030055014861650426,0.0,0.8741629464285714,0.007751812303711621,28.749425418674946,2000,400,False
rate-L4,midpoint-b4-L4-detached-s271828-A,midpoint,4,4,detached,271828,A,final,1.326342607308005e-05,5.878898809896782e-05,9.996628796216102e-05,0.0,1.0,1.879537778335667e-05,28.992924075573683,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s271828-A,midpoint,4,4,detached,271828,A,best_one_step,1.326342607308005e-05,5.878898809896782e-05,9.996628796216102e-05,0.0,1.0,1.879537778335667e-05,28.992924075573683,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s271828-A,midpoint,4,4,detached,271828,A,best_rollout,1.326342607308005e-05,5.878898809896782e-05,9.996628796216102e-05,0.0,1.0,1.879537778335667e-05,28.992924075573683,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s271828-A,midpoint,4,4,detached,271828,A,epoch120,0.007464684565013912,0.034187830984592445,0.037140831351280205,0.0,0.853515625,0.010226057177751744,28.992924075573683,2000,120,False
rate-L4,midpoint-b4-L4-detached-s271828-A,midpoint,4,4,detached,271828,A,epoch400,0.0065822772070908645,0.030184987932443626,0.03327101469039918,0.0,0.86328125,0.008870714860006202,28.992924075573683,2000,400,False
rate-L4,midpoint-b4-L4-detached-s271828-B,midpoint,4,4,detached,271828,B,final,0.0001879069815409384,8.743398586223522e-05,0.00013171873824499483,0.0,1.0,8.019161399242872e-05,28.68805655837059,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s271828-B,midpoint,4,4,detached,271828,B,best_one_step,1.722242280922901e-05,6.110353099576723e-05,0.00010630140878586952,0.0,1.0,2.110508676260117e-05,28.68805655837059,2000,1960,False
rate-L4,midpoint-b4-L4-detached-s271828-B,midpoint,4,4,detached,271828,B,best_rollout,1.691702933746242e-05,6.071737036164961e-05,0.00010581309877548341,0.0,1.0,2.093590941439111e-05,28.68805655837059,2000,1970,False
rate-L4,midpoint-b4-L4-detached-s271828-B,midpoint,4,4,detached,271828,B,epoch120,0.007667893366658801,0.034828380932179465,0.03793795617846575,0.0,0.8540736607142857,0.010479890127432794,28.68805655837059,2000,120,False
rate-L4,midpoint-b4-L4-detached-s271828-B,midpoint,4,4,detached,271828,B,epoch400,0.007089438319352191,0.03216113341536195,0.0354161038171897,0.0,0.8657924107142857,0.009552038085032103,28.68805655837059,2000,400,False
rate-L4,midpoint-b4-L4-detached-s31415-A,midpoint,4,4,detached,31415,A,final,9.287298042849512e-07,0.0001324458135059103,1.3668936844624122e-05,0.0,1.0,2.449083097614947e-06,29.144272182136774,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s31415-A,midpoint,4,4,detached,31415,A,best_one_step,9.429408843857874e-07,0.00013326430052984495,1.3845786270394445e-05,0.0,1.0,2.4787238962501703e-06,29.144272182136774,2000,1770,False
rate-L4,midpoint-b4-L4-detached-s31415-A,midpoint,4,4,detached,31415,A,best_rollout,9.526441892184267e-07,0.00013371776731219132,1.392391823173966e-05,0.0,1.0,2.486019686779928e-06,29.144272182136774,2000,1470,False
rate-L4,midpoint-b4-L4-detached-s31415-A,midpoint,4,4,detached,31415,A,epoch120,0.006004570718205622,0.027640035375952717,0.03007488511502743,0.0,0.8766741071428571,0.007995152535999906,29.144272182136774,2000,120,False
rate-L4,midpoint-b4-L4-detached-s31415-A,midpoint,4,4,detached,31415,A,epoch400,0.004978659398149543,0.02312804013490677,0.025749772787094113,0.0,0.8892299107142857,0.0065897633102588475,29.144272182136774,2000,400,False
rate-L4,midpoint-b4-L4-detached-s31415-B,midpoint,4,4,detached,31415,B,final,8.805017860788186e-07,0.00011151068166350911,1.0059558846179825e-05,0.0,1.0,1.8227203947995555e-06,28.684023685753345,2000,2000,False
rate-L4,midpoint-b4-L4-detached-s31415-B,midpoint,4,4,detached,31415,B,best_one_step,9.424596654490834e-07,0.00011469936508478867,1.0953359923725227e-05,0.0,1.0,1.9979641815991176e-06,28.684023685753345,2000,1850,False
rate-L4,midpoint-b4-L4-detached-s31415-B,midpoint,4,4,detached,31415,B,best_rollout,8.805017860788186e-07,0.00011151068166350911,1.0059558846179825e-05,0.0,1.0,1.8227203947995555e-06,28.684023685753345,2000,2000,False
