epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,0.016311030834913254,0.010661227628588676,0.0028776797310759625,0.06828370690345764,0.013729441910982132,0.03871097043156624
10,0.006021752953529358,0.009157822467386723,0.0008767184893561838,0.02214130014181137,0.13064053654670715,0.18072821199893951
20,0.0005044889985583723,0.003920179791748524,6.642140457794692e-05,0.003031740430742502,0.2600867748260498,0.33548859506845474
30,0.0005174428806640208,0.003209176706150174,3.744296858106585e-05,0.0015381198609247804,0.3895632140338421,0.49015267565846443
40,0.0004715747490990907,0.0023611984215676785,0.00010470640215013798,0.002621756400913,0.5192806869745255,0.644616149365902
50,0.0002463988494127989,0.0007619913085363805,3.81661575374892e-05,0.001086221425794065,0.6487035751342773,0.799144558608532
60,0.0002586136106401682,0.0009214068995788693,3.301404331068625e-05,0.0010969863506034017,0.7780388593673706,0.9534024260938168
70,0.0002472722844686359,0.0004988639848306775,4.5025465624348726e-05,0.0011628390057012439,0.9073875434696674,1.1074432767927647
80,0.0002341480867471546,0.00017402305093128234,3.7093134930425244e-05,0.0010537110501900315,1.0360339134931564,1.2611476369202137
90,0.0002326859103050083,0.00016365172632504255,3.634171237839231e-05,0.001046021468937397,1.1645898818969727,1.414765115827322
100,0.00023367960238829255,0.0001311192027060315,3.8908138625023035e-05,0.0010718794073909521,1.2931651398539543,1.5680357664823532
110,0.00023051409516483545,6.937784928595647e-05,3.664737566092905e-05,0.0010447193635627627,1.4218079894781113,1.7220524027943611
120,0.0002297672617714852,4.593573248712346e-05,3.7355071526690153e-05,0.001049759448505938,1.5537902154028416,1.8787509091198444
130,0.0002285732771269977,4.8105364840012044e-05,3.7062883620819775e-05,0.0010450028348714113,1.683179672807455,2.03336975723505
140,0.00022703519789502025,4.86097669636365e-05,3.672824247284249e-05,0.0010402060579508543,1.8113904148340225,2.18673412874341
150,0.00022587462444789708,4.732969682663679e-05,3.675747575471178e-05,0.0010384058114141226,1.9397049434483051,2.340042382478714
160,0.00022430706303566694,4.739232826977968e-05,3.642363693264391e-05,0.001033248146995902,2.068039659410715,2.49348683655262
170,0.00022289562912192196,4.673956937040202e-05,3.6325803042321546e-05,0.0010302765294909477,2.1968973949551582,2.6474113911390305
180,0.0002213306725025177,4.6731300244573504e-05,3.608568416287502e-05,0.0010259475093334913,2.326744105666876,2.802519589662552
190,0.00021975423442199826,4.6944365749368444e-05,3.590579080992029e-05,0.001022153883241117,2.4557242169976234,2.9568577706813812
200,0.00021812404156662524,4.6809491323074326e-05,3.5694866710400674e-05,0.0010180476820096374,2.5843946784734726,3.110749300569296
210,0.00021645097876898944,4.6721852413611487e-05,3.548611175574479e-05,0.0010139551013708115,2.7131672091782093,3.264869462698698
220,0.0002147461345884949,4.666573295253329e-05,3.527366531367685e-05,0.001009833998978138,2.841825231909752,3.418823231011629
230,0.00021300598746165633,4.6527951781172305e-05,3.505539280013181e-05,0.0010056693572551012,2.970591925084591,3.5728956945240498
240,0.00021124343038536608,4.634732977137901e-05,3.4836111808544956e-05,0.0010015059961006045,3.0997301191091537,3.7273270189762115
250,0.00020945865253452212,4.6124892833177e-05,3.4612452509463765e-05,0.0009973244741559029,3.229880888015032,3.8829774521291256
260,0.00020766099623870105,4.5874083298258483e-05,3.4387690296474226e-05,0.0009931519161909819,3.358769565820694,4.0371789783239365
270,0.00020585409947670996,4.5590641093440354e-05,3.416033738782668e-05,0.0009889742359519005,3.4875307753682137,4.191216103732586
280,0.00020404357928782701,4.5284406951395795e-05,3.39318101699367e-05,0.0009847977198660374,3.616250619292259,4.345261447131634
290,0.00020223355386406183,4.496183464652859e-05,3.37014263701955e-05,0.0009806056041270494,3.7450272664427757,4.499325305223465
300,0.00020042763208039105,4.4633135985350236e-05,3.346972319680693e-05,0.0009763851994648576,3.873920474201441,4.653517302125692
310,0.00019862833141814917,4.4308842916507274e-05,3.3236206339400574e-05,0.0009721097303554416,4.0027240216732025,4.807756844907999
320,0.00019683584105223417,4.400450416142121e-05,3.300046031048017e-05,0.0009677490452304482,4.131487015634775,4.962069388478994
330,0.0001950499863596633,4.373060801299289e-05,3.276192258757268e-05,0.0009632615838199854,4.26044375449419,5.116606198251247
340,0.00019326838082633913,4.350295785116032e-05,3.251976977480808e-05,0.0009585997904650867,4.389244146645069,5.270787004381418
350,0.00019148626597598195,4.333466858952306e-05,3.227291396494062e-05,0.0009537093574181199,4.518067639321089,5.425151579082012
360,0.00018969808297697455,4.323860048316419e-05,3.2020058521690466e-05,0.000948527711443603,4.646934803575277,5.579563092440367
370,0.00018789609021041542,4.3224736145930365e-05,3.1759800018941554e-05,0.0009429900092072785,4.77562078088522,5.733778685331345
380,0.00018607113452162594,4.330322553869337e-05,3.149052266356497e-05,0.0009370261104777455,4.9052690006792545,5.889023050665855
390,0.00018421249114908278,4.3480507883941755e-05,3.1210566476147505e-05,0.0009305652929469943,5.03401118144393,6.043310299515724
400,0.00018230857676826417,4.376063952804543e-05,3.091801719771562e-05,0.0009235350298695266,5.166356697678566,6.208440717309713
410,0.00018034735694527626,4.414588329382241e-05,3.061118445657485e-05,0.0009158686734735966,5.2961601205170155,6.364078659564257
420,0.00017831528384704143,4.463574441615492e-05,3.0288090632287396e-05,0.0009074964327737689,5.425085887312889,6.518538620322943
430,0.00017619944992475212,4.522797098616138e-05,2.994694386870833e-05,0.0008983560837805271,5.553815186023712,6.672788500785828
440,0.0001739867147989571,4.5918750402051955e-05,2.958583741019538e-05,0.0008883923292160034,5.6826429553329945,6.827116269618273
450,0.00017166259931400418,4.670334965339862e-05,2.920301115712694e-05,0.0008775500464253128,5.813399206846952,6.983418371528387
460,0.0001692146179266274,4.757627903018147e-05,2.8796733734755737e-05,0.0008657861035317183,5.942099675536156,7.137643918395042
470,0.0001666295138420537,4.853200516663492e-05,2.8365104905484866e-05,0.0008530565537512302,6.070875268429518,7.291923340409994
480,0.0001638941903365776,4.956468546879478e-05,2.7906450062194683e-05,0.0008393260650336742,6.199448265135288,7.44600523263216
490,0.00016099546337500215,5.066888115834445e-05,2.7418961659956647e-05,0.0008245601202361286,6.328263387084007,7.600318938493729
500,0.00015792055637575686,5.1838753279298544e-05,2.6900578632194083e-05,0.0008087262394838035,6.457086011767387,7.754789751023054
510,0.00015465603792108595,5.3069052228238434e-05,2.6349408623597508e-05,0.0007917920593172312,6.585724458098412,7.90907884016633
520,0.00015118824376259,5.435309140011668e-05,2.5763458779692883e-05,0.0007737265550531447,6.714758038520813,8.06368550658226
530,0.00014750377158634365,5.5684133258182555e-05,2.5140345163284412e-05,0.000754490785766393,6.843353763222694,8.217914827167988
540,0.0001435881422366947,5.705341391148977e-05,2.4477779788867338e-05,0.0007340461015701294,6.972123499959707,8.372207775712013
550,0.0001394283608533442,5.845036139362492e-05,2.3773557965493335e-05,0.0007123512332327664,7.1009577587246895,8.52664715051651
560,0.0001350104867015034,5.9861544286832213e-05,2.3025361163793907e-05,0.0006893614772707224,7.230010233819485,8.681377235800028
570,0.00013032346032559872,6.12703079241328e-05,2.223136182995707e-05,0.0006650352152064443,7.358953177928925,8.836049754172564
580,0.00012535772111732513,6.265612319111824e-05,2.1389789026216022e-05,0.0006393356015905738,7.487996120005846,8.990775018930435
590,0.00012010749196633697,6.399423000402749e-05,2.049968308407794e-05,0.0006122372578829527,7.61730433255434,9.145755130797625
600,0.00011457098298706114,6.525487697217613e-05,1.956069559128082e-05,0.0005837329663336277,7.746191993355751,9.300249572843313
610,0.00010875296720769256,6.640403444180265e-05,1.857364441093523e-05,0.0005538458353839815,7.874663460999727,9.454396810382605
620,0.00010266539175063372,6.74027469358407e-05,1.754057423871321e-05,0.0005226345383562148,8.003297492861748,9.60869126021862
630,9.632906585466117e-05,6.820799899287522e-05,1.6464959761227267e-05,0.0004902033833786845,8.13214386627078,9.76314589753747
640,8.97749123396352e-05,6.877386476844549e-05,1.5352044367015576e-05,0.00045671092811971903,8.260970633476973,9.91765958815813
650,8.304479706566781e-05,6.905253394506872e-05,1.4208834348513241e-05,0.00042237219167873263,8.389750767499208,10.072140369564295
660,7.619263487868011e-05,6.89980952301994e-05,1.3044550920919088e-05,0.0003874648828059435,8.518519263714552,10.22659681364894
670,6.928319635335356e-05,6.856763502582908e-05,1.187005451204944e-05,0.00035232017398811877,8.647197235375643,10.380918748676777
680,6.23920641373843e-05,6.772473716409877e-05,1.069804451011199e-05,0.00031732171191833913,8.776275679469109,10.535694692283869
690,5.560173303820193e-05,6.644296081503853e-05,9.542646012050682e-06,0.00028288818430155516,8.905056338757277,10.690115299075842
700,4.8999783757608384e-05,6.470960943261161e-05,8.418573770541116e-06,0.0002494583313819021,9.033603224903345,10.844302546232939
710,4.267353142495267e-05,6.252527236938477e-05,7.340708179981448e-06,0.00021746901620645076,9.162324268370867,10.998864267021418
720,3.6705503589473665e-05,5.9910689742537215e-05,6.323127953085835e-06,0.00018732943863142282,9.291128031909466,11.153289332985878
730,3.116837251582183e-05,5.69015319342725e-05,5.378216201279429e-06,0.0001593957276782021,9.420032776892185,11.307804755866528
740,2.6119674657820724e-05,5.355059329303913e-05,4.515892631692016e-06,0.0001339495211141184,9.54878644645214,11.462265629321337
750,2.1599185856757686e-05,4.992589674657211e-05,3.7431165461991136e-06,0.00011117967369500548,9.677643802016973,11.616874687373638
760,1.762633110047318e-05,4.610500036505982e-05,3.0632727335463037e-06,9.117185982177034e-05,9.806321766227484,11.77131311967969
770,1.4199911674950272e-05,4.217099558445625e-05,2.4763859300946933e-06,7.391204417217523e-05,9.9352524317801,11.926019288599491
780,1.1300255209789611e-05,3.821030622930266e-05,1.979230484986753e-06,5.929351027589291e-05,10.064006805419922,12.080434665083885
790,8.891824109014124e-06,3.4300610423088074e-05,1.565890405193689e-06,4.713246016763151e-05,10.192703578621149,12.235646162182093
800,6.927741651452379e-06,3.0516024708049372e-05,1.228451443087882e-06,3.719124288181774e-05,10.321451779454947,12.390117794275284
810,5.3541716624749824e-06,2.6917676223092712e-05,9.57784199802821e-07,2.9198201445979066e-05,10.450089361518621,12.544470891356468
820,4.11450901083299e-06,2.3552840502816252e-05,7.443320602836442e-07,2.28716653509764e-05,10.579355858266354,12.700071506202221
830,3.1533563742414117e-06,2.0452638636925258e-05,5.786063989413984e-07,1.7935421055881307e-05,10.70871802419424,12.855250980705023
840,2.4188927909563063e-06,1.7638465578784235e-05,4.5178065732898176e-07,1.4133091099211015e-05,10.837422400712967,13.009899906814098
850,1.865166950665298e-06,1.5117373550310731e-05,3.5597186354152655e-07,1.1236969839956146e-05,10.966299872845411,13.165413331240416
860,1.4524957805406302e-06,1.2887032426078804e-05,2.8443046910335096e-07,9.051584129338153e-06,11.095159344375134,13.32001931220293
870,1.1480285593279405e-06,1.0935336831607856e-05,2.3151167975280865e-07,7.414056199195329e-06,11.223802592605352,13.474451787769794
880,9.251650681108003e-07,9.24697542359354e-06,1.9263594926618074e-07,6.192807177285431e-06,11.352511301636696,13.62890962138772
890,7.6295162898532e-07,7.79952279117424e-06,1.642213754612006e-07,5.2838140618405305e-06,11.481152728199959,13.78338422998786
900,6.45222201001161e-07,6.5718804762582295e-06,1.434725482122682e-07,4.606549282470951e-06,11.6098742634058,13.937838014215231
910,5.597309495897207e-07,5.539848643820733e-06,1.2830104031043751e-07,4.099704710824881e-06,11.738489586859941,14.092277579009533
920,4.97428970902547e-07,4.6818108785373624e-06,1.1713154061491575e-07,3.717373374456656e-06,11.867163311690092,14.24671684205532
930,4.516496687756444e-07,3.973387720179744e-06,1.0881908470613173e-07,3.4255210721312324e-06,11.995749026536942,14.401093613356352
940,4.175667527306359e-07,3.396678494027583e-06,1.0253599806257323e-07,3.19939385917678e-06,12.124595314264297,14.555779956281185
950,3.9175446886474674e-07,2.929492666225997e-06,9.768639349279813e-08,3.020963504241081e-06,12.25343867763877,14.710473474115133
960,3.717752008469688e-07,2.5538422505633207e-06,9.385171750864174e-08,2.87719490188465e-06,12.382188837975264,14.865156169980764
970,3.5592128710959514e-07,2.254480932606384e-06,9.072742971720042e-08,2.758856453510816e-06,12.5109643638134,15.019798059016466
980,3.429845492064487e-07,2.024035893555265e-06,8.811283732275872e-08,2.6591471851133974e-06,12.639580897986889,15.174269773066044
990,3.321606527606491e-07,1.8420967080601258e-06,8.586470912064215e-08,2.5733720576681662e-06,12.768455598503351,15.32907209545374
1000,3.228587956982665e-07,1.6952491250776802e-06,8.388037523824703e-08,2.4980861326184822e-06,12.897393021732569,15.483899559825659
1010,3.1467905614590563e-07,1.581176434228837e-06,8.209058914114091e-08,2.4309661057486665e-06,13.026037592440844,15.638515677303076
1020,3.0735276368432096e-07,1.4880102980896481e-06,8.0451260468332e-08,2.3700310975982575e-06,13.154670469462872,15.793011341243982
1030,3.006967403962335e-07,1.4173743920764537e-06,7.892586436260747e-08,2.314174935236224e-06,13.28343302756548,15.947614211589098
1040,2.9454287187036243e-07,1.3571601584771997e-06,7.749143726698549e-08,2.262278258058359e-06,13.412364386022091,16.10242496430874
1050,2.8881740377073584e-07,1.3111275620758533e-06,7.613118047089529e-08,2.2137844553071773e-06,13.540899500250816,16.256819058209658
1060,2.834585188793426e-07,1.2630423498194432e-06,7.483942384330551e-08,2.1681059934053337e-06,13.669564373791218,16.411359898746014
1070,2.7840636107612227e-07,1.2251382486283546e-06,7.360430250476686e-08,2.124869297404075e-06,13.79923977702856,16.567627925425768
1080,2.736219073540269e-07,1.186627741844859e-06,7.24180733158164e-08,2.083686013065744e-06,13.928257416933775,16.72251721471548
1090,2.6907497385764145e-07,1.1578986232052557e-06,7.127587823655783e-08,2.044373331955285e-06,14.057199720293283,16.87731161341071
1100,2.647479959705379e-07,1.1309920182611677e-06,7.017483838467342e-08,2.006820068345405e-06,14.186102282255888,17.03219387307763
1110,2.606219027256884e-07,1.0986461802531267e-06,6.911514856729657e-08,1.970733137568459e-06,14.314791187644005,17.186887599527836
1120,2.566883381405205e-07,1.0741854339357815e-06,6.808711609333311e-08,1.9361318663868587e-06,14.443623408675194,17.341652274131775
1130,2.5293067551501736e-07,1.0492844921827782e-06,6.710011775841925e-08,1.9027700091100996e-06,14.572412256151438,17.496325843036175
1140,2.4932992914727947e-07,1.0213935865976964e-06,6.614852221531464e-08,1.8706109585764352e-06,14.701209057122469,17.651067227125168
1150,2.4588797487012926e-07,1.0049024012914742e-06,6.522246683478745e-08,1.8397532812741701e-06,14.830074608325958,17.805975515395403
1160,2.425968546049262e-07,9.837649486144073e-07,6.432751102162608e-08,1.8098819509759778e-06,14.958953473716974,17.960816081613302
1170,2.3943999849507236e-07,9.582487336956547e-07,6.346983975428581e-08,1.7810450572142145e-06,15.08785042539239,18.11568009108305
1180,2.3641612756364339e-07,9.45303725075064e-07,6.26307909238714e-08,1.7532311176182702e-06,15.216878987848759,18.27062141150236
1190,2.3350992250925628e-07,9.199836767948e-07,6.182493450523907e-08,1.7263232621189672e-06,15.345736030489206,18.42538759857416
1200,2.307384363575693e-07,9.017059596772015e-07,6.104278149621223e-08,1.7003708308038767e-06,15.474362716078758,18.579918399453163
1210,2.280772548601817e-07,8.860837965585233e-07,6.028531363000411e-08,1.6752871943026548e-06,15.603603921830654,18.73521639034152
1220,2.2552070788606216e-07,8.690432764524303e-07,5.955387027967163e-08,1.6509992519786465e-06,15.732343971729279,18.88992029428482
1230,2.230667064395675e-07,8.471418482258741e-07,5.884907879523856e-08,1.6275175767077599e-06,15.861822117120028,19.045392990112305
1240,2.2073015770729398e-07,8.283168426714838e-07,5.816288991174664e-08,1.6048252291511744e-06,15.990715764462948,19.200162556022406
1250,2.1847611719749693e-07,8.184370017261244e-07,5.749811234541843e-08,1.582923914611456e-06,16.119572702795267,19.354899011552334
1260,2.1631197455462825e-07,7.978343887771189e-07,5.686006450863109e-08,1.561673798278207e-06,16.24841133132577,19.50973668694496
1270,2.14241069329546e-07,7.833767767806421e-07,5.6232701754292215e-08,1.5411382037200383e-06,16.377150788903236,19.664395537227392
1280,2.1224926172180858e-07,7.73869714976172e-07,5.563107308148574e-08,1.5212413018161897e-06,16.505874805152416,19.81909490004182
1290,2.1033289954175416e-07,7.592358315378078e-07,5.504774206836297e-08,1.5020291357359383e-06,16.63461359217763,19.973810106515884
1300,2.084931622903241e-07,7.381951832030609e-07,5.448888806824925e-08,1.4833565273875138e-06,16.763412065804005,20.128596179187298
1310,2.067350806100876e-07,7.25199640783103e-07,5.394007847788392e-08,1.4653139714937424e-06,16.89247877150774,20.283712528645992
1320,2.0503296127571957e-07,7.170589810812089e-07,5.340336943030858e-08,1.4479225001196028e-06,17.021182231605053,20.43843388557434
1330,2.0340172568467096e-07,7.075670964695746e-07,5.2888898594005695e-08,1.431053419764794e-06,17.149913385510445,20.593080453574657
1340,2.018299909423149e-07,6.952651006031374e-07,5.239054878813931e-08,1.414698544977e-06,17.278644129633904,20.747738018631935
1350,2.0031811232001928e-07,6.82082315961452e-07,5.19083922512209e-08,1.3987762486067368e-06,17.40722092986107,20.902210891246796
1360,1.988596523005981e-07,6.714907385685365e-07,5.144058482879169e-08,1.383413291478064e-06,17.53601162135601,21.056992046535015
1370,1.9745681356653222e-07,6.593948569388886e-07,5.098503071584067e-08,1.3685316844203044e-06,17.664827849715948,21.211868319660425
1380,1.961016096174717e-07,6.482737262558658e-07,5.054029905693369e-08,1.354172354695038e-06,17.79340848699212,21.366402558982372
1390,1.9480285118333995e-07,6.382453534570232e-07,5.0110012435785244e-08,1.340201151833753e-06,17.921967301517725,21.52088926360011
1400,1.9354547475813888e-07,6.275148507484118e-07,4.9694906560186304e-08,1.326623305430985e-06,18.050401501357555,21.675255678594112
1410,1.9232916770306474e-07,6.1941699414092e-07,4.9289071194872726e-08,1.313472239417024e-06,18.179065741598606,21.830118913203478
1420,1.911576248403435e-07,6.121601359154738e-07,4.889612004177479e-08,1.3007027064304566e-06,18.30751694738865,21.984609931707382
1430,1.9001686268893536e-07,6.048518912393774e-07,4.851247018914743e-08,1.2883356248494238e-06,18.436260487884283,22.139362819492817
1440,1.889122529519227e-07,5.94757295857562e-07,4.813845263148172e-08,1.2763539416482672e-06,18.56511014699936,22.29427022859454
1450,1.8785803490573016e-07,5.979468369332608e-07,4.77694799272399e-08,1.2648242773138918e-06,18.693757820874453,22.448806300759315
1460,1.8682028724015254e-07,5.772750455435016e-07,4.7429371245281495e-08,1.2533130302472273e-06,18.822427313774824,22.60352571681142
1470,1.858210509908531e-07,5.697916662938951e-07,4.708256332956277e-08,1.2423670341377147e-06,18.95099350064993,22.758107781410217
1480,1.8484691111098073e-07,5.761301054008072e-07,4.674222076062051e-08,1.2317805158090778e-06,19.07976098358631,22.912953060120344
1490,1.8389636124993558e-07,5.583223696703499e-07,4.642162595066187e-08,1.2212783531140303e-06,19.20832282677293,23.06762283667922
1500,1.8298310067166312e-07,5.511369636224117e-07,4.610956653531654e-08,1.2111079286114546e-06,19.33957079797983,23.225110452622175
1510,1.8209429697435553e-07,5.600746249001531e-07,4.578536956974707e-08,1.2014717185593327e-06,19.468251455575228,23.379895370453596
1520,1.812258290101454e-07,7.404146344924811e-07,4.545231924169002e-08,1.192378590531007e-06,19.596951492130756,23.534688346087933
1530,1.8047120420305873e-07,2.890037194447359e-06,4.4964916826965386e-08,1.1865583928738488e-06,19.725551657378674,23.689250260591507
1540,1.8668291090762068e-07,2.6916415663436055e-05,4.424482054806352e-08,1.2618208984349621e-06,19.85402772575617,23.84353217482567
1550,1.5169688367677736e-06,0.00037371114012785256,3.5650799408889117e-07,1.1328481377859134e-05,19.982597310096025,23.997610118240118
1560,1.968527385542984e-06,0.00043230759911239147,3.756297140000697e-07,9.10530798137188e-06,20.11106202378869,24.151761692017317
1570,3.317291543680767e-07,0.0001272398221772164,1.4004568586282554e-07,3.147044253637432e-06,20.23962153121829,24.305937990546227
1580,1.7712301314531942e-07,3.4120055261155358e-06,6.19288655911987e-08,1.383174321745173e-06,20.368103113025427,24.46014128997922
1590,1.983605670830002e-07,4.728795465780422e-05,4.403543189350027e-08,1.1317720236547757e-06,20.496441021561623,24.614562954753637
1600,2.0468185368827108e-07,5.451632023323327e-05,4.2806073056548634e-08,1.2146435892645968e-06,20.624919522553682,24.76887122541666
1610,1.839607932652143e-07,3.0157645596773364e-05,4.260048077261066e-08,1.2046903066220693e-06,20.753441467881203,24.923439770936966
1620,1.742975683782788e-07,2.542888978496194e-06,4.2543997658128774e-08,1.1232582437514793e-06,20.88190459832549,25.077961184084415
1630,1.7504765992271132e-07,1.2898661225335672e-05,4.3658310152257705e-08,1.0998030575137818e-06,21.010540783405304,25.232550635933876
1640,1.7290790310653392e-07,5.72490705508244e-07,4.275120465043377e-08,1.0962955911963945e-06,21.139139492064714,25.38706187531352
1650,1.7247131722797349e-07,4.43587714471505e-06,4.204742998226152e-08,1.097888116419199e-06,21.267687741667032,25.54153808951378
1660,1.716378505989269e-07,2.708548436203273e-06,4.224354125762867e-08,1.0836664614544134e-06,21.39621565490961,25.695939771831036
1670,1.7098150806305057e-07,1.0622774198054685e-06,4.18803772402517e-08,1.0793407909659436e-06,21.524858068674803,25.85068031400442
1680,1.7033480048667116e-07,6.215968824108131e-07,4.169814745343577e-08,1.07252640191291e-06,21.65349481627345,26.005393605679274
1690,1.697254390364833e-07,6.402339067790308e-07,4.147660170872314e-08,1.0665854688340914e-06,21.782095193862915,26.160153158009052
1700,1.6910766476030403e-07,7.646599442523438e-07,4.132487744593997e-08,1.059662736224709e-06,21.91051485762,26.31468778848648
1710,1.6850866302320355e-07,4.6861029545652855e-07,4.1080568872568314e-08,1.0543532198425964e-06,22.039074532687664,26.46943600475788
1720,1.6791443613328738e-07,5.367390940591577e-07,4.087447624812057e-08,1.0485955499461852e-06,22.16751880198717,26.624071791768074
1730,1.6732192875679175e-07,5.602078658739629e-07,4.0678170757738975e-08,1.0428811947349459e-06,22.295947048813105,26.778657265007496
1740,1.6677219605298887e-07,1.3962254570287769e-06,4.041293018749078e-08,1.038578830048209e-06,22.42442735657096,26.93329007923603
1750,1.6721500628591457e-07,9.948281331162434e-06,3.9783994913259825e-08,1.050875994224043e-06,22.55296630039811,27.08791609853506
1760,3.0015414154149767e-07,0.00011790663847932592,6.766784229246998e-08,2.2215517674339935e-06,22.68154090642929,27.242184028029442
1770,5.980690730211791e-06,0.000777382985688746,5.391641491788354e-07,1.6508824046468362e-05,22.811564903706312,27.397927306592464
1780,9.328516625828343e-07,0.0002817802596837282,2.6224557754990957e-07,8.32047408039216e-06,22.940204828977585,27.552430219948292
1790,2.0461385474845883e-07,6.40555881545879e-05,8.083289622836294e-08,2.6688180696510244e-06,23.068744115531445,27.706769291311502
1800,1.6750180975577678e-07,1.8876973626902327e-05,4.229573165777841e-08,1.2568187912620488e-06,23.197232212871313,27.861024662852287
1810,1.892154841698357e-07,5.219131344347261e-05,3.9597181089590094e-08,1.0012962547989446e-06,23.326101157814264,28.01627918332815
1820,1.894253642831245e-07,5.2739538659807295e-05,4.299899355094302e-08,1.0180325489272946e-06,23.454671278595924,28.170421347022057
1830,1.704162571058987e-07,2.887502523662988e-05,4.2556120997498205e-08,1.0084183941216907e-06,23.583045084029436,28.32450722157955
1840,1.6214930553815066e-07,9.67125970419147e-07,3.959211595609228e-08,9.841785413300386e-07,23.712376337498426,28.480131279677153
1850,1.6313822470692685e-07,1.2025905562040862e-05,3.8396262465785945e-08,9.974971817428013e-07,23.841118652373552,28.634997632354498
1860,1.6113074252643855e-07,1.5917672726573073e-06,3.840986166162944e-08,9.856439646682702e-07,23.96964418515563,28.789191253483295
1870,1.6072486630491767e-07,4.567843006952899e-06,3.8750601394355044e-08,9.722384675114881e-07,24.09860325232148,28.94457893818617
1880,1.601017629582202e-07,1.5986703374437639e-06,3.830472132075139e-08,9.714502766655642e-07,24.228694271296263,29.10088626295328
1890,1.5955588139604515e-07,4.5000635395808786e-07,3.813548158741279e-08,9.67243636296189e-07,24.35925082117319,29.25774773955345
1900,1.5904903705177276e-07,6.527338314299413e-07,3.806700229110523e-08,9.61227328843961e-07,24.489711467176676,29.414432805031538
1910,1.5855172819101426e-07,5.3352704298959e-07,3.7844651560684874e-08,9.579841844242765e-07,24.620350126177073,29.57306705415249
1920,1.5804957342879788e-07,4.154265127453982e-07,3.7726030003663404e-08,9.530232887300372e-07,24.75114443153143,29.730049788951874
1930,1.5755743731915572e-07,4.647605749141803e-07,3.757783210526592e-08,9.486481076237396e-07,24.882328893989325,29.88756613060832
1940,1.5705904843343887e-07,4.1146850549012015e-07,3.7420423944685886e-08,9.444936495128786e-07,25.012862902134657,30.044407960027456
1950,1.5656314644729719e-07,4.2039314962494245e-07,3.727510862934954e-08,9.402123168911203e-07,25.143509600311518,30.202770855277777
1960,1.5607876946432953e-07,4.185593809324928e-07,3.712861558942867e-08,9.360165904581663e-07,25.27582724392414,30.361752666532993
1970,1.5558495647383097e-07,5.225748509474215e-07,3.699975037463332e-08,9.315797910858237e-07,25.405996911227703,30.519122693687677
1980,1.5512944173678989e-07,2.4754699552431703e-06,3.701313019040716e-08,9.252310064766789e-07,25.53733069449663,30.676579523831606
