epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,0.00274876831099391,0.004268002696335316,0.0026454341132193804,0.06220141053199768,0.005327776074409485,0.030385740101337433
10,0.000929486530367285,0.003573731519281864,0.0008062876028513225,0.02047564461827278,0.04193670302629471,0.09218866750597954
20,4.8917434469331056e-05,0.0008174701943062246,7.739490683889017e-05,0.003259809920564294,0.08263609185814857,0.15824901312589645
30,0.00012044098548358306,0.0017078116070479155,8.976125809567748e-05,0.003752558957785368,0.12313570082187653,0.223493754863739
40,4.9669240979710594e-05,0.0007300410070456564,6.036041061937188e-05,0.001473080599680543,0.16351233795285225,0.2892520800232887
50,3.910326995537616e-05,0.0004381117469165474,3.930096196806213e-05,0.001103501534089446,0.204041488468647,0.35522910952568054
60,3.651742008514702e-05,0.00037080649053677917,3.573385326186932e-05,0.0014292590785771608,0.24452704936265945,0.42080219089984894
70,3.170450872858055e-05,9.528792361379601e-06,3.288025163783459e-05,0.001086595468223095,0.28500035777688026,0.48655886575579643
80,3.228138302802108e-05,0.00013117965136189014,3.3480190722912084e-05,0.0010661542182788253,0.32532696053385735,0.5520836487412453
90,3.1820483854971826e-05,7.750582881271839e-05,3.20843034084343e-05,0.0011376230977475643,0.36579345539212227,0.617637388408184
100,3.1592397135682404e-05,9.95633854472544e-06,3.2265120656423583e-05,0.001089451601728797,0.4118869751691818,0.6885581463575363
110,3.157219907734543e-05,2.7241851057624444e-05,3.231060145481024e-05,0.0010862951166927814,0.4562126398086548,0.7595196813344955
120,3.1519768526777625e-05,2.1273173842928372e-05,3.2054370270392006e-05,0.00110009522177279,0.49925223737955093,0.8299479149281979
130,3.1463263439945877e-05,1.2086537026334554e-05,3.21259314356818e-05,0.0010867957025766373,0.5419460758566856,0.897886760532856
140,3.1413579563377425e-05,1.014103509078268e-05,3.2026837592032585e-05,0.0010886273812502623,0.5873123183846474,0.9687032625079155
150,3.136307350359857e-05,1.0196988114330452e-05,3.195944357988386e-05,0.00108729035127908,0.6352371498942375,1.0458311773836613
160,3.130966069875285e-05,1.0278404261043761e-05,3.191947204565319e-05,0.0010833509732037783,0.6811689287424088,1.1170122399926186
170,3.125369403278455e-05,1.0012512575485744e-05,3.18397605951759e-05,0.0010827102232724428,0.7235047779977322,1.1890951246023178
180,3.119524990324862e-05,1.0052252946479712e-05,3.178214744063249e-05,0.0010796511778607965,0.7661087848246098,1.2602039985358715
190,3.113422644673847e-05,1.0111530173162464e-05,3.170892371902786e-05,0.0010775468545034528,0.8097106702625751,1.3291930072009563
200,3.10704781441018e-05,1.018561943055829e-05,3.1636945550417295e-05,0.001075084088370204,0.8546484000980854,1.4031670577824116
210,3.100400135735981e-05,1.027112466545077e-05,3.1563053501789305e-05,0.0010724393650889397,0.8961453810334206,1.4738367348909378
220,3.093471241299994e-05,1.0342310815758538e-05,3.148398748938538e-05,0.001069857506081462,0.9373413324356079,1.5461651124060154
230,3.086247306782752e-05,1.0429488611407578e-05,3.1403695326541005e-05,0.0010670125484466553,0.9864127412438393,1.6252328008413315
240,3.078716326854192e-05,1.0513187589822337e-05,3.131899120489834e-05,0.001064158626832068,1.0271647833287716,1.6914705149829388
250,3.070881211897358e-05,1.0604037015582435e-05,3.1231887381485045e-05,0.00106112752109766,1.0677037313580513,1.7575185410678387
260,3.062721953028813e-05,1.069662448571762e-05,3.1141038562054746e-05,0.0010580075904726982,1.1081727147102356,1.8235027231276035
270,3.054233093280345e-05,1.0793370165629312e-05,3.10470844245477e-05,0.0010547492420300841,1.148686595261097,1.8894823715090752
280,3.045394623768516e-05,1.0893721082538832e-05,3.094952929435143e-05,0.0010513684246689081,1.1891917809844017,1.955544538795948
290,3.0361914468812756e-05,1.0998372090398334e-05,3.0848367411332824e-05,0.001047851867042482,1.2299467511475086,2.0217888206243515
300,3.026618651347235e-05,1.1106680176453665e-05,3.0743493198315264e-05,0.0010441950289532542,1.2705187760293484,2.087870240211487
310,3.0166514989105053e-05,1.1219193766009994e-05,3.063470239794697e-05,0.0010403934866189957,1.3111670166254044,2.154188562184572
320,3.0062767109484412e-05,1.1335995623085182e-05,3.05218870077321e-05,0.001036441302858293,1.3517933376133442,2.220325246453285
330,2.9954686397104524e-05,1.145806527347304e-05,3.0404846711462596e-05,0.001032329397276044,1.3924302197992802,2.2864834405481815
340,2.984211459988728e-05,1.1584143976506311e-05,3.0283444781768292e-05,0.0010280528804287314,1.4330134317278862,2.3526222482323647
350,2.9724891646765172e-05,1.1715726031980012e-05,3.0157489542640786e-05,0.0010236031375825405,1.4736290723085403,2.418843001127243
360,2.960269557661377e-05,1.1853028809127863e-05,3.0026529278378195e-05,0.0010189693421125412,1.5142960287630558,2.485107995569706
370,2.9475268092937768e-05,1.1995259228569921e-05,2.9890661911243416e-05,0.0010141468374058604,1.5549516454339027,2.551306799054146
380,2.9342350899241865e-05,1.2144193533458747e-05,2.974938615807332e-05,0.0010091210715472698,1.5955723151564598,2.6174498200416565
390,2.9203638405306265e-05,1.2299231457291171e-05,2.9602555438638472e-05,0.0010038837790489197,1.6361610889434814,2.683580618351698
400,2.905880865000654e-05,1.2461011465347838e-05,2.9449739334571252e-05,0.0009984239004552364,1.6767673790454865,2.7496887370944023
410,2.8907485102536157e-05,1.2630029232241213e-05,2.9290612474142108e-05,0.000992725370451808,1.717352718114853,2.8161528035998344
