epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,1.2622567415237427,2.0656325817108154,0.00266900194886451,0.06351504474878311,0.01576254516839981,0.04145064204931259
10,0.42800575494766235,1.781373381614685,0.0007611699062787617,0.019409874454140663,0.1511688083410263,0.20302722603082657
20,0.03230287507176399,0.7204835414886475,9.294917617808096e-05,0.003863053862005472,0.301170714199543,0.37925292178988457
30,0.04637012630701065,0.71281498670578,6.448446568659467e-05,0.002680953126400709,0.45138029381632805,0.5555917993187904
40,0.027476046234369278,0.392787367105484,7.224986408497595e-05,0.001798637444153428,0.6017284393310547,0.7318991832435131
50,0.01662549003958702,0.16393184661865234,3.5967217930495586e-05,0.0010885591618716717,0.7525052316486835,0.9088645316660404
60,0.017737582325935364,0.20366144180297852,3.449365946532149e-05,0.001351257087662816,0.9033863060176373,1.085733499377966
70,0.015249187126755714,0.056084658950567245,3.404327162570553e-05,0.0010514946188777685,1.054077211767435,1.26253117993474
80,0.01515369676053524,0.042235929518938065,3.297459928338261e-05,0.0010649089235812426,1.2049974501132965,1.439455296844244
90,0.015142234042286873,0.044799741357564926,3.205223159360079e-05,0.0011089020408689976,1.3557050041854382,1.6162004880607128
100,0.015010284259915352,0.017823491245508194,3.2669567493333794e-05,0.0010627566371113062,1.5067195519804955,1.7926996238529682
110,0.014963359571993351,0.005645005498081446,3.228438254154753e-05,0.0010745462495833635,1.6576803848147392,1.9694815091788769
120,0.014937048777937889,0.008588137105107307,3.214028265574598e-05,0.0010741825681179762,1.8087222464382648,2.1462669782340527
130,0.014904810115695,0.0075804367661476135,3.225118204378911e-05,0.00106626411434263,1.9598935917019844,2.323513265699148
140,0.014870621263980865,0.00595364673063159,3.20464679740932e-05,0.0010689927730709314,2.110711880028248,2.5004414059221745
150,0.01483590342104435,0.00545967323705554,3.203999813194969e-05,0.0010646139271557331,2.2613564021885395,2.6772318929433823
160,0.014799974858760834,0.005461664870381355,3.194361609833626e-05,0.0010629699099808931,2.412075862288475,2.854075785726309
170,0.014762377366423607,0.005534325260668993,3.186305715037937e-05,0.0010609619785100222,2.562411680817604,3.030341248959303
180,0.014723081141710281,0.0055318777449429035,3.178847903958134e-05,0.0010581599781289697,2.712934922426939,3.2068529166281223
190,0.014682050794363022,0.005574996117502451,3.1693851269665174e-05,0.001056038774549961,2.863428555428982,3.3833395428955555
200,0.014639308676123619,0.005610744934529066,3.1609835483929295e-05,0.001053241197951138,3.0139436572790146,3.5598581321537495
210,0.0145947877317667,0.005635065492242575,3.1512451945066765e-05,0.0010506764519959688,3.1642304062843323,3.736401341855526
220,0.014548461884260178,0.005682162940502167,3.141657634841977e-05,0.0010478203184902668,3.314643055200577,3.912992585450411
230,0.014500333927571774,0.005720535758882761,3.131447980801264e-05,0.0010449446272104979,3.4650044105947018,4.089556600898504
240,0.014450347051024437,0.005759387277066708,3.120933282237578e-05,0.00104191352147609,3.6152664609253407,4.266026891767979
250,0.014398422092199326,0.00580106396228075,3.1099810409311125e-05,0.0010387792717665434,3.7653252743184566,4.442282289266586
260,0.014344586059451103,0.005843885708600283,3.098621436947724e-05,0.0010355229023844004,3.915554031729698,4.6187790259718895
270,0.014288784936070442,0.005887479521334171,3.0868505139854584e-05,0.0010321412701159716,4.065787695348263,4.795208398252726
280,0.014230897650122643,0.005931125022470951,3.0746426697684605e-05,0.0010286349570378661,4.221436381340027,4.977214206010103
290,0.014170963317155838,0.005976204294711351,3.061996479421699e-05,0.0010249958140775561,4.377316139638424,5.159408628940582
300,0.01410890743136406,0.0060219839215278625,3.048896815016633e-05,0.0010212219785898924,4.529072340577841,5.337610714137554
310,0.014044642448425293,0.006069091614335775,3.0353312316340936e-05,0.0010173070477321744,4.680876728147268,5.516319014132023
320,0.013978170230984688,0.006116865202784538,3.021289270085011e-05,0.0010132472962141037,4.838177844882011,5.700078286230564
330,0.013909375295042992,0.006165844388306141,3.006751224650846e-05,0.0010090357391163707,4.9888821840286255,5.877212185412645
340,0.01383817195892334,0.006215992849320173,2.991712320484415e-05,0.0010046648094430566,5.140026155859232,6.05481444299221
350,0.013764561153948307,0.006267643067985773,2.976145090845724e-05,0.0010001298505812883,5.290935110300779,6.2320196107029915
360,0.013688378036022186,0.006320911925286055,2.9600388870676397e-05,0.000995420035906136,5.441654797643423,6.409128285944462
370,0.013609562069177628,0.006375588476657867,2.9433681599281652e-05,0.0009905286133289337,5.592238862067461,6.585993383079767
380,0.013528010807931423,0.006432191468775272,2.9261123927426524e-05,0.0009854426607489586,5.7429201528429985,6.763072617352009
390,0.013443583622574806,0.00649084709584713,2.9082500986987725e-05,0.0009801534470170736,5.8939258717000484,6.940528608858585
400,0.01335618644952774,0.006551715545356274,2.8897515373197773e-05,0.0009746475261636078,6.044967606663704,7.120975010097027
410,0.013265684247016907,0.00661532673984766,2.870584557967959e-05,0.0009689104626886547,6.196401778608561,7.299119804054499
420,0.01317187026143074,0.006682044826447964,2.8507165552582592e-05,0.0009629254345782101,6.347289551049471,7.476392790675163
430,0.013074560090899467,0.006751944776624441,2.830103464172377e-05,0.0009566752705723047,6.4983896017074585,7.653908763080835
440,0.012973594479262829,0.0068259891122579575,2.8087024171933688e-05,0.0009501386666670442,6.649390704929829,7.831325717270374
450,0.012868696823716164,0.006904186215251684,2.7864664237616427e-05,0.0009432941442355514,6.800273884087801,8.008610103279352
460,0.012759607285261154,0.006987078581005335,2.7633395878486528e-05,0.0009361156262457371,6.95087880268693,8.185736704617739
470,0.012646053917706013,0.007075583562254906,2.7392578734482715e-05,0.0009285765700042248,7.101505745202303,8.362827558070421
480,0.012527691200375557,0.007170008961111307,2.714142010518117e-05,0.0009206452523358166,7.252187184989452,8.53994482755661
490,0.012404129840433598,0.00727101881057024,2.687919375906252e-05,0.0009122861083596945,7.403028801083565,8.717225048691034
500,0.012274970300495625,0.007379329763352871,2.6605041360501975e-05,0.0009034633985720575,7.553861625492573,8.894553951919079
510,0.012139830738306046,0.007495532743632793,2.6317932073046297e-05,0.0008941354462876916,7.706317365169525,9.073510475456715
520,0.011998034082353115,0.007620157673954964,2.601677245669028e-05,0.0008842574898153543,7.857082020491362,9.250822059810162
530,0.011849168688058853,0.007754037622362375,2.5700361372097785e-05,0.0008737799944356084,8.007830545306206,9.428144227713346
540,0.011692576110363007,0.007897700183093548,2.5367404305143282e-05,0.0008626518538221717,8.159001048654318,9.60578078404069
550,0.01152755320072174,0.00805159192532301,2.501641029084567e-05,0.0008508171886205673,8.310177940875292,9.783492971211672
560,0.011353423818945885,0.008216279558837414,2.464581575623015e-05,0.000838216976262629,8.461705848574638,9.961571209132671
570,0.011169442906975746,0.008392076939344406,2.425396238929049e-05,0.0008247907971963286,8.615239020437002,10.142755679786205
580,0.01097473967820406,0.008579155430197716,2.3838997549319174e-05,0.0008104725275188684,8.767111968249083,10.326023604720831
590,0.010768471285700798,0.008777505718171597,2.3399066094498266e-05,0.0007951977895572782,8.921480372548103,10.507590655237436
