epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,0.0043258825317025185,0.00613747164607048,0.003924607338073353,0.08701792359352112,0.005249854177236557,0.038734689354896545
10,0.002043339656665921,0.004798223730176687,0.0017916779955461,0.04317992925643921,0.046824753284454346,0.11389868333935738
20,0.00031781260622665286,0.0025307592004537582,0.00022797669225838035,0.0051798284985125065,0.09302444010972977,0.19368750602006912
30,0.00013095654139760882,0.0018937159329652786,0.0001408021040939881,0.006274966523051262,0.1392810046672821,0.27337249740958214
40,7.622381235705689e-05,0.0011386172845959663,5.446805698738899e-05,0.002634718082845211,0.1855565644800663,0.3532169349491596
50,4.789897138834931e-05,0.0006129223620519042,5.359327042242512e-05,0.001257885480299592,0.23173799365758896,0.4331486187875271
60,4.0864848415367305e-05,0.00042512285290285945,3.9865828815284963e-05,0.0011151345679536462,0.27784812450408936,0.512966226786375
70,3.6584253393812105e-05,0.00024117391149047762,3.4905950239287144e-05,0.0014779645716771483,0.32399623841047287,0.592681672424078
80,3.494530392345041e-05,0.00010801036842167377,3.367843858844329e-05,0.0012755857314914465,0.3700612895190716,0.6729515083134174
90,3.4937642340082675e-05,0.00011661803000606596,3.491822174813327e-05,0.0011559083359315991,0.41623588278889656,0.7524546347558498
100,3.445723632466979e-05,2.1853884391020983e-05,3.3791145597206196e-05,0.0012227436527609825,0.4624028764665127,0.8318389020860195
110,3.4469994716346264e-05,4.129183434997685e-05,3.361394298432666e-05,0.0012411556672304869,0.5084947906434536,0.9116858094930649
120,3.437349369050935e-05,2.1947869754512794e-05,3.38422675364806e-05,0.0012013970408588648,0.5547084212303162,0.9912538900971413
130,3.43187821272295e-05,1.6043255527620204e-05,3.3696835847270755e-05,0.0012084402842447162,0.6016804985702038,1.072602216154337
140,3.42692292178981e-05,1.4540823940478731e-05,3.357552274489232e-05,0.0012149482499808073,0.6478416658937931,1.1524566635489464
150,3.4213720937259495e-05,1.3923046935815364e-05,3.358010470340863e-05,0.001204649219289422,0.6938583441078663,1.231658399105072
160,3.415817627683282e-05,1.3621397556562442e-05,3.350676001900865e-05,0.001203926163725555,0.7400417849421501,1.3115558102726936
170,3.410039789741859e-05,1.312391941610258e-05,3.34290818197284e-05,0.001203298568725586,0.7862325869500637,1.3912844620645046
180,3.4040120226563886e-05,1.3523946108762175e-05,3.337777510144709e-05,0.001199004822410643,0.8324481695890427,1.4709999300539494
190,3.3977376006077975e-05,1.3480313100444619e-05,3.330526654584295e-05,0.0011969358893111348,0.8786348439753056,1.5508021265268326
200,3.3912154322024435e-05,1.347744637314463e-05,3.3232938524937104e-05,0.001194387092255056,0.9249106086790562,1.6307638175785542
210,3.384443334653042e-05,1.3652839697897434e-05,3.316252211031193e-05,0.0011911875335499644,0.9711164236068726,1.7105887793004513
220,3.377402754267678e-05,1.3686877537111286e-05,3.308495077665915e-05,0.0011884269770234823,1.0174402818083763,1.7904459536075592
230,3.3701126085361466e-05,1.3775302249996457e-05,3.300664032697872e-05,0.0011853196192532778,1.063764549791813,1.8703558258712292
240,3.362551433383487e-05,1.3877358469471801e-05,3.292553340846401e-05,0.0011821044608950615,1.1100248135626316,1.950313538312912
250,3.3547130442457274e-05,1.3955442227597814e-05,3.284091440036718e-05,0.0011788562405854464,1.1563167423009872,2.030253082513809
260,3.346607263665646e-05,1.4055600331630558e-05,3.2754115636635106e-05,0.0011754216393455863,1.2025593928992748,2.110064063221216
270,3.338218812132254e-05,1.4150977222016081e-05,3.266409870169203e-05,0.0011719039175659418,1.24884831905365,2.1900309547781944
280,3.329534956719726e-05,1.4249298146751244e-05,3.2571176537506595e-05,0.001168260583654046,1.295113880187273,2.2700587064027786
290,3.320545147289522e-05,1.4353266124089714e-05,3.2475267062181956e-05,0.0011644881451502442,1.3414579778909683,2.3501555621623993
300,3.3112628443632275e-05,1.445767793484265e-05,3.23762192238064e-05,0.00116059766151011,1.3878277391195297,2.4302759021520615
310,3.3016647648764774e-05,1.4565997844329104e-05,3.227406349045244e-05,0.0011565717868506908,1.4340973421931267,2.510312542319298
320,3.291747270850465e-05,1.4677725630463101e-05,3.216862864974246e-05,0.0011524169240146875,1.4806510023772717,2.5909384563565254
330,3.2814914447953925e-05,1.4791822650295217e-05,3.2059891054814216e-05,0.0011481246910989285,1.5272541791200638,2.671365339308977
340,3.270914749009535e-05,1.4909473065927159e-05,3.1947787192621036e-05,0.001143693458288908,1.5735645815730095,2.7514639385044575
350,3.2599647965980694e-05,1.5029946553113405e-05,3.1832130162001704e-05,0.0011391169391572475,1.620004940778017,2.831652704626322
360,3.2486714189872146e-05,1.5153893400565721e-05,3.171288305262957e-05,0.0011343939695507288,1.6661890894174576,2.9116284996271133
370,3.2369982363888994e-05,1.5280691513908096e-05,3.158997894085284e-05,0.001129519660025835,1.7123930417001247,2.9915739484131336
380,3.224940155632794e-05,1.5411560525535606e-05,3.146326935166144e-05,0.0011244866764172912,1.758710090070963,3.071687698364258
390,3.212489536963403e-05,1.5544841517112218e-05,3.133266015235373e-05,0.001119295135140419,1.8050769232213497,3.1517573222517967
400,3.199643469997682e-05,1.5682215234846808e-05,3.11980578165579e-05,0.0011139350244775414,1.8513940908014774,3.2319204472005367
