epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,0.0044224802404642105,0.007356930524110794,0.003918391730015476,0.08700141310691833,0.005264535546302795,0.03819731995463371
10,0.0021443860605359077,0.005040994379669428,0.0018772960756905377,0.045070525258779526,0.046371135860681534,0.11225338280200958
20,0.00039817116339690983,0.003034505294635892,0.000293857558669212,0.006703039165586233,0.09207181632518768,0.1911504827439785
30,0.0001071155711542815,0.0018472870578989387,0.00011642037679848727,0.005359343718737364,0.13772113248705864,0.269977156072855
40,9.414355736225843e-05,0.001551280147396028,6.74720504321158e-05,0.0032767648808658123,0.18339335545897484,0.3487485609948635
50,4.3324158468749374e-05,0.0004954477772116661,4.947029098426962e-05,0.0011883126571774483,0.22911520674824715,0.427620492875576
60,4.352958785602823e-05,0.0005564637831412256,4.334332000629123e-05,0.0011361311189830303,0.27477553859353065,0.5063956677913666
70,3.574887887225486e-05,0.0002095170202665031,3.468957152108487e-05,0.0014394278405234218,0.32044100761413574,0.5850378572940826
80,3.525115243974142e-05,0.00015179507317952812,3.403244083225824e-05,0.0013299320125952363,0.3660620041191578,0.6635046415030956
90,3.474789991742e-05,0.00010074065357912332,3.512128584285771e-05,0.0011617562267929316,0.4118207022547722,0.7418045625090599
100,3.437708073761314e-05,3.3112453820649534e-05,3.417611954622165e-05,0.0012143622152507305,0.45754919573664665,0.8201038986444473
110,3.436303086346015e-05,4.5570675865747035e-05,3.385132420892963e-05,0.0012524155899882317,0.5032429024577141,0.898863360285759
120,3.4242380934301764e-05,2.0903124095639214e-05,3.405260986255598e-05,0.0012114911805838346,0.5488290563225746,0.9769372157752514
130,3.418626874918118e-05,2.1077716155559756e-05,3.396143839988023e-05,0.0012100889580324292,0.5945562459528446,1.0555961541831493
140,3.4122116630896926e-05,1.5320023521780968e-05,3.377957098867531e-05,0.0012199061457067728,0.6403025053441525,1.1343101896345615
150,3.4055970900226384e-05,1.4396636288438458e-05,3.376257276007285e-05,0.0012102486798539758,0.6860037595033646,1.2129738479852676
160,3.398995249881409e-05,1.4958994142943993e-05,3.3693037570022476e-05,0.001206832006573677,0.7316905669867992,1.2916444763541222
170,3.392102735233493e-05,1.4223332982510328e-05,3.359016848965742e-05,0.0012067289790138602,0.7773452550172806,1.3702411241829395
180,3.384970113984309e-05,1.4396568076335825e-05,3.352043965302679e-05,0.001202128129079938,0.8230328373610973,1.4489124938845634
190,3.37760393449571e-05,1.4501468285743613e-05,3.3435249558048476e-05,0.0011990111088380218,0.8725365102291107,1.531459216028452
200,3.3699801861075684e-05,1.4425073459278792e-05,3.3343606901325984e-05,0.0011962965363636613,0.9181577004492283,1.613429743796587
210,3.3621206966927275e-05,1.4569228369509801e-05,3.3256932965741726e-05,0.0011925692670047283,0.9641132801771164,1.692499551922083
220,3.3540000003995374e-05,1.462486670789076e-05,3.316342122161586e-05,0.0011892201146110892,1.0128302052617073,1.7742402106523514
230,3.345627919770777e-05,1.4675617421744391e-05,3.306762058249054e-05,0.0011857086792588234,1.0585961006581783,1.8529519326984882
240,3.3369913580827415e-05,1.4765425476070959e-05,3.297029608499239e-05,0.0011819611536338925,1.10430096834898,1.9317385293543339
250,3.328091406729072e-05,1.4829937754257116e-05,3.286933050124693e-05,0.0011782306246459484,1.1500472985208035,2.0105686746537685
260,3.318940434837714e-05,1.4908654520695563e-05,3.2766208353981106e-05,0.0011743278009817004,1.1958309262990952,2.089370645582676
270,3.309509338578209e-05,1.4990670933912043e-05,3.266014952411448e-05,0.0011703181080520153,1.241687599569559,2.1682159788906574
280,3.2997897505993024e-05,1.5071369489305653e-05,3.255134341391871e-05,0.001166205620393157,1.2876097932457924,2.247426152229309
290,3.289800224592909e-05,1.5159162103373092e-05,3.243973803061332e-05,0.0011619587894529104,1.3334530144929886,2.3262728340923786
300,3.27951529470738e-05,1.5248157978930976e-05,3.232527372650414e-05,0.0011575992684811354,1.3792711086571217,2.405062571167946
310,3.2689324143575504e-05,1.534037073724903e-05,3.220787554406949e-05,0.0011531115742400289,1.4251698814332485,2.484102498739958
320,3.2580559491179883e-05,1.543626785860397e-05,3.208755970263155e-05,0.0011484953574836254,1.4710037633776665,2.5630555376410484
330,3.2468527933815494e-05,1.5534831618424505e-05,3.196414915388838e-05,0.001143750036135316,1.516778875142336,2.6419280022382736
340,3.2353193091694266e-05,1.5637244359822944e-05,3.1837674820659835e-05,0.0011388673447072506,1.5626329258084297,2.7209211625158787
350,3.223463136237115e-05,1.574272391735576e-05,3.170801551277691e-05,0.0011338475160300732,1.6085274033248425,2.8001978509128094
360,3.2112569897435606e-05,1.5851801435928792e-05,3.157507383851529e-05,0.0011286826338618994,1.6543011516332626,2.8793301470577717
370,3.1987041438696906e-05,1.5963556506903842e-05,3.143868192031126e-05,0.0011233729310333729,1.7000459618866444,2.958371926099062
380,3.18578677251935e-05,1.607934245839715e-05,3.129898997637307e-05,0.0011179106077179313,1.7458163723349571,3.037433233112097
390,3.172475771862082e-05,1.619814065634273e-05,3.115565580931919e-05,0.001112293335609138,1.7916066125035286,3.116484198719263
400,3.1587966077495366e-05,1.632067323953379e-05,3.10086365971074e-05,0.0011065138969570398,1.8374106250703335,3.195546679198742
