epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,0.006047009490430355,0.009537965059280396,0.0038996777147985995,0.086650051176548,0.00520416721701622,0.03781669959425926
10,0.002716237213462591,0.00673073623329401,0.0018489259236957878,0.044425539672374725,0.046468161046504974,0.11192907020449638
20,0.00038746249629184604,0.003145738271996379,0.0002914286742452532,0.006640642881393433,0.09212305024266243,0.19044005498290062
30,0.00022398930741474032,0.0028735364321619272,8.517973583366256e-05,0.0036434459034353495,0.13778457418084145,0.26901875436306
40,0.00011991481733275577,0.001546282903291285,3.623660419786271e-05,0.0012734078336507082,0.18338747322559357,0.3474907763302326
50,9.066231723409146e-05,0.0008546268800273538,0.00010653174831531942,0.002244918141514063,0.2290470078587532,0.42559777945280075
60,7.868939428590238e-05,0.0005863187252543867,7.559659752587322e-05,0.0016125452239066362,0.2750304900109768,0.5039824768900871
70,7.396233559120446e-05,0.0003445140609983355,4.5868755175130595e-05,0.0011787840630859137,0.32067224755883217,0.582387387752533
80,7.130995800253004e-05,0.00016201450489461422,5.3851359249771726e-05,0.0012517827562987804,0.3662401810288429,0.6603146679699421
90,7.126075070118532e-05,0.00016451570263598114,6.223453753288292e-05,0.0013698642142117023,0.4118693843483925,0.7384545281529427
100,7.048439147183672e-05,3.1737639801576734e-05,5.574721262746607e-05,0.0012712818570435047,0.4574640691280365,0.816479604691267
110,7.036492024781182e-05,5.834399053128436e-05,5.4387027375923935e-05,0.0012503236066550016,0.503074161708355,0.8945704475045204
120,7.010274566709995e-05,4.256096508470364e-05,5.686856411557528e-05,0.0012858286499977112,0.5486218072474003,0.9725894518196583
130,6.988270615693182e-05,3.407110125408508e-05,5.59021230704578e-05,0.0012701433151960373,0.594230692833662,1.0510799661278725
140,6.966532964725047e-05,3.2075142371468246e-05,5.5110296671045944e-05,0.0012569555547088385,0.6398616880178452,1.129191379994154
150,6.943405605852604e-05,3.2292686228174716e-05,5.546676826876743e-05,0.001260462449863553,0.6855537928640842,1.207401316612959
160,6.919671432115138e-05,3.213938543922268e-05,5.5123174812858146e-05,0.0012539976742118597,0.7315576784312725,1.2859777212142944
170,6.895083060953766e-05,3.157406536047347e-05,5.476537671711412e-05,0.0012471243971958756,0.7772358134388924,1.3641462922096252
180,6.869570643175393e-05,3.22262458212208e-05,5.4657553088569934e-05,0.0012439301935955882,0.8228848576545715,1.442370630800724
190,6.843169103376567e-05,3.231363007216714e-05,5.4370166859977566e-05,0.0012379419058561325,0.868555273860693,1.5205275006592274
200,6.815850792918354e-05,3.238306089770049e-05,5.410349422163563e-05,0.0012322069378569722,0.9142119400203228,1.5986836329102516
210,6.787601159885526e-05,3.271560126449913e-05,5.3869624935032334e-05,0.0012269001454114914,0.9598564207553864,1.676897443830967
220,6.758411473128945e-05,3.287692743469961e-05,5.358832913771039e-05,0.0012208230327814817,1.0054942220449448,1.7551484033465385
230,6.728239532094449e-05,3.3101783628808334e-05,5.331643478712067e-05,0.0012148082023486495,1.0511903315782547,1.8334421329200268
240,6.69706059852615e-05,3.3352975151501596e-05,5.3037078638832703e-05,0.0012086082715541124,1.0968955717980862,1.9117935188114643
250,6.664848478976637e-05,3.358222238603048e-05,5.274385572799171e-05,0.0012021248694509268,1.1425206772983074,1.9900350458920002
260,6.631564610870555e-05,3.384628507774323e-05,5.244760298713421e-05,0.001195515738800168,1.1881874240934849,2.068260855972767
270,6.59715078654699e-05,3.411397847230546e-05,5.214084558247123e-05,0.0011886684224009514,1.2338501252233982,2.1465266942977905
280,6.561567715834826e-05,3.4393662645015866e-05,5.182589560111713e-05,0.0011816085316240788,1.2803597785532475,2.2288267575204372
290,6.524749915115535e-05,3.469123475952074e-05,5.150262707805572e-05,0.0011743336217477918,1.3261666186153889,2.3076316080987453
300,6.486642814707011e-05,3.499914600979537e-05,5.1169522672959524e-05,0.0011668154038488865,1.3730092197656631,2.3873978033661842
310,6.447180203394964e-05,3.53247050952632e-05,5.082741214816148e-05,0.0011590620269998908,1.4188395589590073,2.466252088546753
320,6.406287138815969e-05,3.5663626476889476e-05,5.0475009478153275e-05,0.0011510475305840373,1.46889279037714,2.5491982735693455
330,6.36389886494726e-05,3.601881689974107e-05,5.011239530479846e-05,0.0011427680728957057,1.514745857566595,2.6281426921486855
340,6.319934618659317e-05,3.638941052486189e-05,4.973871061035121e-05,0.0011342045618221164,1.5606015473604202,2.7070168778300285
350,6.274328188737854e-05,3.677557469927706e-05,4.935358977794143e-05,0.0011253480333834887,1.60647888854146,2.78582701086998
360,6.226987898116931e-05,3.7177604099269956e-05,4.8956650365047004e-05,0.0011161824222654104,1.6523494645953178,2.8648201785981655
370,6.177824252517894e-05,3.759401442948729e-05,4.85466674338871e-05,0.0011066891020163894,1.698175359517336,2.9436155259609222
380,6.126758671598509e-05,3.8025889807613567e-05,4.81237578545309e-05,0.0010968598071485758,1.7439888045191765,3.0225895196199417
390,6.07372639933601e-05,3.847130210488103e-05,4.768679961368131e-05,0.001086674863472581,1.7898238375782967,3.1015162840485573
400,6.018614658387378e-05,3.8930593291297555e-05,4.723520244927689e-05,0.0010761178564280272,1.8357810825109482,3.1805868819355965
