epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,0.0028653573244810104,0.004359310958534479,0.002842686944253122,0.06624563038349152,0.004280563443899155,0.029545240104198456
10,0.0009525229688733816,0.003817460499703884,0.0008218314081508046,0.020148444920778275,0.03718622401356697,0.09099720418453217
20,5.1065268053207546e-05,0.0008940828847698867,8.462548551809353e-05,0.0038891967851668596,0.07357077300548553,0.15287679433822632
30,0.00011695756256813183,0.0017516622319817543,8.477465659476972e-05,0.0039186496287584305,0.10991808027029037,0.214242085814476
40,4.900424391962588e-05,0.0007712656515650451,5.9156848995674714e-05,0.0013408428058028221,0.1493813917040825,0.2793213240802288
50,3.5855351598002017e-05,0.00044698407873511314,3.459093977653538e-05,0.0010031808633357286,0.1857183650135994,0.3411686569452286
60,3.404255767236464e-05,0.0003966630029026419,3.2234741790186185e-05,0.0015126555226743221,0.22277764603495598,0.4056382477283478
70,2.8860853490186855e-05,1.6672187484800816e-05,2.9254007358758827e-05,0.001056934124790132,0.2593395933508873,0.4675915017724037
80,2.942460560007021e-05,0.00013190708705224097,2.9759066819678992e-05,0.0010329526849091053,0.2956969663500786,0.5331362150609493
90,2.9014974643359892e-05,8.083855937002227e-05,2.856841077421753e-05,0.0011487160809338093,0.3321242071688175,0.5950311087071896
100,2.877677616197616e-05,1.635163243918214e-05,2.8812148381499963e-05,0.0010771335801109672,0.3684997409582138,0.6564376801252365
110,2.876430153264664e-05,2.5068235117942095e-05,2.878768403509942e-05,0.0010754630202427506,0.4077225886285305,0.720833633095026
120,2.872746335924603e-05,2.1261786969262175e-05,2.857928105489312e-05,0.001096655149012804,0.444109532982111,0.7848755270242691
130,2.8683933123829775e-05,1.1469348464743234e-05,2.8678360725583236e-05,0.0010777225252240896,0.4810156896710396,0.8473250605165958
140,2.864768794097472e-05,8.697716111782938e-06,2.858888531894384e-05,0.0010826928773894906,0.5174209587275982,0.9088155925273895
150,2.8611848392756656e-05,8.961054845713079e-06,2.8551187218302705e-05,0.001081471680663526,0.5562872365117073,0.973753672093153
160,2.8573926101671532e-05,9.018703167384956e-06,2.8534485712346697e-05,0.001077401451766491,0.5927642658352852,1.0355593524873257
170,2.853415753634181e-05,8.725494808459189e-06,2.8478021325402853e-05,0.0010779345175251365,0.6293397471308708,1.1011972837150097
180,2.849266275006812e-05,8.746506864554249e-06,2.844789802717666e-05,0.0010749255307018757,0.6658216342329979,1.1630811914801598
190,2.844936170731671e-05,8.771290595177561e-06,2.8401620435640023e-05,0.0010736125987023115,0.702313244342804,1.2280773185193539
200,2.840424349415116e-05,8.827201781969052e-06,2.8358293244915938e-05,0.001071634003892541,0.7387965209782124,1.2900442890822887
210,2.8357188057270832e-05,8.894415259419475e-06,2.831305058255869e-05,0.0010695784585550427,0.7752574123442173,1.3537194803357124
220,2.830814992194064e-05,8.94905133463908e-06,2.8264379276758216e-05,0.001067632925696671,0.8117323406040668,1.4156000316143036
230,2.8257105441298336e-05,9.017291631607804e-06,2.8215302639485646e-05,0.0010654035722836852,0.8481750600039959,1.4806137681007385
240,2.8204027330502868e-05,9.080711606657133e-06,2.8162995931779733e-05,0.001063237781636417,0.8847664147615433,1.5426998510956764
250,2.8148817364126444e-05,9.150644473265857e-06,2.8109325209394836e-05,0.001060889451764524,0.921108778566122,1.606723714619875
260,2.8091399144614115e-05,9.221016625815537e-06,2.8053142007896287e-05,0.0010585039854049683,0.9578172862529755,1.6690901704132557
270,2.8031732654199004e-05,9.294962183048483e-06,2.799495109684358e-05,0.0010559976799413562,0.9944347813725471,1.7311550863087177
280,2.796971966745332e-05,9.371146006742492e-06,2.7934324558979522e-05,0.0010534082539379597,1.0315123833715916,1.7959978729486465
290,2.7905327442567796e-05,9.45011470321333e-06,2.7871321814624633e-05,0.0010507128899917006,1.0681422650814056,1.858183640986681
300,2.7838452297146432e-05,9.531800060358364e-06,2.7805881700260215e-05,0.0010479171760380268,1.112304124981165,1.92787392064929
310,2.7768957806983963e-05,9.616361239750404e-06,2.7737847100676543e-05,0.0010450142435729504,1.1490609534084797,1.9901556633412838
320,2.7696787583408877e-05,9.703910109237768e-06,2.7667172313764848e-05,0.001042000250890851,1.185750961303711,2.052655916661024
330,2.7621817935141735e-05,9.794437573873438e-06,2.7593671347858617e-05,0.0010388718219473958,1.2234743870794773,2.1158309020102024
340,2.754391789494548e-05,9.88822375802556e-06,2.7517291073309025e-05,0.0010356223210692406,1.2602173760533333,2.1815065406262875
350,2.7463000151328743e-05,9.985313226934522e-06,2.743792932354457e-05,0.0010322502348572016,1.2972412928938866,2.2442692667245865
360,2.7378970116842538e-05,1.0085864232678432e-05,2.735542041894708e-05,0.0010287477634847164,1.3341607004404068,2.3092495128512383
370,2.72916404355783e-05,1.0190043212787714e-05,2.7269568666573225e-05,0.0010251103667542338,1.370998129248619,2.3727325722575188
380,2.7200843760510907e-05,1.0297952030668966e-05,2.718032601478626e-05,0.0010213323403149843,1.407876841723919,2.439575929194689
390,2.710645458137151e-05,1.0409858987259213e-05,2.708747850495759e-05,0.0010174077469855547,1.444809939712286,2.5022676661610603
400,2.7008281904272735e-05,1.0525900506763719e-05,2.69908355979472e-05,0.001013328554108739,1.4817373789846897,2.5649396367371082
