epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,0.005946265533566475,0.009200355969369411,0.003879626630805433,0.08648623526096344,0.004350751638412476,0.029161598533391953
10,0.0027058683335781097,0.006648306269198656,0.001846148370532319,0.044364143162965775,0.041070885956287384,0.09098808467388153
20,0.00037435576086863875,0.0032081175595521927,0.0002721789278439246,0.006225546821951866,0.07764001563191414,0.15282678231596947
30,0.00022379160509444773,0.0030961132142692804,8.821668658735386e-05,0.003700460074469447,0.11414019763469696,0.21442138776183128
40,9.761852561496198e-05,0.001355315325781703,2.7432064825916314e-05,0.0010094866156578064,0.15056031197309494,0.2758455313742161
50,8.127385808620602e-05,0.00097797648049891,9.604918735324948e-05,0.0020504456479102373,0.18712954968214035,0.3369440995156765
60,6.351667980197817e-05,0.0005355716566555202,5.851387504662853e-05,0.0012867003679275513,0.22367724403738976,0.3982052877545357
70,6.132081034593284e-05,0.00039696291787549853,3.472755209562214e-05,0.0009696828783489764,0.2601112760603428,0.45951926335692406
80,5.759894702350721e-05,9.481640154263005e-05,4.3372610283161826e-05,0.0010319238062947989,0.2966737374663353,0.520579569041729
90,5.791775765828788e-05,0.0001781886094249785,4.967059642998114e-05,0.0011252961121499538,0.3331506624817848,0.5816163718700409
100,5.711813719244674e-05,4.6611974539700896e-05,4.2986213278103e-05,0.0010255094384774566,0.36967867612838745,0.64279605448246
110,5.6981982197612524e-05,5.479284664033912e-05,4.281508078444555e-05,0.0010208869352936745,0.4061138518154621,0.7038922943174839
120,5.6771103118080646e-05,4.5726661483058706e-05,4.495952953220694e-05,0.0010520662181079388,0.44267770275473595,0.7650446929037571
130,5.6563316320534796e-05,3.0358662115759216e-05,4.3624252005732465e-05,0.0010306299664080143,0.4791705645620823,0.8265138156712055
140,5.637264985125512e-05,2.9430268114083447e-05,4.324781063284414e-05,0.0010241850977763534,0.5156131871044636,0.8876134306192398
150,5.616963608190417e-05,3.126010051346384e-05,4.3561458975697555e-05,0.0010270082857459784,0.5522192567586899,0.948888324201107
160,5.596032860921696e-05,2.9420973078231327e-05,4.313102484350869e-05,0.0010195332579314709,0.5888667106628418,1.010146401822567
170,5.574485476245172e-05,2.9332291887840256e-05,4.291250691797662e-05,0.0010150406742468476,0.6253599263727665,1.0713044926524162
180,5.5521930335089564e-05,3.006094448210206e-05,4.280573193682358e-05,0.0010119492653757334,0.6618054807186127,1.1323772333562374
190,5.529172995011322e-05,2.9822258511558175e-05,4.253209438805546e-05,0.0010064728558063507,0.6982023492455482,1.1933983154594898
200,5.505417357198894e-05,3.0011216949787922e-05,4.232899967367606e-05,0.0010019275359809399,0.7347201406955719,1.254502810537815
210,5.4809264838695526e-05,3.0265755412983708e-05,4.211857291617586e-05,0.0009972148109227419,0.7711207680404186,1.3157172501087189
220,5.455676728161052e-05,3.0344968763529323e-05,4.187695109673465e-05,0.000992010347545147,0.8076321966946125,1.3768812604248524
230,5.429651355370879e-05,3.0552051612176e-05,4.1651286058671154e-05,0.0009869660716503859,0.8441746607422829,1.4380611702799797
240,5.402829992817715e-05,3.0734114261576906e-05,4.141047687274598e-05,0.0009816354140639305,0.8806297890841961,1.4992649890482426
250,5.3751806262880564e-05,3.091568942181766e-05,4.1164022150042e-05,0.0009761566179804504,0.9171623736619949,1.5605639927089214
260,5.346673424355686e-05,3.112595004495233e-05,4.0914469536801334e-05,0.0009705654811114073,0.9536722153425217,1.621796179562807
270,5.317278191796504e-05,3.133263089694083e-05,4.065610088825148e-05,0.0009647739352658391,0.9902035817503929,1.6833601333200932
280,5.286952364258468e-05,3.155656668241136e-05,4.039280217208822e-05,0.0009588342509232461,1.0267069153487682,1.744691163301468
290,5.255653377389535e-05,3.179117265972309e-05,4.01224207659349e-05,0.0009527129586786032,1.0630506798624992,1.806542955338955
300,5.2233386668376625e-05,3.2036401535151526e-05,3.984518389188452e-05,0.000946408836171031,1.099434483796358,1.8678600043058395
310,5.1899522077292204e-05,3.229535650461912e-05,3.9561013788140066e-05,0.0009399161208420992,1.135904859751463,1.9307506568729877
320,5.155450708116405e-05,3.256565469200723e-05,3.926909190946996e-05,0.0009332217159681022,1.1734718419611454,1.993392150849104
330,5.1197715947637334e-05,3.284878039266914e-05,3.8969656391903605e-05,0.0009263213723897934,1.2099046446383,2.054789561778307
340,5.082861753180623e-05,3.3144526241812855e-05,3.866202299226037e-05,0.0009192008292302489,1.2463547810912132,2.1161892786622047
350,5.044665886089206e-05,3.345219374750741e-05,3.834589460893767e-05,0.0009118528105318546,1.2828709967434406,2.177718572318554
360,5.0051276048179716e-05,3.37723467964679e-05,3.802075298153795e-05,0.0009042641613632441,1.3193304911255836,2.239215958863497
370,4.964181061950512e-05,3.410377394175157e-05,3.7686308890746055e-05,0.0008964281296357512,1.3557493276894093,2.3005739487707615
380,4.9217815103475004e-05,3.4446551580913365e-05,3.7342066510367054e-05,0.0008883301634341478,1.392289586365223,2.3620894514024258
390,4.877849278273061e-05,3.480007580947131e-05,3.698755093258418e-05,0.0008799629285931587,1.4287675879895687,2.423562712967396
400,4.8323447117581964e-05,3.516352080623619e-05,3.662228300527204e-05,0.0008713128045201302,1.4652208536863327,2.48512165248394
