epoch,train_mse,gradient_norm,validation_one_step,validation_rollout,train_seconds,elapsed_seconds
1,0.007611611392349005,0.008538457565009594,0.0040270132788767414,0.08913274854421616,0.004333090037107468,0.029810994863510132
10,0.004083143547177315,0.007792892400175333,0.0022164814678641656,0.05266507714986801,0.037875257432460785,0.08892570063471794
20,0.0009926289785653353,0.005532418377697468,0.0005625559327503046,0.013631305657327175,0.0750093162059784,0.15181492269039154
30,0.00014007599384058267,0.0019467559177428484,3.2163433388632257e-05,0.0015199364861473441,0.11210721358656883,0.2145625427365303
40,0.00022534563322551548,0.003024477744475007,3.360945121736828e-05,0.0015844082226976752,0.14917143061757088,0.27685244008898735
50,9.016043622978032e-05,0.0007563073304481804,8.343280933331698e-05,0.0018106787465512753,0.18629439547657967,0.33922936022281647
60,9.869086352409795e-05,0.0010060615604743361,8.050000906223431e-05,0.001748737646266818,0.22439847886562347,0.4046633765101433
70,8.114322554320097e-05,0.0003410440403968096,3.7830106975889066e-05,0.0009523241897113621,0.2615279369056225,0.46743153408169746
80,8.06381503934972e-05,0.0003073587140534073,4.1389592903821416e-05,0.0010001552291214466,0.29862018674612045,0.5297926813364029
90,7.942893716972321e-05,0.00020141073036938906,5.380175874355094e-05,0.0012085416819900274,0.3357844054698944,0.5921655036509037
100,7.85345328040421e-05,6.179049523780122e-05,4.7930343498592265e-05,0.001103564747609198,0.3728927932679653,0.6546087935566902
110,7.839666795916855e-05,9.26718203118071e-05,4.505842146803237e-05,0.0010551362065598369,0.4100398160517216,0.7170863747596741
120,7.80256959842518e-05,4.281567089492455e-05,4.7925233351027906e-05,0.0011025475105270743,0.4471563510596752,0.7794901616871357
130,7.777240534778684e-05,4.199620889266953e-05,4.734124983466851e-05,0.0010921055218204856,0.48418182507157326,0.8420462347567081
140,7.750969234621152e-05,3.950643076677807e-05,4.630928712382835e-05,0.0010741373989731073,0.5212364047765732,0.9044214934110641
150,7.723320595687255e-05,3.679318251670338e-05,4.678277127823094e-05,0.0010815418791025877,0.5582304671406746,0.9668655768036842
160,7.695304520893842e-05,3.706734423758462e-05,4.6532307654464e-05,0.0010767001658678055,0.5952808447182178,1.0293006636202335
170,7.666302553843707e-05,3.6839410313405097e-05,4.6181628173750745e-05,0.0010701275896281004,0.6323712207376957,1.0917392894625664
180,7.636276131961495e-05,3.718820880749263e-05,4.6145194573909976e-05,0.0010688184993341565,0.6694113947451115,1.1541482657194138
190,7.605216524098068e-05,3.7350542697822675e-05,4.591062164157241e-05,0.0010641126427799463,0.7064138241112232,1.2164381258189678
200,7.573049515485764e-05,3.754940189537592e-05,4.5697128825850086e-05,0.0010597066720947623,0.7434247136116028,1.278751865029335
210,7.539709622506052e-05,3.787983223446645e-05,4.5522676979696065e-05,0.0010558965150266886,0.7804346680641174,1.3412124700844288
220,7.5051277235616e-05,3.8122387195471674e-05,4.5294122476965036e-05,0.0010511031141504645,0.817520759999752,1.4037619717419147
230,7.46922378311865e-05,3.842483783955686e-05,4.508026177063584e-05,0.0010464831721037626,0.8545721285045147,1.4662079885601997
240,7.431932317558676e-05,3.87505569960922e-05,4.485502525615933e-05,0.0010415891883894801,0.8916584439575672,1.5286136455833912
250,7.393147825496271e-05,3.907903010258451e-05,4.46160609802367e-05,0.0010363742476329207,0.9289033338427544,1.5912589244544506
260,7.352778629865497e-05,3.944091440644115e-05,4.437334382600966e-05,0.0010310036595910788,0.9660293683409691,1.6538518257439137
270,7.310743239941075e-05,3.981570989708416e-05,4.4117240880344376e-05,0.001025308039970696,1.0031415298581123,1.7163299806416035
280,7.266926695592701e-05,4.021363565698266e-05,4.385226899709475e-05,0.001019356306642294,1.040241576731205,1.7788616456091404
290,7.221224950626493e-05,4.063366213813424e-05,4.357609107804213e-05,0.0010131068993359804,1.077287420630455,1.8413060680031776
300,7.17353104846552e-05,4.107392669538967e-05,4.328793465901981e-05,0.0010065407259389758,1.114347368478775,1.9037874452769756
310,7.123735849745572e-05,4.1537572542438284e-05,4.298796041742511e-05,0.0009996546432375908,1.1513841897249222,1.9663522653281689
320,7.071720756357536e-05,4.2022744310088456e-05,4.267472165035239e-05,0.000992422690615058,1.1884931959211826,2.0288315527141094
330,7.017355528660119e-05,4.253084262018092e-05,4.234787972260771e-05,0.00098483357578516,1.22569390386343,2.0943344831466675
340,6.960516475373879e-05,4.306144546717405e-05,4.200653377968896e-05,0.000976869952864945,1.2628375552594662,2.156928937882185
350,6.901059532538056e-05,4.361474930192344e-05,4.1649829502906265e-05,0.000968512671533972,1.2999035194516182,2.2194494009017944
360,6.838868284830824e-05,4.419106335262768e-05,4.127702838256179e-05,0.0009597463649697602,1.3369926922023296,2.2819340005517006
370,6.773780478397384e-05,4.479061681195162e-05,4.088726185121535e-05,0.0009505519992671907,1.37404390797019,2.3447405882179737
380,6.705649138893932e-05,4.54129149147775e-05,4.047960192110622e-05,0.0009409112972207367,1.4112100526690483,2.4076408185064793
390,6.634302553720772e-05,4.605844151228666e-05,4.005281486267146e-05,0.0009307990549132228,1.4483114592731,2.470418408513069
400,6.559575558640063e-05,4.672748764278367e-05,3.960624871979235e-05,0.0009202004875987768,1.485476367175579,2.533289458602667
