update,loss,validation_mse,training_seconds
1,0.005104588810354471,0.1522218888701545,1.5159732140600681
100,0.0001996604260057211,0.0018598132812601377,3.2783129401504993
200,0.00019932100258301944,0.0019046833781378035,5.181447125971317
300,0.00019916752353310585,0.0018991819592839186,6.84754928573966
400,0.00019899156177416444,0.0018936011635474087,8.314611911773682
500,0.0001987982977880165,0.0018874378759468702,9.779917802661657
600,0.00019858885207213461,0.0018803303560621524,11.244887877255678
700,0.0001983613910852,0.0018717318344638205,12.968423619866371
800,0.00019811102538369596,0.0018610359005488788,14.7425646930933
900,0.00019783047901000828,0.0018477328042803489,16.518578849732876
1000,0.0001975164341274649,0.001837424087154399,18.289732046425343
1100,0.00019714444351848215,0.0018116886357409116,20.062435779720545
1200,0.0001967201242223382,0.0017832114241551173,21.833785012364388
1300,0.0001962148235179484,0.0017603571754888786,23.606128305196762
1400,0.00019561599765438586,0.0017274526607021297,25.37774409353733
1500,0.00019488907128106803,0.001688837809607016,27.149601463228464
1600,0.00019398456788621843,0.001638626922591641,29.070919383317232
1700,0.0001928201236296445,0.0015765504711845138,30.547434575855732
1800,0.00019124167738482356,0.0014938971383179089,32.02678543329239
1900,0.00018894784443546087,0.001376526102073051,33.504223722964525
2000,0.00018533988622948527,0.0011971942273174797,34.98534667119384
2100,0.0001794576528482139,0.0009146025445257367,36.46471055597067
2200,0.000171169318491593,0.0005293312324465215,37.942946203053
2300,0.00016412249533459544,0.00020654065615739836,39.41928320005536
2400,0.00016154641343746334,6.304317133975534e-05,40.89667645469308
2500,0.00016115802282001823,3.3451774704260366e-05,42.374066188931465
2600,0.00016111574950627983,2.8520794412689343e-05,43.853937070816755
2700,0.0001611043408047408,2.6573055290663284e-05,45.33014776557684
2800,0.00016109528951346874,2.6254738329557828e-05,46.80908363312483
2900,0.0001610866020200774,2.56650750557511e-05,48.28744797036052
3000,0.00016107773990370333,2.5176616845194516e-05,50.11104395985603
3100,0.00016106985276564956,2.629667917971838e-05,51.582582607865334
3200,0.00016106000111903995,2.431964029050928e-05,53.05418633297086
3300,0.00016123484238050878,1.4601077722396278e-05,54.52336550503969
3400,0.00016104179667308927,2.3629641298527937e-05,55.99358603730798
3500,0.00016103259986266494,2.3025457788097768e-05,57.46426299586892
3600,0.00016102343215607107,2.273887474778313e-05,58.932502552866936
3700,0.0001610140170669183,2.2373805053975934e-05,60.401227716356516
3800,0.00016101007349789143,2.3285664413461408e-05,62.136737041175365
3900,0.0001609954342711717,2.16712318236909e-05,63.9055225327611
4000,0.00016100541688501835,1.4386539674204984e-05,65.67524369806051
4100,0.00016097689513117075,2.114967766590665e-05,67.37711153179407
4200,0.00016096746549010277,2.0597071605772523e-05,69.11172218993306
4300,0.00016095837054308504,1.8463150258487828e-05,70.57967780902982
4400,0.00016094913007691503,1.9934123549725446e-05,72.15629990026355
4500,0.0001609467581147328,2.4897457642674745e-05,73.93110706284642
4600,0.00016093114390969276,1.949415167155882e-05,75.10664138942957
4700,0.00016092212172225118,1.904223044438736e-05,77.0172042325139
4800,0.00016091496217995882,1.9742084826420612e-05,78.48679015412927
4900,0.0001609048485988751,1.8524784840000953e-05,80.26082890108228
5000,0.00016096176113933325,2.5564330005841767e-05,82.11817428842187
5100,0.00016088824486359954,1.7964774499381166e-05,83.583531152457
5200,0.00016088000847958028,1.7802145765927696e-05,85.0496282465756
5300,0.00016087347466964275,1.5819812135077777e-05,86.51513028889894
5400,0.0001608645252417773,1.7436586421295896e-05,88.2017742805183
5500,0.00016092282021418214,4.2662480160399416e-05,89.67263890057802
5600,0.00016084982780739665,1.714809393595641e-05,91.14133988320827
5700,0.0001608426246093586,1.695026389341383e-05,92.61182169616222
5800,0.00016083664377219975,1.6476682228107316e-05,94.08121770992875
5900,0.00016082936781458557,1.671902747586294e-05,95.55228328704834
6000,0.00016109045827761292,6.074172804231465e-05,97.02118222042918
6100,0.00016081708599813282,1.6533926104468292e-05,98.49055607616901
6200,0.00016081098874565214,1.646776377225902e-05,100.26726177707314
6300,0.00016080745263025165,2.083439473086647e-05,101.7305734269321
6400,0.00016080020577646792,1.6341154589838606e-05,103.1963479295373
6500,0.00016079473425634205,1.6288166971068577e-05,104.66230558976531
6600,0.00016079020861070603,1.59544712157986e-05,106.50911149010062
6700,0.0001607850572327152,1.622808130976606e-05,107.97892009466887
6800,0.00016083006630651653,3.8711718384152955e-05,109.56594517081976
6900,0.0001607760787010193,1.6095693361411435e-05,111.33997235819697
7000,0.00016077148029580712,1.61509630071285e-05,113.11269595101476
7100,0.0001607697777217254,1.3934610935454608e-05,114.88748571649194
7200,0.0001607635640539229,1.6097921059423655e-05,116.66151097789407
7300,0.00016075930034276098,1.588037839671567e-05,118.54456041008234
7400,0.00016075593885034323,1.6655941980594695e-05,120.01537650823593
7500,0.00016075180610641837,1.607911681834301e-05,121.62042123824358
7600,0.00016075564781203866,1.5352111450833617e-05,123.38996727764606
7700,0.0001607447920832783,1.6103315384141127e-05,125.15928373113275
7800,0.00016074106679297984,1.688138616370032e-05,126.90218699723482
7900,0.00016073811275418848,1.6514512821508438e-05,128.3722493685782
8000,0.0001607343729119748,1.6073967525007926e-05,129.84325278922915
8100,0.00016077604959718883,2.7312376625943515e-05,131.3117180839181
8200,0.0001607281737960875,1.6151171955652644e-05,132.78066719323397
8300,0.00016072469588834792,1.6114694089634067e-05,134.24863997846842
8400,0.00016073041479103267,1.8820334168907673e-05,135.71777683123946
8500,0.0001607188896741718,1.6201259297646793e-05,137.23870289698243
8600,0.0001607156009413302,1.61743476921766e-05,139.2756065018475
8700,0.00016071378195192665,1.65569757114333e-05,140.7563832886517
8800,0.0001607104204595089,1.6321626966020152e-05,142.23830174654722
8900,0.00016070742276497185,1.631371751927371e-05,143.71834072843194
9000,0.00016070605488494039,1.7120288882025962e-05,145.70366441830993
9100,0.00016070310084614903,1.6499792208398805e-05,147.47276601940393
9200,0.00016070040874183178,1.658768271974383e-05,149.24231387674809
9300,0.00016071110439952463,1.1311318588509788e-05,151.0120770931244
