track,seed,n,noise,model,primary_mse,reaction_grid_mse,best_update,training_seconds,elapsed_seconds,parameters,effective_parameters
irregular,42,16,0.0,autonomous,0.008053688175166046,0.05388288199901581,2000,35.42050363123417,42.1009905487299,193,97
irregular,42,16,0.0,query,0.007799507164210437,0.05214165026942889,2000,37.8635571077466,45.30397620797157,193,129
irregular,42,16,0.01,autonomous,0.007987684281070198,0.052764713764190674,2000,37.40954118221998,44.056626323610544,193,97
irregular,42,16,0.01,query,0.00812154423487399,0.05136818687121073,2000,35.846068136394024,43.08349884301424,193,129
irregular,42,128,0.0,autonomous,0.005004688836646904,0.034004051238298416,2000,34.39662363752723,40.90106530301273,193,97
irregular,42,128,0.0,query,0.005141492098286815,0.034499374528725944,2000,34.68833040073514,42.00232858210802,193,129
irregular,42,128,0.01,autonomous,0.004300354364677625,0.029489608481526375,2000,34.834462597966194,41.47182122245431,193,97
irregular,42,128,0.01,query,0.004513362527107003,0.030728081241250038,2000,36.8058603098616,44.32087021879852,193,129
forced,42,128,0.0,autonomous,0.031013332950509658,0.08514857416351636,2000,35.48656062223017,39.207931123673916,193,97
forced,42,128,0.0,query,0.028631913636291036,0.08376842240492503,2000,35.471767362207174,39.3969341814518,193,129
forced,42,128,0.0,clock,0.00405439333515271,0.027530997681121033,2000,37.949016973376274,41.744855508208275,193,161
irregular,123,16,0.0,autonomous,0.00352681964886029,0.025272587314248085,2000,35.404568689875305,42.11983209475875,193,97
irregular,123,16,0.0,query,0.0029564844951232272,0.018721128503481548,2000,36.44102996215224,43.84343145787716,193,129
irregular,123,16,0.01,autonomous,0.003001903258661861,0.02179209142923355,2000,36.79309054464102,43.361575812101364,193,97
irregular,123,16,0.01,query,0.0026877099034267765,0.013967169138292471,2000,36.22698450088501,43.39753706753254,193,129
irregular,123,128,0.0,autonomous,0.0007908881771999343,0.006630911026149988,2000,37.86838765349239,44.81214420963079,193,97
irregular,123,128,0.0,query,0.0009019450132407614,0.006742334303756555,2000,37.73420977033675,45.181472731754184,193,129
irregular,123,128,0.01,autonomous,0.00044037699460122194,0.003937533590942621,2000,32.76850938796997,39.363720297813416,193,97
irregular,123,128,0.01,query,0.000504882274811998,0.003968860488384962,2000,36.50408001150936,43.98661457747221,193,129
forced,123,128,0.0,autonomous,0.0263407559465535,0.04602023490588181,1800,36.03361089900136,39.67216812632978,193,97
forced,123,128,0.0,query,0.03893665358809065,0.046574917486092694,1800,36.21677399799228,40.18962795287371,193,129
forced,123,128,0.0,clock,0.004333115698767623,0.03128082863986492,2000,38.80858211405575,42.89204963296652,193,161
irregular,2026,16,0.0,autonomous,0.006716145812122569,0.04525170475244522,2000,34.306079441681504,41.003372533246875,193,97
irregular,2026,16,0.0,query,0.006117939442387282,0.039137316246827446,2000,35.16112798079848,42.489195827394724,193,129
irregular,2026,16,0.01,autonomous,0.007343345005561272,0.04793013259768486,2000,35.01799802482128,41.43952298164368,193,97
irregular,2026,16,0.01,query,0.009660908070813616,0.04477412129441897,2000,37.48218288645148,44.895755680277944,193,129
irregular,2026,128,0.0,autonomous,0.0010652488982270825,0.007684315089136362,2000,35.32883426453918,42.1787675563246,193,97
irregular,2026,128,0.0,query,0.0014901899850145908,0.010015709015230337,2000,34.1626296043396,41.30308918654919,193,129
irregular,2026,128,0.01,autonomous,0.0009258189746153053,0.006678290199488401,2000,37.57169719040394,44.2081571854651,193,97
irregular,2026,128,0.01,query,0.0012671569621464053,0.008453584897021452,2000,38.46190156135708,45.93230715673417,193,129
forced,2026,128,0.0,autonomous,0.03675229258318956,0.05344010330736637,2000,34.96481824852526,38.5609585698694,193,97
forced,2026,128,0.0,query,0.02520464060651215,0.05325875824524297,2000,35.6493354588747,39.557758033275604,193,129
forced,2026,128,0.0,clock,0.0014275616398812005,0.01086121735473474,2000,37.05766762048006,41.125496339052916,193,161
forced,42,128,0.0,clock_query,0.004467346686586912,0.02924600388440821,2000,39.60988983511925,44.287324922159314,193,193
forced,123,128,0.0,clock_query,0.004713617321668827,0.03145372971064515,2000,37.01248908787966,41.65432930737734,193,193
forced,2026,128,0.0,clock_query,0.0018439043379296271,0.012492773381786214,2000,37.67960812803358,42.273214370943606,193,193
