update,loss,validation_mse,training_seconds
1,0.004835059866309166,0.1488868184037828,1.5320510063320398
100,3.995740189566277e-05,0.0024887768872625137,3.383873911574483
200,3.941472095903009e-05,0.0026587970484847094,5.257562870159745
300,3.922926771338098e-05,0.002644803318281866,7.215672340244055
400,3.9031303458614275e-05,0.0026306775236339427,9.087411809712648
500,3.882367309415713e-05,0.002615729547379018,10.958406295627356
600,3.860311699099839e-05,0.002599741461439604,12.85982932522893
700,3.8363657949957997e-05,0.0025823129296944367,14.885673273354769
800,3.809724876191467e-05,0.002562958538133128,16.747341511771083
900,3.779468534048647e-05,0.0025411320109719575,18.81578945927322
1000,3.744530113181099e-05,0.0025161772026328815,20.37253288552165
1100,3.703639595187269e-05,0.002487270849361019,22.494273686781526
1200,3.655145701486617e-05,0.0024533123622128275,24.64993216097355
1300,3.596793976612389e-05,0.0024127147204696543,26.21233392506838
1400,3.525280044414103e-05,0.0023631628389980046,28.091023951768875
1500,3.4354910894762725e-05,0.002301013375859227,30.219444673508406
1600,3.318991730338894e-05,0.002220254984440922,32.19258779473603
1700,3.160866253892891e-05,0.0021102402393331616,33.92735732905567
1800,2.9330409233807586e-05,0.0019511119736270292,35.94398098625243
1900,2.581948137958534e-05,0.0017063874983082742,37.64049686677754
2000,2.022122498601675e-05,0.0013236028757123795,39.60988983511925
