cell,track,seed,n,noise,model,split,nu,horizon,lag,mse,relative_l2,max_state,fraction_abs_gt_1_5,energy_monotone_fraction,energy_max_increase,energy_mean_positive_increase,energy_is_lyapunov_candidate
0,irregular,42,16,0.0,autonomous,test,0.005,0.6,0.06,0.0011727673700079322,0.05783946067094803,1.0922778844833374,0.0,1.0,-0.014969557523727417,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.005,0.6,0.12,0.0011734410654753447,0.05785606801509857,1.0922424793243408,0.0,1.0,-0.0318831205368042,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.005,0.6,0.24,0.0011762111680582166,0.05792432278394699,1.0921437740325928,0.0,1.0,-0.06908916682004929,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.005,1.2,0.06,0.0052832686342298985,0.09200496226549149,1.145822525024414,0.0,1.0,-0.011437535285949707,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.005,1.2,0.12,0.00528350193053484,0.09200699627399445,1.145798921585083,0.0,1.0,-0.0244753360748291,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.005,1.2,0.24,0.005283081438392401,0.09200333803892136,1.1456916332244873,0.0,1.0,-0.05669403076171875,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.005,2.4,0.06,0.013970853760838509,0.12371320277452469,1.1587040424346924,0.0,0.8960937261581421,0.004467010498046875,0.00020215306722093374,True
0,irregular,42,16,0.0,autonomous,test,0.005,2.4,0.12,0.013967378064990044,0.12369780987501144,1.1587035655975342,0.0,0.8968750238418579,0.008877277374267578,0.00040026084752753377,True
0,irregular,42,16,0.0,autonomous,test,0.005,2.4,0.24,0.013950083404779434,0.12362120300531387,1.1586940288543701,0.0,0.8999999761581421,0.017212986946105957,0.0007719136774539948,True
0,irregular,42,16,0.0,autonomous,test,0.02,0.6,0.06,0.0011147530749440193,0.056902799755334854,1.0884675979614258,0.0,1.0,-0.012618958950042725,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.02,0.6,0.12,0.001115365419536829,0.0569184273481369,1.088433027267456,0.0,1.0,-0.0267123281955719,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.02,0.6,0.24,0.001117936335504055,0.05698398873209953,1.0883369445800781,0.0,1.0,-0.05364854633808136,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.02,1.2,0.06,0.004921600688248873,0.09020550549030304,1.144214391708374,0.0,1.0,-0.0026477575302124023,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.02,1.2,0.12,0.004921336658298969,0.09020308405160904,1.1441887617111206,0.0,1.0,-0.006623983383178711,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.02,1.2,0.24,0.0049195121973752975,0.09018637239933014,1.1440750360488892,0.0,1.0,-0.02004539966583252,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.02,2.4,0.06,0.013181697577238083,0.1234239712357521,1.1586031913757324,0.0,0.824999988079071,0.006760954856872559,0.00051499082474038,True
0,irregular,42,16,0.0,autonomous,test,0.02,2.4,0.12,0.013177057728171349,0.12340224534273148,1.1586012840270996,0.0,0.832812488079071,0.013295650482177734,0.0010210551554337144,True
0,irregular,42,16,0.0,autonomous,test,0.02,2.4,0.24,0.013156900182366371,0.12330782413482666,1.1585885286331177,0.0,0.831250011920929,0.026524662971496582,0.0019882849883288145,True
0,irregular,42,16,0.0,autonomous,test,0.08,0.6,0.06,0.0009482727036811411,0.05419345572590828,1.0748059749603271,0.0,1.0,-0.006184011697769165,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.08,0.6,0.12,0.000948806235101074,0.05420869588851929,1.0747737884521484,0.0,1.0,-0.012954682111740112,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.08,0.6,0.24,0.0009509219089522958,0.05426910147070885,1.074690341949463,0.0,1.0,-0.02463430166244507,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.08,1.2,0.06,0.0041165342554450035,0.08646436035633087,1.139461874961853,0.0,1.0,-0.0028505325317382812,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.08,1.2,0.12,0.00411594333127141,0.08645815402269363,1.139432668685913,0.0,1.0,-0.007954955101013184,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.08,1.2,0.24,0.004112909082323313,0.08642628788948059,1.1393057107925415,0.0,1.0,-0.026666879653930664,0.0,True
0,irregular,42,16,0.0,autonomous,test,0.08,2.4,0.06,0.011892017908394337,0.12415342777967453,1.1578837633132935,0.0,0.772656261920929,0.007468581199645996,0.0007568998262286186,True
0,irregular,42,16,0.0,autonomous,test,0.08,2.4,0.12,0.01188723836094141,0.12412847578525543,1.1578803062438965,0.0,0.7718750238418579,0.014721870422363281,0.0015039365971460938,True
0,irregular,42,16,0.0,autonomous,test,0.08,2.4,0.24,0.01186632364988327,0.12401924282312393,1.1578600406646729,0.0,0.784375011920929,0.028038382530212402,0.0029303289484232664,True
