track,seed,n,noise,model,control,nu,primary_mse,control_mse,ratio
irregular,42,16,0.0,autonomous,query,0.005,0.008590938297593817,0.008321749849005756,1.0323475775494768
irregular,42,16,0.0,autonomous,query,0.02,0.008053688175166046,0.00779950716421043,1.0325893682259792
irregular,42,16,0.0,autonomous,query,0.08,0.006995752100514659,0.006774083919749947,1.0327229752968419
irregular,42,16,0.01,autonomous,query,0.005,0.008520464764486006,0.008662025363494336,0.9836573326597576
irregular,42,16,0.01,autonomous,query,0.02,0.007987684281070198,0.00812154423487399,0.9835179185223181
irregular,42,16,0.01,autonomous,query,0.08,0.006954629835423348,0.007106125566227804,0.978680966246298
irregular,42,128,0.0,autonomous,query,0.005,0.005392551918673322,0.005540052288830993,0.97337563573993
irregular,42,128,0.0,autonomous,query,0.02,0.005004688836646904,0.005141492098286811,0.9733923034355161
irregular,42,128,0.0,autonomous,query,0.08,0.004288256365743878,0.00443012581887037,0.9679762022734905
irregular,42,128,0.01,autonomous,query,0.005,0.004671147643330362,0.0048942994068742396,0.9544057800733539
irregular,42,128,0.01,autonomous,query,0.02,0.004300354364677625,0.004513362527107003,0.9528049960201374
irregular,42,128,0.01,autonomous,query,0.08,0.0036621162795663796,0.003846017805055464,0.9521839120850268
forced,42,128,0.0,clock,autonomous,0.02,0.0040543933351527145,0.031013332950509658,0.13073065515475615
forced,42,128,0.0,clock,query,0.02,0.0040543933351527145,0.028631913636291036,0.141603994293059
irregular,123,16,0.0,autonomous,query,0.005,0.003790831928273585,0.0031405757333161193,1.2070499966166595
irregular,123,16,0.0,autonomous,query,0.02,0.00352681964886029,0.0029564844951232272,1.1929099086018684
irregular,123,16,0.0,autonomous,query,0.08,0.0030239565815683217,0.0026141067459003004,1.1567838942731732
irregular,123,16,0.01,autonomous,query,0.005,0.003270265924649756,0.0031132497725060277,1.050434807232745
irregular,123,16,0.01,autonomous,query,0.02,0.003001903258661861,0.002687709903426779,1.1169000251234298
irregular,123,16,0.01,autonomous,query,0.08,0.0025321289203611825,0.0021043562332400865,1.2032795970397334
irregular,123,128,0.0,autonomous,query,0.005,0.000846867551536055,0.0009731027102166901,0.8702756067213859
irregular,123,128,0.0,autonomous,query,0.02,0.0007908881771999336,0.0009019450132407605,0.8768696157631707
irregular,123,128,0.0,autonomous,query,0.08,0.0006611377814972753,0.0007553453502122861,0.8752788129449209
irregular,123,128,0.01,autonomous,query,0.005,0.0004784511625230272,0.0005574359800650579,0.8583069260566704
irregular,123,128,0.01,autonomous,query,0.02,0.00044037699460122194,0.000504882274811998,0.8722369878506909
irregular,123,128,0.01,autonomous,query,0.08,0.0003614699809995435,0.00040919531902871734,0.8833678299584251
forced,123,128,0.0,clock,autonomous,0.02,0.004333115698767623,0.0263407559465535,0.1645023289217552
forced,123,128,0.0,clock,query,0.02,0.004333115698767623,0.03893665358809066,0.11128628938191466
irregular,2026,16,0.0,autonomous,query,0.005,0.007210915991288848,0.006531923517444037,1.1039498506116163
irregular,2026,16,0.0,autonomous,query,0.02,0.006716145812122569,0.006117939442387282,1.0977790603141144
irregular,2026,16,0.0,autonomous,query,0.08,0.005858729229483069,0.005385449622519565,1.08788116872999
irregular,2026,16,0.01,autonomous,query,0.005,0.007957823494286231,0.010496166556277485,0.7581647501131604
irregular,2026,16,0.01,autonomous,query,0.02,0.007343345005561272,0.009660908070813625,0.7601091897092059
irregular,2026,16,0.01,autonomous,query,0.08,0.006384322627528533,0.008758251965939795,0.728949412777424
irregular,2026,128,0.0,autonomous,query,0.005,0.0011471342840433671,0.0015998688506200299,0.7170177002938677
irregular,2026,128,0.0,autonomous,query,0.02,0.0010652488982270825,0.0014901899850145908,0.7148409994291114
irregular,2026,128,0.0,autonomous,query,0.08,0.0009107206207702739,0.0012879233817347084,0.7071232914054415
irregular,2026,128,0.01,autonomous,query,0.005,0.0009925347118778607,0.0013680119106679297,0.7255307531593472
irregular,2026,128,0.01,autonomous,query,0.02,0.0009258189746153053,0.0012671569621464053,0.7306269091139931
irregular,2026,128,0.01,autonomous,query,0.08,0.0007916492726606865,0.0010948766882097672,0.7230487973537113
forced,2026,128,0.0,clock,autonomous,0.02,0.0014275616398812005,0.03675229258318954,0.03884279155238783
forced,2026,128,0.0,clock,query,0.02,0.0014275616398812005,0.02520464060651213,0.056638841321639835
